strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:DM2|DM2|UM1@3(catalog),long,2021-08-20 16:00:00,2021-08-23 08:00:00,88,92,timeout,1.0920124944221417,43.69999999999968
body:DM2|DM2|UM1@3(catalog),long,2022-03-21 16:00:00,2022-03-22 08:00:00,993,997,timeout,0.023211473099580097,1.0000000000008347
body:DM2|DM2|UM1@3(catalog),long,2022-09-16 04:00:00,2022-09-16 20:00:00,1764,1768,timeout,0.3778933876197053,17.900000000000528
body:DM2|DM2|UM1@3(catalog),long,2023-01-10 20:00:00,2023-01-11 12:00:00,2254,2258,timeout,0.17966436327739319,11.699999999999878
body:DM2|DM2|UM1@3(catalog),long,2023-03-17 20:00:00,2023-03-20 12:00:00,2542,2546,timeout,0.0774797786292007,3.899999999999849
body:DM2|DM2|UM1@3(catalog),long,2024-11-18 16:00:00,2024-11-19 04:00:00,5145,5148,target,1.4530201342281759,46.39285714285718
body:DM2|DM2|UM1@3(catalog),long,2025-01-08 20:00:00,2025-01-09 08:00:00,5356,5359,timeout,-0.3837563451776846,-16.200000000000824
body:UM3|UM2|UM2@3(catalog),long,2021-09-02 20:00:00,2021-09-03 12:00:00,143,147,target,1.4494219653179363,42.985714285714685
body:UM3|UM2|UM2@3(catalog),long,2022-05-16 20:00:00,2022-05-17 08:00:00,1234,1237,target,1.4754342867169756,90.0910714285717
body:UM3|UM2|UM2@3(catalog),long,2022-07-25 16:00:00,2022-07-26 08:00:00,1533,1537,timeout,-0.0017309594461071731,-0.10000000000082046
body:UM3|UM2|UM2@3(catalog),long,2023-10-27 08:00:00,2023-10-30 00:00:00,3499,3503,timeout,0.0023676644681064115,0.09999999999937956
body:UM3|UM2|UM2@3(catalog),long,2024-03-07 20:00:00,2024-03-08 12:00:00,4054,4058,target,1.4522835719154907,45.653571428572015
body:UM3|UM2|UM2@3(catalog),long,2024-09-16 12:00:00,2024-09-17 04:00:00,4874,4878,timeout,0.08650260999254093,2.899999999999959
body:UM3|UM2|UM2@3(catalog),long,2024-09-26 12:00:00,2024-09-27 04:00:00,4922,4926,timeout,0.36147689129871735,14.999999999999293
body:UM2|UM1|UM2@3(catalog),short,2021-10-05 20:00:00,2021-10-06 08:00:00,281,284,target,1.4593495934959269,53.84999999999956
body:UM2|UM1|UM2@3(catalog),short,2021-12-15 12:00:00,2021-12-15 20:00:00,584,586,stop,-1.0455432661028086,-34.43571428571451
body:UM2|UM1|UM2@3(catalog),short,2022-03-10 20:00:00,2022-03-11 12:00:00,952,956,timeout,0.694196248893196,30.80000000000066
body:UM2|UM1|UM2@3(catalog),short,2022-03-30 08:00:00,2022-03-31 00:00:00,1033,1037,timeout,0.2576168929110099,12.199999999999823
body:UM2|UM1|UM2@3(catalog),short,2023-02-27 20:00:00,2023-02-28 12:00:00,2458,2462,timeout,-0.19344822232571635,-8.899999999999629
body:UM2|UM1|UM2@3(catalog),short,2023-03-15 08:00:00,2023-03-15 16:00:00,2527,2529,target,1.4758036640165884,91.48928571428554
body:UM2|UM1|UM2@3(catalog),short,2023-05-19 12:00:00,2023-05-22 04:00:00,2810,2814,timeout,-4.575099591375743e-15,-1.6534083130403943e-13
body:UM2|UM1|UM2@3(catalog),short,2023-12-27 20:00:00,2023-12-28 12:00:00,3754,3758,timeout,0.6212419587764467,16.900000000000638
body:UM2|UM1|UM2@3(catalog),short,2024-01-04 08:00:00,2024-01-05 00:00:00,3781,3785,timeout,0.6322127446061016,26.99999999999908
body:US1|UM3|DM2@3(catalog),long,2022-03-23 04:00:00,2022-03-23 20:00:00,1002,1006,timeout,1.0962724591043247,43.80000000000034
body:US1|UM3|DM2@3(catalog),long,2022-11-30 16:00:00,2022-11-30 20:00:00,2085,2086,target,1.4723702388000737,79.93392857142827
body:US1|UM3|DM2@3(catalog),long,2022-12-21 20:00:00,2022-12-22 12:00:00,2176,2180,timeout,0.04525252525253215,2.800000000000414
body:US1|UM3|DM2@3(catalog),long,2023-02-01 20:00:00,2023-02-01 20:00:00,2350,2350,target,1.463293130571583,59.796428571429026
body:US1|UM3|DM2@3(catalog),long,2023-03-09 20:00:00,2023-03-10 04:00:00,2506,2508,stop,-1.0375234521575873,-41.474999999999866
body:US1|UM3|DM2@3(catalog),long,2023-06-12 08:00:00,2023-06-13 00:00:00,2905,2909,timeout,0.19631610219848117,5.900000000000739
body:US1|UM3|DM2@3(catalog),long,2024-02-08 08:00:00,2024-02-08 12:00:00,3931,3932,stop,-1.0521221146686608,-30.27857142857154
body:UM1|UM2|UM1@3(catalog),short,2022-02-22 12:00:00,2022-02-23 04:00:00,878,882,timeout,-0.635041113219489,-25.100000000000286
body:UM1|UM2|UM1@3(catalog),short,2022-03-28 12:00:00,2022-03-28 16:00:00,1022,1023,target,1.4641117662138006,61.194642857142874
body:UM1|UM2|UM1@3(catalog),short,2022-03-30 04:00:00,2022-03-30 20:00:00,1032,1036,timeout,-0.030197981665521317,-1.400000000000455
body:UM1|UM2|UM1@3(catalog),short,2022-09-30 04:00:00,2022-09-30 20:00:00,1824,1828,target,1.4783817171093216,102.57857142857078
body:UM1|UM2|UM1@3(catalog),short,2022-11-07 04:00:00,2022-11-07 20:00:00,1980,1984,timeout,-0.6867947544983268,-56.3000000000004
body:UM1|UM2|UM1@3(catalog),short,2023-03-06 08:00:00,2023-03-07 00:00:00,2485,2489,timeout,0.4421321650237295,17.299999999999926
body:UM1|UM2|UM1@3(catalog),short,2023-12-28 00:00:00,2023-12-28 04:00:00,3755,3756,stop,-1.0577557755775595,-27.471428571428532
body:UM1|UM2|UM1@3(catalog),short,2024-01-04 04:00:00,2024-01-04 20:00:00,3780,3784,timeout,0.5048160039515961,21.900000000000087
body:UM1|UM2|UM1@3(catalog),short,2024-05-02 12:00:00,2024-05-02 20:00:00,4292,4294,stop,-1.0439422473320907,-35.6357142857146
shadow:U1L2|U1L1|U1L1@3(catalog),short,2021-10-13 04:00:00,2021-10-13 16:00:00,313,316,stop,-1.0462198745460463,-33.95357142857119
shadow:U1L2|U1L1|U1L1@3(catalog),short,2021-10-29 08:00:00,2021-11-01 00:00:00,386,390,timeout,0.7783674500884443,32.99999999999953
shadow:U1L2|U1L1|U1L1@3(catalog),short,2021-12-13 04:00:00,2021-12-13 16:00:00,570,573,target,1.4491463857609965,42.74464285714302
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-01-14 00:00:00,2022-01-14 16:00:00,713,717,target,1.4598968776854815,54.60535714285714
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-06-24 20:00:00,2022-06-27 12:00:00,1408,1412,timeout,0.47672413793102897,23.699999999999665
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-07-13 20:00:00,2022-07-14 12:00:00,1486,1490,timeout,1.2987462170341613,75.1
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-09-01 04:00:00,2022-09-01 20:00:00,1698,1702,timeout,0.4670418006431029,24.900000000000865
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-09-07 16:00:00,2022-09-07 20:00:00,1725,1726,stop,-1.0343895848685745,-45.11785714285693
shadow:U1L2|U1L1|U1L1@3(catalog),short,2022-12-02 08:00:00,2022-12-05 00:00:00,2095,2099,timeout,-0.3421787709497219,-21.00000000000007
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-02-02 16:00:00,2023-02-03 04:00:00,2355,2358,target,1.469723183391013,72.81428571428644
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-04-07 04:00:00,2023-04-07 20:00:00,2628,2632,timeout,0.22003929273082687,8.399999999999354
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-05-01 08:00:00,2023-05-02 00:00:00,2725,2729,timeout,0.33261026753433726,11.499999999999678
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-10-12 12:00:00,2023-10-12 16:00:00,3434,3435,target,1.4635701275045536,60.26249999999994
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-11-24 04:00:00,2023-11-24 20:00:00,3618,3622,timeout,-0.6303939962476311,-17.999999999999293
shadow:U1L2|U1L1|U1L1@3(catalog),short,2023-12-08 12:00:00,2023-12-11 04:00:00,3680,3684,timeout,1.2113982770046412,45.69999999999946
shadow:U1L2|U1L1|U1L1@3(catalog),short,2024-04-10 12:00:00,2024-04-10 12:00:00,4196,4196,target,1.437163375224405,34.3071428571427
shadow:U1L2|U1L1|U1L1@3(catalog),short,2024-11-28 04:00:00,2024-11-28 20:00:00,5190,5194,timeout,0.1012658227848,4.199999999999594
shadow:U1L2|U1L1|U1L1@3(catalog),short,2025-01-06 16:00:00,2025-01-06 16:00:00,5343,5343,target,1.4569363272839273,50.74821428571502
shadow:U0L0|U0L1|U1L1@3(catalog),short,2021-09-23 20:00:00,2021-09-24 12:00:00,233,237,target,1.46429482274929,61.51607142857102
shadow:U0L0|U0L1|U1L1@3(catalog),short,2021-11-15 12:00:00,2021-11-16 04:00:00,453,457,timeout,0.6098484848484718,18.399999999999363
shadow:U0L0|U0L1|U1L1@3(catalog),short,2021-11-23 04:00:00,2021-11-23 20:00:00,487,491,timeout,0.14527845036321066,4.500000000000449
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-01-04 00:00:00,2022-01-04 04:00:00,665,666,stop,-1.0464807436919026,-33.77142857142873
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-05-06 04:00:00,2022-05-06 20:00:00,1194,1198,timeout,0.7195365982095755,48.799999999999784
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-06-28 20:00:00,2022-06-29 12:00:00,1420,1424,timeout,0.7645951035781315,34.79999999999911
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-08-15 20:00:00,2022-08-16 12:00:00,1624,1628,timeout,0.759472542146544,32.49999999999959
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-09-06 12:00:00,2022-09-07 04:00:00,1718,1722,timeout,1.1270125223613454,53.99999999999944
shadow:U0L0|U0L1|U1L1@3(catalog),short,2022-09-22 12:00:00,2022-09-23 04:00:00,1790,1794,timeout,0.6566068515497421,34.49999999999937
shadow:U0L0|U0L1|U1L1@3(catalog),short,2023-01-16 00:00:00,2023-01-16 16:00:00,2273,2277,timeout,0.20758483033933134,13.000000000000624
shadow:U0L0|U0L1|U1L1@3(catalog),short,2023-10-13 04:00:00,2023-10-13 20:00:00,3438,3442,timeout,0.564573762123551,23.700000000000777
shadow:U0L0|U0L1|U1L1@3(catalog),short,2023-12-28 12:00:00,2023-12-28 16:00:00,3758,3759,stop,-1.0524344569288213,-30.10714285714216
shadow:U0L0|U0L1|U1L1@3(catalog),short,2024-02-20 20:00:00,2024-02-21 12:00:00,3982,3986,timeout,0.010554089709747808,0.29999999999957955
shadow:U0L0|U0L1|U1L1@3(catalog),short,2024-03-28 20:00:00,2024-03-29 12:00:00,4144,4148,timeout,-0.20163554253631047,-5.899999999999959
shadow:U0L0|U0L1|U1L1@3(catalog),short,2024-06-21 16:00:00,2024-06-24 04:00:00,4509,4512,target,1.4340555817239973,32.619642857143305
shadow:U0L0|U0L1|U1L1@3(catalog),short,2024-09-13 08:00:00,2024-09-16 00:00:00,4867,4871,timeout,0.33590402742073217,11.199999999999934
shadow:U0L0|U0L1|U1L1@3(catalog),short,2024-09-16 12:00:00,2024-09-17 04:00:00,4874,4878,timeout,-0.17598806860551558,-5.899999999999959
shadow:U0L0|U1L0|U0L1@3(catalog),short,2021-10-27 20:00:00,2021-10-28 12:00:00,377,381,timeout,0.3903271692745525,14.700000000000658
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-01-17 00:00:00,2022-01-17 16:00:00,719,723,timeout,-0.09539178769946838,-3.7999999999995246
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-03-01 00:00:00,2022-03-01 16:00:00,905,909,timeout,0.11509101585437449,6.300000000000029
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-05-10 08:00:00,2022-05-11 00:00:00,1207,1211,timeout,0.3541603169765274,24.899999999999757
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-08-08 16:00:00,2022-08-09 08:00:00,1593,1597,timeout,0.14478918058870818,6.500000000000229
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-08-29 00:00:00,2022-08-29 16:00:00,1679,1683,timeout,-0.6364988315275034,-32.09999999999951
shadow:U0L0|U1L0|U0L1@3(catalog),short,2022-09-30 16:00:00,2022-10-03 08:00:00,1827,1831,timeout,0.3518948182521164,25.99999999999919
shadow:U0L0|U1L0|U0L1@3(catalog),short,2023-02-06 08:00:00,2023-02-06 16:00:00,2365,2367,target,1.4736544975536312,83.90357142857168
shadow:U0L0|U1L0|U0L1@3(catalog),short,2023-03-24 00:00:00,2023-03-24 16:00:00,2567,2571,timeout,0.8123909249563749,39.900000000000325
shadow:U0L0|U1L0|U0L1@3(catalog),short,2023-05-08 16:00:00,2023-05-09 08:00:00,2757,2761,timeout,0.8780318780318862,36.20000000000051
