strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM3|UM2|UM2@3(catalog),long,2025-03-06 04:00:00,2025-03-06 20:00:00,238,242,timeout,-0.4209434940383594,-20.299999999999926
body:UM3|UM2|UM2@3(catalog),long,2025-12-04 12:00:00,2025-12-05 04:00:00,1410,1414,timeout,0.20578778135049,4.800000000000194
body:UM3|UM2|UM2@3(catalog),long,2025-12-05 16:00:00,2025-12-08 08:00:00,1417,1421,timeout,-0.31739773287333095,-6.8999999999998485
body:UM3|UM2|UM2@3(catalog),long,2025-12-22 20:00:00,2025-12-23 08:00:00,1484,1487,target,1.4367660343269997,34.08214285714234
body:UM3|UM2|UM2@3(catalog),long,2026-03-04 20:00:00,2026-03-05 12:00:00,1784,1788,timeout,-0.6222222222222128,-42.89999999999921
body:UM2|UM1|UM2@3(catalog),short,2025-04-11 00:00:00,2025-04-11 16:00:00,393,397,timeout,-0.30119448294066614,-32.59999999999946
body:UM2|UM1|UM2@3(catalog),short,2025-08-15 12:00:00,2025-08-18 04:00:00,936,940,timeout,-0.4379276637341433,-12.800000000000752
body:UM2|UM1|UM2@3(catalog),short,2026-04-24 20:00:00,2026-04-27 08:00:00,2006,2009,stop,-1.0429053018694416,-36.46071428571445
body:US1|UM3|DM2@3(catalog),long,2025-10-24 08:00:00,2025-10-27 00:00:00,1235,1239,target,1.4432968813284832,38.180357142857225
body:UM1|UM2|UM1@3(catalog),short,2025-03-10 04:00:00,2025-03-10 20:00:00,250,254,timeout,0.7862873814734003,30.80000000000066
body:UM1|UM2|UM1@3(catalog),short,2025-04-09 16:00:00,2025-04-09 20:00:00,385,386,stop,-1.0140986908358516,-107.89285714285741
body:UM1|UM2|UM1@3(catalog),short,2026-02-04 04:00:00,2026-02-04 20:00:00,1660,1664,timeout,0.47230490865582025,28.900000000000425
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-01-12 16:00:00,2026-01-13 08:00:00,1561,1565,timeout,0.2964139208680712,8.000000000000064
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-03-30 12:00:00,2026-03-31 04:00:00,1890,1894,timeout,0.1926708273323641,8.599999999999554
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-04-09 16:00:00,2026-04-10 08:00:00,1939,1943,timeout,-0.32691814216062726,-18.19999999999949
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-05-07 12:00:00,2026-05-08 04:00:00,2058,2062,timeout,0.9310438811665337,36.5999999999998
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-06-24 12:00:00,2026-06-25 04:00:00,2262,2266,timeout,-0.19758402105011258,-5.899999999999959
shadow:U1L2|U1L1|U1L1@3(catalog),short,2026-06-26 00:00:00,2026-06-26 16:00:00,2271,2275,timeout,0.22088778994467662,6.700000000000429
shadow:U0L0|U0L1|U1L1@3(catalog),short,2025-06-05 08:00:00,2025-06-05 12:00:00,629,630,stop,-1.0480769230769333,-32.70000000000012
shadow:U0L0|U0L1|U1L1@3(catalog),short,2025-09-04 00:00:00,2025-09-04 16:00:00,1017,1021,timeout,0.5675025764342283,17.700000000000326
shadow:U0L0|U0L1|U1L1@3(catalog),short,2025-09-08 20:00:00,2025-09-09 12:00:00,1034,1038,stop,-1.0498575498575358,-31.585714285713603
shadow:U0L0|U0L1|U1L1@3(catalog),short,2025-10-21 16:00:00,2025-10-22 08:00:00,1219,1223,timeout,-0.03534237929947083,-1.200000000000255
shadow:U0L0|U0L1|U1L1@3(catalog),short,2025-12-11 16:00:00,2025-12-12 08:00:00,1441,1445,timeout,-0.20228016706174168,-6.3999999999999035
shadow:U0L0|U0L1|U1L1@3(catalog),short,2026-04-20 08:00:00,2026-04-21 00:00:00,1979,1983,timeout,-0.5377340281799017,-19.900000000000638
shadow:U0L0|U1L0|U0L1@3(catalog),short,2025-01-27 00:00:00,2025-01-27 16:00:00,69,73,timeout,0.4938804895608587,14.700000000000658
shadow:U0L0|U1L0|U0L1@3(catalog),short,2025-07-21 00:00:00,2025-07-21 16:00:00,819,823,timeout,-0.7255779269201827,-27.799999999999102
shadow:U0L0|U1L0|U0L1@3(catalog),short,2025-08-14 20:00:00,2025-08-15 12:00:00,932,936,timeout,-0.8540880503144951,-29.100000000000954
shadow:U0L0|U1L0|U0L1@3(catalog),short,2026-01-28 08:00:00,2026-01-29 00:00:00,1631,1635,stop,-1.0367840252233296,-42.278571428571325
shadow:U0L0|U1L0|U0L1@3(catalog),short,2026-03-16 04:00:00,2026-03-16 16:00:00,1828,1831,stop,-1.0282428888440642,-54.610714285714565
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-02-17 20:00:00,2025-02-18 12:00:00,164,168,timeout,0.5974981604120597,20.299999999999596
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-03-12 16:00:00,2025-03-13 00:00:00,265,267,stop,-1.0389429763560634,-40.017857142857935
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-03-17 00:00:00,2025-03-17 12:00:00,279,282,stop,-1.0479452054794411,-32.785714285713695
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-06-10 16:00:00,2025-06-11 08:00:00,649,653,timeout,0.16784203102961623,5.099999999999939
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-07-09 20:00:00,2025-07-10 12:00:00,776,780,timeout,-0.5388316151202702,-19.59999999999978
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-12-09 20:00:00,2025-12-10 12:00:00,1430,1434,timeout,-0.19994610617085948,-5.300000000000469
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-12-18 12:00:00,2025-12-19 04:00:00,1470,1474,timeout,-0.030034861893305224,-0.8000000000009654
shadow:U1L2|U0L2|U2L1@3(catalog),short,2025-12-24 20:00:00,2025-12-26 12:00:00,1496,1500,timeout,-0.5008358408558651,-10.699999999999207
shadow:U1L2|U0L2|U2L1@3(catalog),short,2026-01-07 08:00:00,2026-01-08 00:00:00,1541,1545,timeout,0.8746928746928957,26.700000000000447
shadow:U1L2|U0L2|U2L1@3(catalog),short,2026-05-26 20:00:00,2026-05-27 12:00:00,2138,2142,target,1.4380530973451235,34.82142857142861
shadow:U2L0|U0L2|U0L0@3(catalog),long,2025-04-18 12:00:00,2025-04-21 04:00:00,426,430,target,1.4580461492358523,52.13035714285758
shadow:U2L1|U0L1|U2L1@3(reverse-long),long,2025-01-22 16:00:00,2025-01-23 08:00:00,55,59,timeout,-0.3984577637574461,-20.299999999999926
shadow:U2L1|U0L1|U2L1@3(reverse-long),long,2025-06-30 12:00:00,2025-07-01 04:00:00,732,736,timeout,1.0329136293351027,33.39999999999993
shadow:U2L1|U0L1|U2L1@3(reverse-long),long,2025-09-24 12:00:00,2025-09-24 16:00:00,1104,1105,stop,-1.0581395348837317,-27.300000000000267
shadow:U2L1|U0L1|U2L1@3(reverse-long),long,2025-11-07 00:00:00,2025-11-07 16:00:00,1293,1297,timeout,0.1664917803427752,5.099999999999939
shadow:U2L1|U0L1|U2L1@3(reverse-long),long,2026-01-14 00:00:00,2026-01-14 16:00:00,1569,1573,timeout,-0.2677144728224954,-7.299999999999138
shadow:U2L1|U1L1|U0L1@3(reverse-long),long,2025-03-18 12:00:00,2025-03-18 16:00:00,288,289,stop,-1.0538254517493184,-29.367857142856998
shadow:U2L1|U1L1|U0L1@3(reverse-long),long,2025-05-22 00:00:00,2025-05-22 16:00:00,567,571,timeout,-0.7581776855420359,-27.39999999999981
shadow:U2L1|U1L1|U0L1@3(reverse-long),long,2025-06-25 20:00:00,2025-06-26 12:00:00,716,720,timeout,0.8815879534565367,36.8
shadow:U2L1|U1L1|U0L1@3(reverse-long),long,2026-06-09 20:00:00,2026-06-10 12:00:00,2198,2202,timeout,-0.1289013732833949,-5.899999999999959
shadow:U2L0|U0L1|U2L1@3(reverse-long),long,2025-03-21 12:00:00,2025-03-24 04:00:00,306,310,timeout,-0.42411475574280927,-15.100000000000277
shadow:U2L0|U0L1|U2L1@3(reverse-long),long,2025-05-08 16:00:00,2025-05-09 04:00:00,511,514,stop,-1.0347653339955403,-44.64642857142891
shadow:U2L0|U0L1|U2L1@3(reverse-long),long,2025-09-17 00:00:00,2025-09-17 16:00:00,1071,1075,timeout,-0.8976670960355033,-22.40000000000036
shadow:U0L0|U2L0|U0L1@3(reverse-short),short,2025-04-04 00:00:00,2025-04-04 04:00:00,363,364,target,1.472899728997287,81.52499999999989
shadow:U0L0|U2L0|U0L1@3(reverse-short),short,2025-04-10 08:00:00,2025-04-11 00:00:00,389,393,timeout,-0.3087133376150654,-30.899999999999423
