name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,DM2|UM2|UM2,16,48.69,464.8666666666667,0.680983549251834,0.023,0.6875
Frequency 2,3,UM2|UM2|DM1,15,32.5,505.2142857142857,0.6080851851750131,-0.1518,0.3333333333333333
Frequency 3,3,UM2|DM2|UM2,15,-6.75,456.7857142857143,0.5359192604586326,0.1083,0.6
Frequency 4,3,DM2|DM2|UM2,13,-5.28,599.3333333333334,0.6421406936544977,-0.3353,0.15384615384615385
Frequency 5,3,UM1|UM2|UM1,13,35.95,511.8333333333333,0.983110008202806,-0.046,0.3076923076923077
Frequency 6,3,DM2|UM1|DM1,13,-0.46,539.1666666666666,0.8297397455586609,-0.21,0.3076923076923077
Frequency 7,3,UM3|UM2|UM2,12,50.65,636.4545454545455,0.8984568635401328,0.1997,0.75
Frequency 8,3,UM2|UM1|UM2,12,48.18,644.0909090909091,0.9369734720742979,-0.0888,0.4166666666666667
Frequency 9,3,DM1|DM2|UM1,12,-33.06,571.4545454545455,0.8109267977867753,-0.0298,0.5
Frequency 10,3,DM1|DM2|US1,11,-43.88,577.1,0.7175283435991927,-0.1472,0.36363636363636365
Frequency 11,3,DM2|UM2|UM1,11,48.15,714.8,0.810465790874049,-0.1128,0.45454545454545453
Frequency 12,3,DM2|UM3|UM2,10,50.2,823.1111111111111,1.016080169212487,-0.0851,0.4
Frequency 13,3,DM2|DM1|UM3,10,39.42,780.6666666666666,1.0066296627030862,0.0552,0.6
Frequency 14,3,US2|UM3|UM2,10,50.43,747.6666666666666,1.0847366576146706,0.1003,0.7
Frequency 15,3,DM2|DM2|DM2,10,-50.65,605.5555555555555,1.397669661057632,0.1867,0.7
Frequency 16,3,DM2|UM3|DM2,10,10.06,712.5555555555555,1.395677040200341,0.1054,0.5
Frequency 17,3,UM2|US2|UM2,10,46.3,729.5555555555555,0.8444285734567923,-0.1183,0.3
Frequency 18,3,DM1|DM1|DM2,10,-48.98,694.0,0.8738464144791982,-0.047,0.4
Frequency 19,3,UM3|UM2|DM2,10,-20.93,566.7777777777778,0.8796835006960155,-0.1096,0.6
Frequency 20,3,US2|UM2|UM2,9,50.05,737.75,1.1697067436446034,-0.0713,0.5555555555555556
Frequency 21,3,DM1|DM2|UL3,9,39.84,899.625,0.903260786122036,0.0113,0.4444444444444444
Frequency 22,3,UM3|US2|UM2,9,50.51,728.625,0.9130885833965905,-0.2407,0.2222222222222222
Frequency 23,3,DM2|DM2|DM1,9,-49.88,888.875,0.7224963787025728,0.1831,0.6666666666666666
Frequency 24,3,UM3|DM3|DM2,9,-50.42,799.5,1.190409301442807,-0.0035,0.6666666666666666
Frequency 25,3,DM1|DM2|UM2,9,-12.9,780.375,0.5543303189027545,0.0495,0.5555555555555556
Frequency 26,3,DM2|UM1|UL3,9,47.38,867.75,0.620477008118092,0.2187,0.6666666666666666
Frequency 27,3,UM2|UM3|DM2,9,25.92,868.625,1.4318945638006024,0.0028,0.6666666666666666
Frequency 28,3,DM1|DM2|DM2,9,-50.56,850.875,1.0476628085834618,-0.206,0.2222222222222222
Frequency 29,3,UM1|DM1|DM2,9,-48.49,865.0,0.794860743688937,-0.0468,0.3333333333333333
Frequency 30,3,UM2|UM2|DS1,9,41.63,825.125,0.5412347708969357,-0.0936,0.6666666666666666
Frequency 31,3,DL3|UM2|US2,9,47.63,552.875,0.7825010225042388,0.2184,0.6666666666666666
Frequency 32,3,US2|UM3|UM1,9,49.11,758.125,0.8184103929785268,0.0659,0.5555555555555556
Frequency 33,3,US2|DM1|DM2,9,-49.53,588.0,0.9471800562739869,0.2366,0.6666666666666666
Frequency 34,3,UM2|UM2|UM3,9,50.13,666.875,0.554333699074087,-0.0752,0.5555555555555556
Frequency 35,3,UM2|UM2|DS2,9,31.0,585.125,0.924530886812535,-0.0465,0.5555555555555556
Frequency 36,3,DM2|DS2|UM2,8,2.54,1090.0,1.0820203199911989,-0.0473,0.42857142857142855
Frequency 37,3,DS2|UM1|DM2,8,-34.28,898.7142857142857,0.6503800326771746,-0.1196,0.5
Frequency 38,3,DM2|UM1|UM2,8,49.62,1045.4285714285713,0.9800977019471274,-0.152,0.5
Frequency 39,3,UM2|UM3|UM2,8,50.25,1009.7142857142857,0.5880283400893495,-0.2742,0.625
Frequency 40,3,DM1|UM3|UM2,8,50.3,1003.7142857142857,0.7875689319434809,-0.0106,0.5
Frequency 41,3,UM2|UM1|DM2,8,-32.85,975.8571428571429,0.8423623067901277,0.1038,0.375
Frequency 42,3,UM1|DM2|UM1,8,-30.23,951.2857142857143,0.4210064755228364,-0.0187,0.5
Frequency 43,3,DM3|DM2|DM2,8,-50.61,857.2857142857143,0.8432910333867271,-0.1014,0.625
Frequency 44,3,UM3|UM2|UM1,8,49.91,692.0,0.9975387724902938,-0.2022,0.5
Frequency 45,3,DM1|UM2|DM3,8,-24.8,1042.4285714285713,0.8896788752793153,-0.1019,0.625
Frequency 46,3,UM3|DM2|UM3,8,25.05,917.1428571428571,1.535525647958218,0.2857,0.75
Frequency 47,3,DM2|UM2|DL3,8,-34.98,866.4285714285714,1.160720508260956,0.1285,0.625
Frequency 48,3,UM2|DM2|DM3,8,-50.34,793.1428571428571,0.6084175576369111,0.123,0.75
Frequency 49,3,DM2|UM2|DS2,8,22.18,926.8571428571429,0.877576314984065,-0.1093,0.375
Frequency 50,3,UM1|DM2|DM1,8,-49.38,947.8571428571429,0.6398555471533753,-0.2541,0.125
Frequency 51,3,UL3|US1|UM3,8,48.01,953.1428571428571,1.1233607876474896,0.019,0.625
Frequency 52,3,UM3|DM2|DM1,8,-49.34,925.8571428571429,0.9011426961750926,-0.1118,0.5
Frequency 53,3,DM1|US2|UM2,8,39.91,949.4285714285714,0.8868245459773518,0.2646,0.75
Frequency 54,3,UM3|DL3|DM1,8,-48.43,672.7142857142857,0.6477131684840894,0.014,0.625
Frequency 55,3,US1|UM1|UM2,8,49.75,940.5714285714286,0.8134817404035587,0.2505,0.625
Frequency 56,3,US2|UM2|DM2,8,-23.56,927.1428571428571,0.7470357088381521,-0.0489,0.5
Frequency 57,3,UM2|DS1|DM2,8,-48.57,932.0,0.9611371115772648,0.1223,0.625
Frequency 58,3,DM2|DM1|DM1,8,-50.53,820.1428571428571,0.5332447649035631,-0.0744,0.375
Frequency 59,3,DM2|UM1|UL2,8,48.96,936.1428571428571,0.7241425135187824,-0.0182,0.375
