strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM2|DM2|UM2@3(catalog),short,2024-01-17 12:00:00,2024-01-18 04:00:00,69,73,timeout,-0.5911989129298015,-20.199999999998163
body:UM2|DM2|UM2@3(catalog),short,2024-03-28 08:00:00,2024-03-28 08:00:00,374,374,target,1.4323344610922704,31.751785714285553
body:UM2|DM2|UM2@3(catalog),short,2024-10-11 20:00:00,2024-10-14 12:00:00,1223,1227,timeout,1.0432654877099408,33.50000000000058
body:UM2|DM2|UM2@3(catalog),short,2025-04-16 20:00:00,2025-04-17 12:00:00,2009,2013,timeout,0.23157283807312354,17.099999999999728
body:UM2|DM2|UM2@3(catalog),short,2025-05-20 20:00:00,2025-05-21 04:00:00,2153,2155,stop,-1.026435045317232,-58.242857142857424
body:UM2|DM2|UM2@3(catalog),short,2025-08-04 16:00:00,2025-08-05 08:00:00,2476,2480,timeout,0.5358506138450418,37.099999999999746
shadow:U1L1|U2L0|U2L1@3(catalog),long,2024-01-11 20:00:00,2024-01-12 12:00:00,47,51,timeout,0.07943262411349195,3.000000000000614
shadow:U1L1|U2L0|U2L1@3(catalog),long,2024-03-07 08:00:00,2024-03-07 12:00:00,284,285,stop,-1.059322033898305,-26.785714285714356
shadow:U1L1|U2L0|U2L1@3(catalog),long,2024-03-15 20:00:00,2024-03-18 12:00:00,323,327,timeout,0.187816563997248,4.899999999999739
shadow:U1L1|U2L0|U2L1@3(catalog),long,2024-11-07 04:00:00,2024-11-07 16:00:00,1333,1336,target,1.4771652259011694,97.03392857142927
shadow:U1L1|U2L0|U2L1@3(catalog),long,2024-12-26 04:00:00,2024-12-26 20:00:00,1537,1541,timeout,0.8030465310007894,24.099999999998957
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-02-10 04:00:00,2025-02-10 20:00:00,1723,1727,timeout,0.04060913705582444,1.7999999999994143
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-02-20 04:00:00,2025-02-20 16:00:00,1771,1774,target,1.451355107713724,44.75357142857389
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-04-02 08:00:00,2025-04-02 16:00:00,1946,1948,target,1.4611327040532895,56.38928571428542
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-09-15 04:00:00,2025-09-15 20:00:00,2653,2657,timeout,0.9194705466303281,32.500000000000696
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-09-16 04:00:00,2025-09-16 12:00:00,2659,2661,target,1.451890034364242,45.26785714285536
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-01-25 04:00:00,2024-01-25 20:00:00,103,107,timeout,0.7179487179487241,30.40000000000026
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-06-11 04:00:00,2024-06-11 20:00:00,691,695,timeout,0.6039378648461265,21.799999999999432
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-07-17 16:00:00,2024-07-18 08:00:00,850,854,timeout,0.3663617886178741,10.299999999999589
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-07-30 12:00:00,2024-07-31 04:00:00,903,907,timeout,0.07140714071411285,1.7000000000009796
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-08-21 04:00:00,2024-08-21 20:00:00,997,1001,stop,-1.051890289103066,-30.407142857144127
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-10-08 20:00:00,2024-10-09 12:00:00,1205,1209,timeout,0.4916742355434287,17.399999999999473
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-11-05 04:00:00,2024-11-05 16:00:00,1321,1324,stop,-1.0392596747055458,-39.707142857142884
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-12-12 08:00:00,2024-12-13 00:00:00,1484,1488,timeout,1.0005414185165047,39.60000000000058
shadow:U1L1|U0L1|U1L2@3(catalog),short,2024-12-18 08:00:00,2024-12-18 20:00:00,1508,1511,target,1.459040374487992,53.43214285714254
shadow:U1L1|U0L1|U1L2@3(catalog),short,2025-03-20 00:00:00,2025-03-20 16:00:00,1890,1894,target,1.4681528662420593,69.15000000000099
shadow:U1L1|U0L1|U1L2@3(catalog),short,2025-04-15 12:00:00,2025-04-16 04:00:00,2001,2005,timeout,-0.009675190048377944,-1.200000000000255
shadow:U1L1|U0L1|U1L2@3(catalog),short,2025-09-04 04:00:00,2025-09-04 20:00:00,2611,2615,timeout,0.14057507987224563,6.6000000000019945
shadow:U1L1|U0L1|U1L2@3(catalog),short,2025-09-17 12:00:00,2025-09-17 20:00:00,2667,2669,stop,-1.039392234102393,-39.57857142857029
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-01-12 16:00:00,2024-01-15 08:00:00,52,56,timeout,0.1756338899195696,7.099999999998609
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-02-22 08:00:00,2024-02-22 08:00:00,224,224,stop,-1.0523756079311333,-30.139285714284753
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-04-18 04:00:00,2024-04-18 20:00:00,463,467,timeout,0.721996032988854,24.700000000000667
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-07-19 20:00:00,2024-07-22 12:00:00,863,867,timeout,0.2517482517482897,5.400000000000794
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-08-28 04:00:00,2024-08-28 08:00:00,1027,1028,target,1.4483585392843668,42.06964285714193
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-09-02 16:00:00,2024-09-03 08:00:00,1048,1052,timeout,0.5029940119760763,18.000000000001183
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-09-26 00:00:00,2024-09-26 16:00:00,1152,1156,stop,-1.0375838926174379,-41.410714285713574
shadow:U1L1|U1L0|U1L2@3(catalog),short,2024-10-02 20:00:00,2024-10-03 12:00:00,1181,1185,timeout,0.2848554913294989,13.200000000000824
shadow:U1L1|U1L0|U1L2@3(catalog),short,2025-01-30 00:00:00,2025-01-30 16:00:00,1680,1684,stop,-1.0350789275870669,-44.260714285714485
shadow:U1L1|U1L0|U1L2@3(catalog),short,2025-02-14 16:00:00,2025-02-17 08:00:00,1750,1754,timeout,0.1781986660556787,12.499999999998458
shadow:U1L1|U1L0|U1L2@3(catalog),short,2025-03-18 00:00:00,2025-03-18 16:00:00,1878,1882,timeout,-0.4437553832902525,-18.399999999999693
shadow:U1L1|U1L0|U1L2@3(catalog),short,2025-05-05 12:00:00,2025-05-06 04:00:00,2085,2089,timeout,0.007228138109051655,0.39999999999912444
shadow:U1L2|U0L2|U1L1@3(catalog),long,2024-07-16 16:00:00,2024-07-17 08:00:00,844,848,target,1.4455676516330036,39.83571428571514
shadow:U1L2|U0L2|U1L1@3(catalog),long,2024-07-31 08:00:00,2024-08-01 00:00:00,908,912,timeout,0.027439451211018887,0.7000000000010898
shadow:U1L2|U0L2|U1L1@3(catalog),long,2024-09-26 08:00:00,2024-09-27 00:00:00,1154,1158,timeout,0.6961178045515498,26.000000000000302
shadow:U1L2|U0L2|U1L1@3(catalog),long,2024-10-08 00:00:00,2024-10-08 16:00:00,1200,1204,timeout,0.03794037940381082,1.3000000000005796
shadow:U1L2|U0L2|U1L1@3(catalog),long,2024-12-04 00:00:00,2024-12-04 16:00:00,1446,1450,timeout,0.5882527001035771,28.40000000000048
shadow:U1L2|U0L2|U1L1@3(catalog),long,2025-03-28 08:00:00,2025-03-31 00:00:00,1928,1932,timeout,1.330386740331464,51.599999999999255
shadow:U1L2|U0L2|U1L1@3(catalog),long,2025-03-31 08:00:00,2025-03-31 16:00:00,1934,1936,stop,-1.0345337937839352,-44.93571428571558
shadow:U1L2|U0L2|U1L1@3(catalog),long,2025-04-01 16:00:00,2025-04-02 08:00:00,1942,1946,timeout,0.19843597262952545,8.700000000000209
