strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM2|DM2|UM2@3(catalog),short,2025-11-18 16:00:00,2025-11-19 08:00:00,209,213,timeout,0.7005572614580081,22.000000000000743
shadow:U1L1|U2L0|U2L1@3(catalog),long,2025-11-05 20:00:00,2025-11-06 12:00:00,156,160,target,1.4515905947441274,44.97857142857203
shadow:U1L1|U2L0|U2L1@3(catalog),long,2026-03-24 16:00:00,2026-03-25 08:00:00,737,741,timeout,0.25991164793377136,16.599999999998673
shadow:U1L1|U2L0|U2L1@3(catalog),long,2026-03-26 04:00:00,2026-03-26 20:00:00,746,750,timeout,-0.586347041399745,-30.40000000000059
shadow:U1L1|U0L1|U1L2@3(catalog),short,2026-03-31 00:00:00,2026-03-31 12:00:00,763,766,stop,-1.0384721077219097,-40.48928571428595
shadow:U1L1|U1L0|U1L2@3(catalog),short,2026-04-06 16:00:00,2026-04-07 08:00:00,791,795,timeout,-0.6120218579235293,-21.600000000000673
shadow:U1L1|U1L0|U1L2@3(catalog),short,2026-06-04 08:00:00,2026-06-04 12:00:00,1047,1048,stop,-1.0621669626997878,-25.628571428569945
shadow:U1L2|U0L2|U1L1@3(catalog),long,2026-03-06 04:00:00,2026-03-06 12:00:00,662,664,stop,-1.027306417007997,-56.43214285714254
shadow:U2L1|U1L1|U0L1@3(catalog),short,2026-01-22 16:00:00,2026-01-23 08:00:00,479,483,timeout,-0.4939407884645059,-23.000000000000963
shadow:U2L1|U1L1|U0L1@3(catalog),short,2026-04-02 00:00:00,2026-04-02 12:00:00,775,778,target,1.4705387205387215,74.87142857142898
shadow:U2L1|U1L1|U0L1@3(catalog),short,2026-05-28 00:00:00,2026-05-28 04:00:00,1015,1016,target,1.4342414279004543,32.71607142857219
shadow:U1L1|U2L0|U1L1@3(reverse-long),long,2026-05-20 20:00:00,2026-05-21 12:00:00,984,988,timeout,-0.8272853460241612,-29.799999999998878
shadow:U1L1|U2L0|U1L1@3(reverse-long),long,2026-06-23 16:00:00,2026-06-24 08:00:00,1127,1131,stop,-1.0453808752026026,-34.55357142857179
shadow:U1L1|U2L0|U2L1@3(reverse-long),long,2025-11-05 20:00:00,2025-11-06 12:00:00,156,160,target,1.4515905947441274,44.97857142857203
shadow:U1L1|U2L0|U2L1@3(reverse-long),long,2026-03-24 16:00:00,2026-03-25 08:00:00,737,741,timeout,0.25991164793377136,16.599999999998673
shadow:U1L1|U2L0|U2L1@3(reverse-long),long,2026-03-26 04:00:00,2026-03-26 20:00:00,746,750,timeout,-0.586347041399745,-30.40000000000059
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2025-10-14 00:00:00,2025-10-14 16:00:00,55,59,timeout,0.8223833589687675,40.100000000001636
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2025-12-31 00:00:00,2025-12-31 16:00:00,385,389,timeout,-0.36359918200408575,-12.700000000000097
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2026-01-09 04:00:00,2026-01-09 16:00:00,422,425,stop,-1.0547730829421234,-28.885714285714787
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2026-02-04 04:00:00,2026-02-04 20:00:00,530,534,timeout,-0.46761027484461387,-22.300000000000818
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2026-02-16 00:00:00,2026-02-16 16:00:00,577,581,timeout,-0.4826175869121108,-17.70000000000177
shadow:U1L1|U1L2|U1L1@3(reverse-long),long,2026-06-17 12:00:00,2026-06-17 20:00:00,1102,1104,stop,-1.052730696798495,-29.946428571429202
