name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,U1L1|U1L1|U0L0,21,3.76,183.9,1.171631140051796,0.0759,0.5714285714285714
Frequency 2,3,U0L0|U2L1|U1L1,19,-8.25,215.66666666666666,1.0717718246505061,-0.1426,0.2222222222222222
Frequency 3,3,U2L1|U1L2|U1L1,19,3.89,203.66666666666666,0.8145460770075127,-0.0036,0.42105263157894735
Frequency 4,3,U1L1|U0L0|U0L1,17,25.32,233.5625,0.7369420963263091,-0.0664,0.29411764705882354
Frequency 5,3,U0L1|U1L2|U1L1,17,12.92,224.1875,1.4933360990762294,0.0103,0.5294117647058824
Frequency 6,3,U1L1|U1L2|U1L1,17,3.74,221.9375,0.7675327916920531,0.0534,0.4117647058823529
Frequency 7,3,U1L2|U1L1|U2L0,17,-9.15,220.4375,1.049922127459293,-0.0179,0.47058823529411764
Frequency 8,3,U1L1|U0L0|U2L1,16,-6.71,249.73333333333332,0.8210070691105776,-0.048,0.5
Frequency 9,3,U1L1|U1L1|U1L1,16,-24.18,235.26666666666668,0.9042360566194071,0.0334,0.5
Frequency 10,3,U2L1|U1L1|U0L1,16,24.72,239.06666666666666,0.876361321725174,-0.1988,0.3125
Frequency 11,3,U0L1|U1L0|U1L0,16,14.65,208.4,1.3084592955909669,0.1116,0.5
Frequency 12,3,U1L1|U1L2|U0L1,15,-7.39,257.07142857142856,0.8065815535525255,0.0281,0.4666666666666667
Frequency 13,3,U0L1|U1L1|U1L1,15,0.26,250.28571428571428,0.9248303364660401,-0.0028,0.4666666666666667
Frequency 14,3,U2L1|U1L1|U1L1,14,4.0,266.15384615384613,1.2537652203552287,-0.1746,0.14285714285714285
Frequency 15,3,U1L1|U1L0|U1L2,14,23.23,286.0,1.2430519137348695,-0.0553,0.2857142857142857
Frequency 16,3,U0L0|U0L0|U1L1,14,6.99,251.69230769230768,0.46079162113460187,0.1284,0.6428571428571429
Frequency 17,3,U1L1|U0L1|U1L2,14,2.48,260.2307692307692,0.9475401565433258,-0.146,0.21428571428571427
Frequency 18,3,U1L1|U0L1|U1L1,14,-14.9,258.0,1.1873105458839444,-0.1888,0.21428571428571427
Frequency 19,3,U2L1|U2L0|U1L0,14,-12.7,221.46153846153845,0.9188135012135357,-0.0499,0.42857142857142855
Frequency 20,3,U1L1|U0L2|U0L1,14,4.81,225.15384615384616,1.0857875166919762,0.002,0.35714285714285715
Frequency 21,3,U2L0|U1L1|U1L1,14,-3.88,242.6153846153846,0.7016136695419716,0.0379,0.7142857142857143
Frequency 22,3,U1L1|U1L1|U0L1,13,1.33,316.8333333333333,0.5268134750108195,-0.0248,0.3076923076923077
Frequency 23,3,U0L2|U2L1|U1L1,13,-2.75,265.4166666666667,0.6586701382351139,0.0059,0.46153846153846156
Frequency 24,3,U1L1|U2L0|U2L1,13,5.56,285.1666666666667,1.0602723321716205,0.3734,0.9230769230769231
Frequency 25,3,U1L1|U1L1|U2L0,13,-27.31,292.6666666666667,0.8968422061232306,0.0535,0.5384615384615384
Frequency 26,3,U1L1|U1L1|U0L2,13,1.42,284.75,0.9020336600954629,0.0073,0.5384615384615384
Frequency 27,3,U2L1|U0L0|U2L1,13,0.8,306.6666666666667,1.0724017375813437,-0.0174,0.6923076923076923
Frequency 28,3,U2L1|U1L1|U1L2,13,4.52,255.91666666666666,0.7429422182067916,-0.0476,0.3076923076923077
Frequency 29,3,U1L1|U2L1|U1L0,13,14.04,281.75,0.992079407204632,-0.0135,0.46153846153846156
Frequency 30,3,U1L2|U1L1|U1L1,13,-9.53,275.0,0.8115339351029576,-0.0527,0.46153846153846156
Frequency 31,3,U2L0|U1L0|U1L1,12,-3.9,340.3636363636364,0.7148351104960984,-0.0215,0.5833333333333334
Frequency 32,3,U1L1|U1L1|U1L2,12,-10.26,312.45454545454544,1.0363115840138621,0.0321,0.4166666666666667
Frequency 33,3,U2L1|U1L1|U1L0,12,8.26,335.72727272727275,1.2613885897500556,-0.1276,0.25
Frequency 34,3,U1L1|U0L0|U1L2,12,5.7,339.27272727272725,0.684347987008105,-0.0954,0.3333333333333333
Frequency 35,3,U1L1|U0L1|U1L0,12,-4.43,295.3636363636364,1.0378986025460126,-0.0866,0.4166666666666667
Frequency 36,3,U0L1|U1L1|U1L0,12,-3.08,330.6363636363636,0.889512560681432,-0.129,0.25
Frequency 37,3,U0L2|U1L1|U1L1,12,-9.08,334.3636363636364,0.42787914507786745,0.0475,0.5
Frequency 38,3,U1L1|U0L1|U2L1,12,-9.1,321.3636363636364,0.7292237747966986,0.1035,0.4166666666666667
Frequency 39,3,U1L2|U1L1|U1L0,12,18.66,247.8181818181818,0.9859281837489707,0.0939,0.5
Frequency 40,3,U1L1|U2L0|U1L1,12,10.04,310.09090909090907,0.9890070147246104,0.0462,0.4166666666666667
Frequency 41,3,U1L1|U0L0|U0L0,12,-12.18,266.1818181818182,0.8069753191369602,0.0408,0.5833333333333334
Frequency 42,3,U1L1|U1L0|U1L1,12,2.45,289.27272727272725,0.7003475101889612,-0.1302,0.3333333333333333
Frequency 43,3,U1L2|U0L1|U1L1,12,-0.29,238.0,0.7997253510356291,0.1367,0.6666666666666666
Frequency 44,3,U1L1|U2L0|U0L0,11,2.84,371.8,0.6827645146751339,0.0046,0.36363636363636365
Frequency 45,3,U2L1|U1L1|U2L0,11,0.28,366.0,0.48437159702905824,-0.0374,0.6363636363636364
Frequency 46,3,U1L0|U1L1|U1L1,11,-29.72,360.6,0.92566862293302,0.0217,0.45454545454545453
Frequency 47,3,U0L1|U1L1|U0L1,11,4.13,239.6,0.8344306661320395,-0.1106,0.2727272727272727
Frequency 48,3,U0L1|U0L2|U1L1,11,3.58,345.4,0.9771982646441146,-0.0344,0.6363636363636364
Frequency 49,3,U1L2|U1L0|U1L1,11,-8.95,286.5,0.9863941658439697,0.0853,0.6363636363636364
Frequency 50,3,U1L2|U0L0|U0L0,11,9.86,281.5,1.0827382945454698,0.0879,0.6363636363636364
Frequency 51,3,U2L1|U0L1|U1L1,11,4.31,333.2,1.166926645664689,-0.0589,0.45454545454545453
Frequency 52,3,U1L1|U0L0|U1L1,11,4.36,367.8,0.6933646782598774,0.1367,0.36363636363636365
Frequency 53,3,U1L0|U1L2|U0L0,11,20.57,357.7,0.6693030796266898,0.0358,0.36363636363636365
Frequency 54,3,U1L0|U1L1|U2L1,11,1.88,263.5,0.6466825462498765,-0.002,0.5454545454545454
Frequency 55,3,U1L0|U0L1|U0L2,11,10.07,260.6,1.756402594478085,-0.118,0.18181818181818182
Frequency 56,3,U1L1|U1L1|U1L0,11,1.24,339.3,0.8295998590706302,-0.1641,0.2727272727272727
Frequency 57,3,U0L1|U1L2|U0L1,11,2.7,306.3,0.7386011419760145,-0.05,0.36363636363636365
Frequency 58,3,U1L0|U2L1|U2L1,11,-11.17,351.0,0.9736397938967719,0.1279,0.6363636363636364
Frequency 59,3,U2L0|U0L2|U1L2,11,17.08,334.1,0.6501684905561211,-0.0368,0.45454545454545453
Frequency 60,3,U2L1|U1L0|U1L1,11,-8.72,296.0,1.0518536457311845,0.0116,0.36363636363636365
Frequency 61,3,U0L2|U1L1|U0L1,11,-11.94,319.6,0.8196806068135631,-0.0268,0.45454545454545453
Frequency 62,3,U1L0|U0L2|U2L1,11,-12.11,224.2,0.5524830622102452,-0.0436,0.36363636363636365
Frequency 63,3,U1L2|U0L2|U1L1,11,-3.47,254.1,1.0781324083040136,0.2288,0.9090909090909091
Frequency 64,3,U1L2|U1L1|U1L2,11,15.1,289.9,1.393744889089436,-0.1604,0.2727272727272727
Frequency 65,3,U2L0|U0L1|U1L2,11,-20.57,218.1,0.6190651531243169,-0.0398,0.5454545454545454
Frequency 66,3,U0L2|U1L1|U0L0,10,17.48,357.44444444444446,1.18081746164734,-0.2032,0.2
Frequency 67,3,U0L1|U2L1|U1L1,10,4.44,418.6666666666667,0.8085574266401466,-0.0012,0.5
Frequency 68,3,U2L0|U2L0|U0L1,10,-8.34,377.55555555555554,0.9388433341774459,-0.0664,0.4
Frequency 69,3,U1L2|U0L1|U1L0,10,5.59,399.8888888888889,0.5975613130045656,0.0565,0.2
Frequency 70,3,U1L0|U2L1|U1L1,10,-5.47,380.22222222222223,0.6282413368348476,-0.2841,0.2
Frequency 71,3,U1L1|U1L0|U2L1,10,-12.95,277.3333333333333,0.45250448484161476,-0.0296,0.6
Frequency 72,3,U0L2|U0L1|U0L1,10,-12.79,328.55555555555554,0.9408923027472741,0.0294,0.5
Frequency 73,3,U0L0|U1L1|U0L0,10,11.31,405.6666666666667,0.5366112518267372,0.201,0.6
Frequency 74,3,U1L0|U1L1|U0L1,10,-13.0,412.1111111111111,1.0620815143332978,-0.1725,0.3
Frequency 75,3,U1L0|U1L2|U2L1,10,13.47,405.22222222222223,0.645920914918548,0.1069,0.8
Frequency 76,3,U2L1|U1L0|U1L2,10,7.22,384.6666666666667,1.202029797527589,0.3266,0.8
Frequency 77,3,U1L2|U1L1|U2L1,10,5.79,349.0,1.0094358822423173,-0.0024,0.4
Frequency 78,3,U1L1|U2L1|U2L1,10,4.76,384.8888888888889,0.9432469789360465,-0.1226,0.3
Frequency 79,3,U1L1|U0L2|U1L1,10,16.04,408.6666666666667,0.5190217568306877,-0.0441,0.3
Frequency 80,3,U0L0|U1L1|U1L2,10,-13.66,346.55555555555554,0.7956607799578417,0.1146,0.6
Frequency 81,3,U0L1|U1L2|U1L0,10,-18.42,307.44444444444446,0.5337119474908373,0.1289,0.6
Frequency 82,3,U2L0|U2L1|U1L1,10,-24.54,388.44444444444446,0.7294525941330477,-0.0817,0.3
Frequency 83,3,U0L2|U1L2|U1L1,10,6.51,379.8888888888889,0.7843333415822845,0.0801,0.6
Frequency 84,3,U0L1|U0L0|U1L1,10,13.34,386.3333333333333,0.45067577823379956,0.1475,0.6
Frequency 85,3,U2L1|U1L0|U2L1,10,-20.3,224.66666666666666,0.7410470542122348,0.0533,0.5
Frequency 86,3,U0L2|U2L1|U0L1,10,-19.87,357.3333333333333,0.6839919663450036,0.1177,0.7
Frequency 87,3,U1L2|U1L1|U0L0,10,11.44,383.6666666666667,0.8630066841284836,0.0013,0.3
Frequency 88,3,U1L1|U1L2|U1L0,10,-7.73,361.6666666666667,0.8292984922793863,0.1457,0.7
Frequency 89,3,U1L2|U2L1|U1L0,10,-1.36,369.1111111111111,0.8565807057789965,0.0278,0.6
Frequency 90,3,U0L1|U1L2|U2L0,10,1.07,330.55555555555554,0.8859500587121288,-0.3701,0.3
Frequency 91,3,U1L0|U1L1|U0L2,10,-8.87,346.6666666666667,1.1710235812359417,0.3693,0.8
Frequency 92,3,U0L0|U1L1|U2L1,10,9.67,335.6666666666667,1.1926229132024182,0.1067,0.7
Frequency 93,3,U1L1|U1L2|U0L2,10,-9.07,350.8888888888889,0.4546775999297324,0.0952,0.6
Frequency 94,3,U1L0|U0L1|U1L1,10,-7.91,320.55555555555554,0.7207523666700897,-0.1095,0.4
Frequency 95,3,U2L1|U2L1|U2L0,10,1.65,297.0,0.9487862611416608,0.1174,0.6
Frequency 96,3,U1L2|U1L0|U1L2,10,2.79,268.8888888888889,1.1498967266980529,0.0453,0.5
Frequency 97,3,U0L1|U2L1|U0L2,9,-26.21,447.5,0.7163091805278977,0.1305,0.6666666666666666
Frequency 98,3,U0L2|U1L2|U1L0,9,27.64,472.625,0.8720626875107721,-0.0632,0.5555555555555556
Frequency 99,3,U0L1|U1L0|U2L1,9,-5.08,308.375,0.7982817445880196,0.237,0.5555555555555556
Frequency 100,3,U0L2|U0L2|U2L1,9,19.21,410.5,1.2271412939561568,0.2093,0.8888888888888888
Frequency 101,3,U1L0|U1L2|U2L0,9,13.9,448.5,0.7638291271468886,0.2565,0.5555555555555556
Frequency 102,3,U1L0|U2L1|U0L1,9,13.87,429.125,0.8525030461354743,-0.0236,0.4444444444444444
Frequency 103,3,U1L2|U0L0|U0L2,9,26.98,396.75,0.9920316025808974,-0.0997,0.3333333333333333
Frequency 104,3,U1L1|U2L0|U0L2,9,-35.43,449.5,0.8621615365274741,0.1916,0.6666666666666666
Frequency 105,3,U2L0|U1L1|U0L0,9,-16.38,452.375,0.7833159582393544,-0.1289,0.2222222222222222
Frequency 106,3,U1L1|U0L0|U1L0,9,8.88,384.875,0.9320893017317065,-0.1253,0.4444444444444444
Frequency 107,3,U0L0|U1L0|U1L2,9,16.6,399.875,0.7623902551484734,0.0529,0.4444444444444444
Frequency 108,3,U1L1|U2L1|U0L0,9,14.68,455.25,0.6900585359577978,-0.2363,0.375
Frequency 109,3,U1L0|U0L1|U0L1,9,7.97,368.625,1.1395831618749668,0.0087,0.5555555555555556
Frequency 110,3,U1L1|U2L0|U1L0,9,-3.54,383.75,1.6196067346153522,-0.2125,0.2222222222222222
Frequency 111,3,U1L0|U0L0|U2L1,9,4.02,417.5,0.9205312700891131,-0.0821,0.4444444444444444
Frequency 112,3,U0L2|U0L2|U1L1,9,-10.62,420.125,0.554482467106844,-0.0202,0.4444444444444444
