name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,UM2|DS2|US1,11,-32.69,674.3,1.24127026006401,0.2855,0.6363636363636364
Frequency 2,3,UM2|US1|UM2,11,48.89,693.1,0.9629004651793827,0.0124,0.5454545454545454
Frequency 3,3,UM2|UM2|UM2,11,50.27,523.4,1.1022888541629507,-0.0982,0.45454545454545453
Frequency 4,3,UM2|US2|DM2,10,-18.73,692.5555555555555,1.2864503627654809,0.2327,0.6
Frequency 5,3,US1|UM2|UM2,10,50.61,662.7777777777778,0.8521276895174201,-0.0264,0.5
Frequency 6,3,DM2|DM2|DM2,9,-50.53,832.125,0.7401883910614033,0.0928,0.3333333333333333
Frequency 7,3,US2|US2|UM2,9,49.85,680.125,0.6215961261413654,-0.1594,0.4444444444444444
Frequency 8,3,US1|US1|UM3,9,46.32,798.0,0.8319712047765547,-0.1271,0.3333333333333333
Frequency 9,3,US1|DM2|DM2,9,-50.56,719.0,1.0923288734269225,-0.0095,0.4444444444444444
Frequency 10,3,DS2|US1|DM1,8,-22.44,994.0,1.1844515428307583,0.1404,0.625
Frequency 11,3,US1|DS2|DM2,8,-50.21,886.0,0.5186858758913206,-0.0093,0.625
Frequency 12,3,UM3|UM2|DM2,8,-4.74,817.4285714285714,0.8469926471788202,-0.2661,0.125
Frequency 13,3,DS1|US2|DS2,8,-15.38,957.4285714285714,0.8770348471663558,-0.2431,0.25
Frequency 14,3,UM2|DS1|UM2,8,30.9,799.0,1.0849058130443885,0.133,0.625
Frequency 15,3,DM2|US1|DS2,8,-31.46,802.2857142857143,0.5735339432155885,-0.2134,0.375
Frequency 16,3,UM2|UM2|UM3,8,41.27,841.8571428571429,0.9661767314030569,0.0904,0.375
Frequency 17,3,UM1|DM1|DM2,8,-49.76,605.1428571428571,0.8291038708020817,-0.102,0.5
Frequency 18,3,DM2|DS2|US1,8,-31.01,807.2857142857143,0.6557267457951577,-0.4685,0.125
Frequency 19,3,DS2|US1|US1,8,40.83,782.5714285714286,0.7342790504523957,-0.1853,0.375
Frequency 20,3,UM2|US1|UM3,8,47.78,824.0,0.5776994042514104,0.1774,0.75
