name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,U1L1|U1L1|U1L1,35,0.41,214.97058823529412,1.2896357719041014,0.0661,0.5142857142857142
Frequency 2,3,U1L1|U2L0|U1L1,31,-7.2,244.96666666666667,0.8797252483260481,-0.025,0.4838709677419355
Frequency 3,3,U1L1|U1L1|U0L1,31,3.52,215.1,0.8624067953052735,-0.1061,0.45161290322580644
Frequency 4,3,U1L1|U1L0|U1L1,30,3.05,235.20689655172413,1.0788761073903703,0.2295,0.7
Frequency 5,3,U1L1|U1L1|U1L2,29,9.24,262.32142857142856,0.9924189680834065,-0.1455,0.41379310344827586
Frequency 6,3,U1L0|U1L1|U1L1,29,16.01,237.32142857142858,0.9172072234150145,-0.0116,0.5862068965517241
Frequency 7,3,U1L1|U2L1|U2L1,28,6.54,256.0740740740741,1.1050336819333955,-0.0135,0.4642857142857143
Frequency 8,3,U2L1|U1L1|U1L1,27,1.22,278.11538461538464,1.0051072394148473,-0.056,0.4444444444444444
Frequency 9,3,U1L2|U1L1|U1L1,27,-10.94,279.2307692307692,1.0673527322607765,-0.0807,0.37037037037037035
Frequency 10,3,U0L1|U1L1|U1L1,26,-2.81,296.96,0.9945492965665587,0.0136,0.6153846153846154
Frequency 11,3,U1L1|U1L1|U1L0,26,18.0,269.76,0.8011223465035929,0.1441,0.7307692307692307
Frequency 12,3,U1L1|U1L1|U2L0,25,-6.77,299.375,0.8204480283109425,-0.2228,0.32
Frequency 13,3,U1L2|U1L1|U0L1,24,-1.21,325.2173913043478,0.9146536710921058,0.1599,0.625
Frequency 14,3,U1L1|U0L1|U1L1,24,-2.39,322.8695652173913,1.019156700708545,-0.1008,0.4583333333333333
Frequency 15,3,U0L1|U1L1|U2L1,24,-4.14,306.7826086956522,1.0569702427288696,-0.0638,0.4583333333333333
Frequency 16,3,U0L0|U1L1|U1L1,24,-0.09,304.2608695652174,0.8813930161242074,0.0797,0.5416666666666666
Frequency 17,3,U1L2|U1L2|U1L2,24,7.08,285.8695652173913,1.1842387463828459,-0.2207,0.3333333333333333
Frequency 18,3,U0L1|U1L1|U1L0,23,2.82,343.27272727272725,0.9273963976221284,-0.1069,0.4782608695652174
Frequency 19,3,U1L1|U0L1|U0L1,23,-6.18,330.09090909090907,0.9725155335593455,-0.5647,0.17391304347826086
Frequency 20,3,U0L1|U1L2|U1L1,23,8.95,339.22727272727275,0.999100721972489,0.061,0.5217391304347826
Frequency 21,3,U2L1|U2L1|U1L1,23,-13.02,336.90909090909093,1.082753410436315,-0.1499,0.5217391304347826
Frequency 22,3,U1L1|U2L0|U2L1,23,-22.91,318.72727272727275,1.3042803185128167,0.0285,0.5217391304347826
Frequency 23,3,U0L1|U0L1|U1L1,23,-5.31,331.27272727272725,0.7346326822748408,-0.1279,0.6086956521739131
Frequency 24,3,U1L1|U1L1|U2L1,23,-11.13,326.5,0.8339261546125903,0.0725,0.4782608695652174
Frequency 25,3,U1L2|U0L1|U1L1,23,-6.3,294.72727272727275,0.7165321412376362,-0.0203,0.43478260869565216
Frequency 26,3,U1L1|U1L0|U0L1,23,-5.06,305.54545454545456,0.9303464165001045,0.1404,0.5652173913043478
Frequency 27,3,U1L2|U1L2|U1L1,23,10.03,317.90909090909093,0.8617464024254703,0.0228,0.6086956521739131
Frequency 28,3,U1L1|U0L2|U1L1,23,4.03,285.90909090909093,0.8027900926697177,-0.0191,0.5652173913043478
Frequency 29,3,U0L0|U1L0|U1L1,23,13.08,297.72727272727275,0.9039541364598072,-0.0482,0.391304347826087
Frequency 30,3,U2L1|U1L0|U1L2,22,-0.15,331.8095238095238,1.3055100374173927,-0.0786,0.36363636363636365
Frequency 31,3,U1L0|U1L0|U1L1,22,6.54,339.04761904761904,0.8402670265980215,0.1805,0.5
Frequency 32,3,U1L2|U1L0|U1L1,22,17.63,356.5238095238095,1.0726197015033534,0.0637,0.5
Frequency 33,3,U0L0|U1L2|U1L1,22,2.84,342.0,1.0323418165558218,-0.0145,0.36363636363636365
Frequency 34,3,U1L1|U2L1|U1L1,22,3.65,346.04761904761904,1.2016091951949777,-0.1765,0.3181818181818182
Frequency 35,3,U1L1|U0L2|U2L1,22,3.71,354.3809523809524,0.8295994584162224,0.1128,0.5454545454545454
Frequency 36,3,U2L1|U0L1|U1L1,22,1.17,334.95238095238096,1.2253865843705685,-0.0762,0.4090909090909091
Frequency 37,3,U0L1|U0L0|U1L0,22,17.09,325.23809523809524,0.7881055639191618,0.0686,0.5909090909090909
Frequency 38,3,U1L1|U2L1|U1L0,22,7.96,322.85714285714283,0.8310841812245132,0.0523,0.45454545454545453
Frequency 39,3,U2L0|U1L1|U1L1,22,7.38,318.04761904761904,1.225038665015446,0.0358,0.6363636363636364
Frequency 40,3,U1L1|U0L0|U0L1,22,10.77,288.9047619047619,0.8179697199084611,-0.0275,0.4090909090909091
Frequency 41,3,U1L0|U2L1|U1L0,21,3.15,359.4,0.9576765713132208,0.0656,0.5238095238095238
Frequency 42,3,U1L1|U1L0|U1L0,21,-1.95,356.15,0.7162806859601846,-0.0293,0.5714285714285714
Frequency 43,3,U1L1|U0L2|U1L0,21,0.9,350.0,1.045143091462912,-0.1738,0.38095238095238093
Frequency 44,3,U2L0|U1L1|U1L0,21,5.23,351.85,0.8342623948000203,0.135,0.7142857142857143
Frequency 45,3,U1L1|U1L2|U0L1,21,-4.65,333.9,0.7026893744636689,0.0252,0.5238095238095238
Frequency 46,3,U2L1|U2L1|U0L0,21,-16.67,361.85,0.8141873482837065,0.0671,0.5238095238095238
Frequency 47,3,U2L1|U0L0|U1L1,21,10.07,349.75,0.7270424170396131,-0.1374,0.23809523809523808
Frequency 48,3,U0L1|U2L1|U1L1,21,-5.96,355.0,0.9100047849267416,-0.0697,0.42857142857142855
Frequency 49,3,U1L1|U0L0|U1L1,21,-7.91,332.7,0.9505995254581195,-0.187,0.23809523809523808
Frequency 50,3,U1L1|U1L0|U1L2,21,2.06,361.3,1.0333988127382383,-0.0108,0.3333333333333333
Frequency 51,3,U2L1|U1L1|U0L2,21,-0.42,360.1,0.8672804355006853,0.0207,0.47619047619047616
Frequency 52,3,U1L1|U0L1|U1L2,21,13.08,290.25,0.9149858273967181,-0.0941,0.42857142857142855
Frequency 53,3,U0L0|U2L1|U1L1,20,14.1,345.0,1.0887143680627833,0.1167,0.6
Frequency 54,3,U2L1|U1L1|U2L1,20,-2.2,381.0,1.2107359835330422,0.0564,0.55
Frequency 55,3,U0L1|U0L1|U1L2,20,-16.49,385.05263157894734,0.9537400858897753,-0.0736,0.3
Frequency 56,3,U0L0|U0L1|U0L1,20,-7.76,382.2631578947368,0.918217316626572,-0.0381,0.45
Frequency 57,3,U1L1|U1L1|U0L2,20,-7.56,385.05263157894734,0.876529513287981,-0.0727,0.45
Frequency 58,3,U0L0|U1L1|U1L0,20,11.57,364.89473684210526,0.8972488815491111,0.1032,0.6
Frequency 59,3,U0L1|U0L1|U0L1,20,-23.47,365.3157894736842,0.836500283129923,0.0355,0.55
Frequency 60,3,U0L2|U1L1|U0L1,20,-16.84,348.2105263157895,0.7708584655143776,-0.0469,0.6
Frequency 61,3,U0L2|U0L1|U0L1,20,-5.06,380.8421052631579,0.7715593549951274,0.0221,0.35
Frequency 62,3,U2L1|U2L0|U1L1,20,4.02,359.5263157894737,0.8279843512105743,0.1198,0.55
Frequency 63,3,U1L0|U1L1|U0L2,20,-4.45,336.42105263157896,1.0995345672267554,0.2605,0.6
Frequency 64,3,U0L0|U1L0|U2L1,20,-6.36,329.0,1.1016041904241427,0.0711,0.5
Frequency 65,3,U1L1|U1L2|U1L1,20,-8.1,340.2105263157895,0.8541531084121633,-0.0986,0.4
Frequency 66,3,U2L0|U2L1|U2L1,20,-16.76,347.8421052631579,0.7279600899508247,-0.0247,0.45
Frequency 67,3,U1L2|U1L1|U2L1,20,-17.84,330.7368421052632,0.7857842398932493,-0.0339,0.5
Frequency 68,3,U1L1|U2L0|U1L0,19,7.97,410.6111111111111,0.7492809424479973,0.0842,0.631578947368421
Frequency 69,3,U1L1|U0L1|U2L1,19,-6.04,366.8888888888889,1.0203930250639297,-0.0804,0.42105263157894735
Frequency 70,3,U1L0|U1L1|U2L1,19,-7.55,418.3888888888889,1.4898413769726777,0.1222,0.42105263157894735
Frequency 71,3,U2L1|U0L1|U0L0,19,5.86,367.55555555555554,0.9665431739064452,-0.1186,0.3157894736842105
Frequency 72,3,U0L1|U0L1|U0L0,19,-5.07,400.44444444444446,0.7667580740859362,0.2771,0.47368421052631576
Frequency 73,3,U1L2|U0L2|U1L2,19,-9.07,413.05555555555554,0.8667943261292903,-0.0928,0.42105263157894735
Frequency 74,3,U2L1|U0L1|U1L2,19,-10.13,407.94444444444446,0.6592579334738988,0.0398,0.5789473684210527
Frequency 75,3,U2L1|U0L0|U1L0,19,5.66,403.94444444444446,0.6572625002130635,0.0985,0.6842105263157895
Frequency 76,3,U1L0|U1L2|U1L0,19,23.55,400.27777777777777,0.9700712586808793,-0.0339,0.47368421052631576
Frequency 77,3,U0L1|U0L2|U1L1,19,-4.17,399.3888888888889,0.8508226665618198,-0.0909,0.47368421052631576
Frequency 78,3,U1L2|U1L1|U1L0,19,-10.25,378.1666666666667,0.6722617559567405,-0.0667,0.42105263157894735
Frequency 79,3,U0L1|U1L1|U0L2,19,-2.97,394.6666666666667,0.635168266638731,0.1999,0.6842105263157895
