strategy,in_trade_count,in_win_rate,in_avg_r,in_profit_factor,in_total_r,in_max_drawdown_r,in_best_trade_r,in_worst_trade_r,in_direction,in_source,out_trade_count,out_win_rate,out_avg_r,out_profit_factor,out_total_r,out_max_drawdown_r,out_best_trade_r,out_worst_trade_r,out_direction,out_source
body:DS1|US2|DS2@3(catalog),6,0.8333333333333334,0.7728462627761115,5.477610403791945,4.637077576656669,-1.0356143474942967,1.4697362732382209,-1.0356143474942967,short,catalog,2,0.5,0.116500506912363,2.0078050344717124,0.233001013824726,0.0,0.4641975308642189,-0.2311965170394929,short,catalog
body:UM3|DL3|UM2@3(catalog),6,0.8333333333333334,0.3514972383540312,5.771841296442543,2.108983430124187,-0.4419642857142916,1.4617695248498122,-0.4419642857142916,short,catalog,0,,,,,,,,short,catalog
body:UM3|UM2|DM2@3(catalog),7,0.8571428571428571,0.5688505944983361,4.839523506759656,3.9819541614883525,-1.0370959194488427,1.481270903010046,-1.037095919448843,short,catalog,1,1.0,0.14754762869884308,,0.14754762869884308,0.0,0.14754762869884308,0.14754762869884308,short,catalog
body:US1|UM2|UL2@3(catalog),6,0.8333333333333334,0.7432806508124017,5.344552843343518,4.45968390487441,-1.0265000946431782,1.4725328624681162,-1.0265000946431782,short,catalog,0,,,,,,,,short,catalog
body:US2|DM3|UL3@3(catalog),6,0.8333333333333334,0.3766953088685617,8.39348627428774,2.26017185321137,-0.30569771409078683,1.1760121238363241,-0.3056977140907868,long,catalog,1,1.0,1.0565249813571786,,1.0565249813571786,0.0,1.0565249813571786,1.0565249813571786,long,catalog
shadow:U0L0|U0L0|U1L1@3(reverse-long),9,0.5555555555555556,0.41649986391438365,2.377849309484243,3.7484987752294527,-1.035915854284231,1.4921634480828416,-1.0380331431675915,long,reverse,3,0.3333333333333333,-0.17463637109848718,0.042536211699824,-0.5239091132954615,-0.5164319248826106,0.023275145469643797,-0.5164319248826106,long,reverse
shadow:U0L2|U2L0|U1L1@3(reverse-short),9,0.5555555555555556,0.1957592876078935,1.5175700195706294,1.7618335884710414,-2.0859107272298156,1.4878840328861997,-1.0445151033386186,short,reverse,5,0.8,0.6529698466504479,6.6282910654175105,3.2648492332522396,-0.5800782502725896,1.4807850672522527,-0.5800782502725897,short,reverse
shadow:U1L0|U0L0|U0L0@3(reverse-long),7,1.0,0.8648500459081134,,6.053950321356794,0.0,1.4916072177926931,0.005398110661241006,long,reverse,4,0.5,0.09815700701919883,1.190542962562252,0.3926280280767953,-1.0310077519379686,1.468203497615247,-1.0310077519379686,long,reverse
shadow:U1L0|U0L1|U0L1@3(reverse-long),10,0.7,0.4345903402515964,3.5938573782819114,4.3459034025159635,-1.6754596605440781,1.4820328542094534,-1.0325505696349673,long,reverse,4,0.25,0.1749113035899239,1.9280284928735227,0.6996452143596956,-0.5529581757545208,1.4535500995355082,-0.332575183219621,long,reverse
shadow:U1L0|U1L1|U1L0@3(catalog),9,0.7777777777777778,0.45326743737429265,2.9872446555477135,4.079406936368634,-1.0190605854322536,1.4850746268656614,-1.0337349397590272,long,catalog,3,0.0,-0.8801775901565682,0.0,-2.6405327704697044,-1.609573018147711,-0.588405797101433,-1.0309597523219933,long,catalog
shadow:U1L1|U0L0|U1L1@3(catalog),14,0.8571428571428571,0.6734528034564627,9.288701020598209,9.428339248390479,-1.024280263614297,1.46957183221041,-1.024280263614297,short,catalog,6,0.5,-0.2972330500494533,0.24123928286039295,-1.7833983002967195,-1.813470551810093,0.38181818181819477,-1.0279720279720224,short,catalog
shadow:U1L1|U0L1|U0L1@3(reverse-short),16,0.75,0.4260556150768001,3.144852592529149,6.816889841228802,-2.0820994747703248,1.4840709978382114,-1.0417536534447052,short,reverse,7,0.8571428571428571,0.5329863283463373,1025.532969661868,3.7309042984243614,-0.0036415658733321976,1.1601176156107955,-0.003641565873332208,short,reverse
shadow:U1L1|U1L0|U1L1@3(catalog),19,0.7368421052631579,0.36252343210882243,2.8209135110128236,6.887945210067626,-2.133309245769235,1.4781215814970972,-1.0349912521869462,long,catalog,10,0.5,0.15348904231927138,1.4714495953940616,1.5348904231927138,-3.197863901906506,1.4843592894648585,-1.0320953690967651,long,catalog
shadow:U1L1|U1L1|U2L0@3(catalog),17,0.8235294117647058,0.6450710243173257,5.46281416300667,10.966207413394535,-1.0326873686668412,1.4834103566773396,-1.0326873686668412,short,catalog,8,0.375,-0.03621055254009173,0.886230637305834,-0.2896844203207338,-1.0368421052631585,0.7745325297481102,-1.0368421052631585,short,catalog
shadow:U1L1|U2L0|U1L2@3(reverse-long),7,0.8571428571428571,0.9398575081903878,7.454820225119278,6.579002557332715,-1.0192386972653669,1.47483372281144,-1.0192386972653669,long,reverse,6,0.5,-0.20611758899978638,0.2975791096616252,-1.2367055339987183,-1.2383282497578412,0.3576298857197726,-1.0256222547584095,long,reverse
shadow:U1L1|U2L1|U0L0@3(reverse-long),8,0.625,0.5836084896655485,12.246700287350416,4.668867917324388,-0.2825970906179023,1.4823766364551751,-0.18372703412071967,long,reverse,2,1.0,0.1752178707307104,,0.3504357414614208,0.0,0.2986339396596089,0.05180180180181192,long,reverse
shadow:U1L1|U2L1|U1L1@3(reverse-short),13,0.6153846153846154,0.1452066917699893,1.3654556469392303,1.8876869930098608,-3.101310873550019,1.4720893141945885,-1.044742729306477,short,reverse,9,0.6666666666666666,0.18969024690308708,1.6555775599552462,1.7072122221277837,-1.5746919313811791,1.4712938281730603,-1.0294426919032553,short,reverse
shadow:U1L2|U1L2|U1L2@3(catalog),16,0.6875,0.5666417104669315,5.485559230849791,9.066267367470903,-1.0452196382429246,1.4786975045648354,-1.0452196382429244,short,catalog,5,0.4,-0.2125901966822156,0.56364335320709,-1.062950983411078,-1.4003992500643543,1.1744358120606717,-1.035569105691076,short,catalog
shadow:U2L1|U1L1|U1L2@3(reverse-short),11,0.45454545454545453,0.019037875417391135,1.0383243038136531,0.20941662959130247,-3.2676904847371064,1.4706621961441744,-1.048899755501209,short,reverse,7,0.2857142857142857,-0.23708848315500794,0.4744997695623688,-1.6596193820850556,-3.133254033685824,1.4736346516007681,-1.0421306048750902,short,reverse
shadow:U2L1|U2L1|U1L1@3(reverse-short),13,0.5384615384615384,0.20367021548619843,1.612719041267758,2.6477128013205795,-2.8265577340563977,1.4753694581280612,-1.0324524802967203,short,reverse,9,0.3333333333333333,-0.23265632221009447,0.6052498638942988,-2.0939068998908503,-2.2067309885473536,1.463350785340297,-1.0362976406533806,short,reverse
