name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,U1L0|U1L1|U2L1,12,-15.46,190.72727272727272,0.6020409652455272,0.215,0.6666666666666666
Frequency 2,3,U1L0|U2L1|U1L2,10,15.28,183.77777777777777,0.8305422344819274,0.0019,0.6
Frequency 3,3,U0L0|U1L1|U0L1,10,7.55,242.66666666666666,0.621201170973998,0.0721,0.6
Frequency 4,3,U1L2|U0L1|U1L1,10,23.66,231.33333333333334,1.0992942615595827,0.0863,0.5
Frequency 5,3,U1L1|U1L0|U1L1,10,-19.14,200.88888888888889,1.053679040561424,0.04,0.5
Frequency 6,3,U2L1|U1L1|U1L1,10,10.89,232.55555555555554,0.9317522358062822,0.0313,0.5
Frequency 7,3,U0L1|U1L1|U2L0,10,-19.02,195.33333333333334,0.7687784334862621,0.1707,0.7
Frequency 8,3,U1L2|U1L1|U1L2,10,30.25,168.44444444444446,0.844526073209071,-0.0013,0.6
Frequency 9,3,U1L0|U1L1|U0L0,9,1.15,243.5,1.0017440698071831,0.0138,0.5555555555555556
Frequency 10,3,U1L0|U1L2|U1L1,9,-3.6,269.0,0.846263972976576,-0.0242,0.4444444444444444
Frequency 11,3,U0L2|U0L2|U1L1,9,-13.62,273.125,0.7417225413780931,0.066,0.6666666666666666
Frequency 12,3,U1L2|U1L0|U2L0,9,-15.69,258.625,0.7207323142841674,-0.1382,0.5555555555555556
Frequency 13,3,U1L1|U2L0|U1L1,9,6.05,242.625,1.1023644840032176,0.11,0.6666666666666666
Frequency 14,3,U0L1|U2L1|U2L1,9,-5.25,275.25,1.1715955877437991,0.0575,0.5555555555555556
Frequency 15,3,U1L0|U2L1|U1L1,9,-5.64,212.25,0.588724346361178,0.028,0.5555555555555556
Frequency 16,3,U0L1|U1L1|U1L0,9,0.37,200.375,0.4489285995775773,0.1075,0.6666666666666666
Frequency 17,3,U2L1|U1L1|U1L0,9,14.32,257.75,0.6638439522279447,0.0649,0.6666666666666666
Frequency 18,3,U1L2|U2L1|U2L1,9,-15.35,228.75,0.8374116810915968,0.018,0.6666666666666666
Frequency 19,3,U1L0|U0L1|U1L1,9,16.76,208.0,1.2139494478084,0.0251,0.7777777777777778
Frequency 20,3,U2L1|U1L2|U2L1,8,9.95,326.42857142857144,1.4493255686684716,0.0064,0.625
Frequency 21,3,U1L1|U1L0|U1L0,8,-4.74,326.2857142857143,1.0290667594258331,-0.1664,0.5
Frequency 22,3,U1L1|U0L0|U1L1,8,20.29,324.57142857142856,0.6319935173842145,0.0797,0.625
Frequency 23,3,U0L2|U0L0|U1L2,8,-13.02,309.85714285714283,0.7587473220126747,0.0446,0.625
Frequency 24,3,U0L2|U1L2|U1L0,8,12.5,296.0,0.8334378956279381,0.1561,0.75
Frequency 25,3,U0L0|U1L1|U1L1,8,3.99,315.0,0.8469453019689223,0.1714,0.75
Frequency 26,3,U2L1|U1L1|U2L1,8,29.79,288.0,0.9390309369393004,0.2065,0.875
Frequency 27,3,U1L1|U2L1|U0L0,8,3.06,283.2857142857143,0.5170040347929509,-0.1616,0.25
