strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM2|US2|DM2@3(catalog),long,2021-12-21 12:00:00,2021-12-22 04:00:00,608,612,timeout,1.0660450660450744,34.300000000000274
body:UM2|US2|DM2@3(catalog),long,2023-10-20 12:00:00,2023-10-23 04:00:00,3470,3474,timeout,0.7164018314031767,28.500000000000025
body:UM2|US2|DM2@3(catalog),long,2024-03-29 12:00:00,2024-04-01 04:00:00,4148,4152,timeout,0.10026601186820656,3.499999999999449
body:UM2|US2|DM2@3(catalog),long,2024-05-06 12:00:00,2024-05-07 04:00:00,4304,4308,timeout,0.5593649131989896,22.899999999999977
body:UM2|US2|DM2@3(catalog),long,2024-07-22 12:00:00,2024-07-23 04:00:00,4634,4638,timeout,0.37920937042460745,11.100000000000389
body:UM2|US2|DM2@3(catalog),long,2024-10-11 12:00:00,2024-10-14 04:00:00,4988,4992,timeout,0.6700167504187556,19.99999999999985
body:US1|UM2|US2@3(catalog),long,2021-09-22 08:00:00,2021-09-22 12:00:00,224,225,stop,-1.0510576221736074,-30.87857142857214
body:US1|UM2|US2@3(catalog),long,2021-12-13 08:00:00,2021-12-14 00:00:00,571,575,timeout,0.21819027680857397,6.700000000000429
body:US1|UM2|US2@3(catalog),long,2021-12-21 08:00:00,2021-12-22 00:00:00,607,611,timeout,0.5104681251470006,15.499999999999238
body:US1|UM2|US2@3(catalog),long,2022-05-16 08:00:00,2022-05-17 00:00:00,1231,1235,timeout,-0.3634582414891285,-15.900000000001077
body:US1|UM2|US2@3(catalog),long,2023-10-26 00:00:00,2023-10-26 16:00:00,3491,3495,timeout,1.1801152737752243,35.099999999999966
body:US1|UM2|US2@3(catalog),long,2024-03-14 12:00:00,2024-03-14 16:00:00,4082,4083,target,1.43512511584803,33.182142857143106
body:US1|UM2|US2@3(catalog),long,2024-12-11 08:00:00,2024-12-12 00:00:00,5245,5249,timeout,-0.043441938178773766,-1.2999999999998
body:UM1|DL3|DM1@3(catalog),long,2022-06-08 00:00:00,2022-06-08 08:00:00,1331,1333,target,1.4647443968773552,62.319642857142476
body:UM1|DL3|DM1@3(catalog),long,2023-01-18 16:00:00,2023-01-19 08:00:00,2289,2293,timeout,0.7336818120895265,39.099999999999525
body:UM1|DL3|DM1@3(catalog),long,2023-02-02 04:00:00,2023-02-02 20:00:00,2352,2356,timeout,0.9958196668596077,55.30000000000018
body:UM1|DL3|DM1@3(catalog),long,2023-08-30 00:00:00,2023-08-30 16:00:00,3245,3249,timeout,0.05464480874318978,2.0000000000007243
body:UM1|DL3|DM1@3(catalog),long,2024-03-21 04:00:00,2024-03-21 08:00:00,4110,4111,target,1.4512195121951363,44.62500000000019
body:UM1|DL3|DM1@3(catalog),long,2024-07-31 00:00:00,2024-07-31 12:00:00,4673,4676,stop,-1.0568874441283935,-27.867857142857165
body:UM1|DL3|DM1@3(catalog),long,2024-10-07 20:00:00,2024-10-08 12:00:00,4966,4970,timeout,0.6793321819228525,29.499999999999915
body:DM2|UM1|US1@3(catalog),long,2022-07-20 00:00:00,2022-07-20 16:00:00,1511,1515,timeout,1.0174741858617873,54.89999999999978
body:DM2|UM1|US1@3(catalog),long,2022-09-26 00:00:00,2022-09-26 16:00:00,1799,1803,timeout,1.3179882610196767,122.69999999999985
body:DM2|UM1|US1@3(catalog),long,2023-09-19 04:00:00,2023-09-19 20:00:00,3330,3334,timeout,0.1852417302799178,5.200000000000594
body:DM2|UM1|US1@3(catalog),long,2023-12-04 08:00:00,2023-12-05 00:00:00,3655,3659,timeout,0.3141025641025592,15.399999999999693
body:DM2|UM1|US1@3(catalog),long,2024-01-22 08:00:00,2024-01-23 00:00:00,3853,3857,timeout,-0.11321203472470845,-3.400000000000235
body:DM2|UM1|US1@3(catalog),long,2024-09-11 00:00:00,2024-09-11 04:00:00,4853,4854,stop,-1.0411764705882451,-37.92857142857169
body:UM2|UM3|UM1@3(catalog),long,2022-08-03 04:00:00,2022-08-03 16:00:00,1572,1575,target,1.4655511811023636,63.81428571428632
body:UM2|UM3|UM1@3(catalog),long,2022-11-17 20:00:00,2022-11-18 12:00:00,2032,2036,timeout,0.027228525121547015,1.7999999999994143
body:UM2|UM3|UM1@3(catalog),long,2024-01-02 20:00:00,2024-01-03 12:00:00,3772,3776,timeout,0.400599976923966,24.80000000000021
body:UM2|UM3|UM1@3(catalog),long,2024-03-26 12:00:00,2024-03-27 04:00:00,4130,4134,timeout,0.9051300070274058,27.59999999999968
body:UM2|UM3|UM1@3(catalog),long,2024-05-16 20:00:00,2024-05-17 12:00:00,4354,4358,timeout,1.1273813201523906,39.099999999999525
body:UM2|UM3|UM1@3(catalog),long,2024-07-23 20:00:00,2024-07-24 08:00:00,4642,4645,stop,-1.065176908752328,-24.514285714285652
body:UM2|UM3|UM1@3(catalog),long,2024-12-04 04:00:00,2024-12-04 16:00:00,5214,5217,stop,-1.037174721189596,-41.85000000000011
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-03-03 16:00:00,2022-03-04 08:00:00,921,925,timeout,-0.3308270676691746,-13.200000000000042
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-05-26 20:00:00,2022-05-27 12:00:00,1282,1286,stop,-1.0351053159478507,-44.22857142857189
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-07-04 16:00:00,2022-07-05 08:00:00,1443,1447,timeout,0.6530179553435281,35.19999999999951
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-09-21 04:00:00,2022-09-21 20:00:00,1782,1786,timeout,0.5159734779987947,21.40000000000014
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-10-05 08:00:00,2022-10-06 00:00:00,1843,1847,timeout,0.06512366689357903,4.100000000000049
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-10-27 08:00:00,2022-10-28 00:00:00,1939,1943,timeout,0.7728772877287755,46.00000000000032
shadow:U1L1|U1L2|U1L2@3(catalog),long,2022-11-25 12:00:00,2022-11-28 04:00:00,2066,2070,timeout,0.30140153157057675,14.899999999999748
shadow:U1L1|U1L2|U1L2@3(catalog),long,2023-09-01 08:00:00,2023-09-01 12:00:00,3259,3260,stop,-1.0463269358040874,-33.8785714285707
shadow:U1L1|U1L2|U1L2@3(catalog),long,2023-10-23 00:00:00,2023-10-23 16:00:00,3473,3477,timeout,0.21143473570659077,8.400000000000464
shadow:U1L1|U1L2|U1L2@3(catalog),long,2023-11-30 20:00:00,2023-12-01 12:00:00,3646,3650,timeout,0.30641425033947683,13.699999999999658
shadow:U1L1|U1L2|U1L2@3(catalog),long,2023-12-08 08:00:00,2023-12-08 12:00:00,3679,3680,target,1.4565891472868244,50.33035714285688
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-03-27 00:00:00,2024-03-27 16:00:00,4133,4137,timeout,0.5260669404006477,15.099999999999948
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-06-11 16:00:00,2024-06-12 08:00:00,4461,4465,timeout,-0.24656569214509957,-7.499999999999338
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-07-01 12:00:00,2024-07-01 16:00:00,4544,4545,target,1.445673263484669,39.91607142857162
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-07-15 00:00:00,2024-07-15 16:00:00,4601,4605,timeout,0.3488786044855771,10.499999999999789
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-07-23 04:00:00,2024-07-23 20:00:00,4638,4642,timeout,0.6901278502702031,18.700000000000216
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-09-02 12:00:00,2024-09-03 04:00:00,4814,4818,timeout,0.7090275816624422,26.900000000000645
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-09-20 12:00:00,2024-09-23 04:00:00,4898,4902,timeout,0.7215447154471626,35.50000000000036
shadow:U1L1|U1L2|U1L2@3(catalog),long,2024-11-04 20:00:00,2024-11-05 12:00:00,5086,5090,timeout,0.014485256078644733,0.6000000000004346
shadow:U0L2|U0L1|U1L2@3(catalog),short,2021-10-20 00:00:00,2021-10-20 16:00:00,342,346,timeout,1.1177644710578818,38.00000000000009
shadow:U0L2|U0L1|U1L2@3(catalog),short,2021-12-28 00:00:00,2021-12-28 16:00:00,635,639,timeout,0.15515771526001154,3.899999999999849
shadow:U0L2|U0L1|U1L2@3(catalog),short,2022-01-11 12:00:00,2022-01-12 04:00:00,698,702,timeout,0.89573847051957,27.400000000000592
shadow:U0L2|U0L1|U1L2@3(catalog),short,2022-06-30 00:00:00,2022-06-30 12:00:00,1427,1430,stop,-1.0342801175318288,-45.257142857142604
shadow:U0L2|U0L1|U1L2@3(catalog),short,2022-11-07 04:00:00,2022-11-07 20:00:00,1980,1984,timeout,1.0238742822604954,84.6999999999996
shadow:U0L2|U0L1|U1L2@3(catalog),short,2023-05-02 16:00:00,2023-05-03 00:00:00,2733,2735,target,1.467236133863788,67.17321428571383
shadow:U0L2|U0L1|U1L2@3(catalog),short,2023-10-18 12:00:00,2023-10-19 04:00:00,3458,3462,timeout,-0.019979612640171986,-0.7000000000003103
shadow:U0L2|U0L1|U1L2@3(catalog),short,2023-11-21 08:00:00,2023-11-22 00:00:00,3601,3605,timeout,-0.0846330552532913,-2.49999999999989
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-01-11 20:00:00,2024-01-12 12:00:00,3814,3818,timeout,0.7525135344160845,27.79999999999988
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-04-23 12:00:00,2024-04-24 04:00:00,4250,4254,timeout,-0.00256269449019942,-0.09999999999971024
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-05-15 16:00:00,2024-05-15 16:00:00,4347,4347,stop,-1.054858934169275,-28.84285714285689
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-05-27 08:00:00,2024-05-28 00:00:00,4393,4397,timeout,0.629856850715732,13.199999999999713
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-06-26 00:00:00,2024-06-26 08:00:00,4523,4525,stop,-1.067469879518058,-23.732142857142588
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-10-31 12:00:00,2024-11-01 04:00:00,5072,5076,timeout,0.45671676569965525,14.000000000000513
shadow:U0L2|U0L1|U1L2@3(catalog),short,2024-12-09 20:00:00,2024-12-10 12:00:00,5236,5240,timeout,-0.4548507124058376,-17.899999999999746
shadow:U1L1|U0L2|U1L1@3(catalog),long,2021-08-18 12:00:00,2021-08-18 16:00:00,75,76,target,1.4486615328199517,42.326785714286
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-05-16 12:00:00,2022-05-17 04:00:00,1232,1236,timeout,-0.6634646173551095,-29.59999999999979
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-07-14 08:00:00,2022-07-15 00:00:00,1489,1493,timeout,0.043837176202672086,2.199999999999814
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-07-18 12:00:00,2022-07-19 04:00:00,1502,1506,timeout,0.5480500367917529,26.599999999999792
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-08-18 04:00:00,2022-08-18 16:00:00,1638,1641,target,1.461800818553891,57.40178571428594
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-12-16 00:00:00,2022-12-16 16:00:00,2153,2157,timeout,0.8481668852663797,48.50000000000004
shadow:U1L1|U0L2|U1L1@3(catalog),long,2022-12-20 12:00:00,2022-12-21 04:00:00,2168,2172,timeout,0.45406486640948446,22.699999999999775
shadow:U1L1|U0L2|U1L1@3(catalog),long,2023-04-07 12:00:00,2023-04-10 04:00:00,2630,2634,timeout,0.648695463895204,21.40000000000014
shadow:U1L1|U0L2|U1L1@3(catalog),long,2023-05-23 04:00:00,2023-05-23 20:00:00,2820,2824,timeout,0.8235294117646943,30.299999999999606
shadow:U1L1|U0L2|U1L1@3(catalog),long,2023-09-25 00:00:00,2023-09-25 16:00:00,3353,3357,target,1.4690539345711842,71.20714285714352
shadow:U1L1|U0L2|U1L1@3(catalog),long,2024-06-11 08:00:00,2024-06-12 00:00:00,4459,4463,timeout,0.48292854628653975,14.700000000000658
shadow:U1L1|U0L2|U1L1@3(catalog),long,2024-11-28 08:00:00,2024-11-29 00:00:00,5191,5195,timeout,-0.6415543946476261,-25.000000000000743
shadow:U1L1|U0L2|U1L1@3(catalog),long,2024-12-23 04:00:00,2024-12-23 20:00:00,5292,5296,timeout,1.1164676728993022,53.1000000000002
shadow:U2L1|U2L0|U2L1@3(catalog),short,2021-12-23 08:00:00,2021-12-23 08:00:00,619,619,stop,-1.0556438791732825,-28.457142857142458
shadow:U2L1|U2L0|U2L1@3(catalog),short,2022-01-31 12:00:00,2022-01-31 20:00:00,782,784,target,1.4545306917830492,47.9839285714288
shadow:U2L1|U2L0|U2L1@3(catalog),short,2022-03-17 08:00:00,2022-03-18 00:00:00,979,983,timeout,0.721649484536076,29.99999999999986
shadow:U2L1|U2L0|U2L1@3(catalog),short,2022-09-12 04:00:00,2022-09-12 20:00:00,1740,1744,timeout,0.9261319456905411,55.30000000000018
shadow:U2L1|U2L0|U2L1@3(catalog),short,2023-03-17 00:00:00,2023-03-17 16:00:00,2537,2541,timeout,0.07284552845529763,5.600000000000994
shadow:U2L1|U2L0|U2L1@3(catalog),short,2023-12-13 16:00:00,2023-12-13 20:00:00,3699,3700,target,1.4568567026194008,50.651785714285026
shadow:U2L1|U2L0|U2L1@3(catalog),short,2024-04-29 12:00:00,2024-04-30 04:00:00,4274,4278,timeout,0.04222033738573994,1.6000000000003245
shadow:U2L1|U2L0|U2L1@3(catalog),short,2024-11-25 04:00:00,2024-11-25 20:00:00,5172,5176,timeout,0.9695988487138076,38.500000000000036
shadow:U1L1|U1L1|U1L2@3(catalog),long,2021-09-16 08:00:00,2021-09-16 12:00:00,200,201,target,1.4501246882792886,43.61249999999966
shadow:U1L1|U1L1|U1L2@3(catalog),long,2021-11-01 12:00:00,2021-11-01 16:00:00,393,394,stop,-1.0410798122065643,-38.01428571428527
shadow:U1L1|U1L1|U1L2@3(catalog),long,2022-05-06 20:00:00,2022-05-09 12:00:00,1198,1202,timeout,0.4487427466150912,34.80000000000022
shadow:U1L1|U1L1|U1L2@3(catalog),long,2022-07-18 20:00:00,2022-07-19 08:00:00,1504,1507,stop,-1.027860696517407,-55.33928571428553
shadow:U1L1|U1L1|U1L2@3(catalog),long,2022-09-21 00:00:00,2022-09-21 16:00:00,1781,1785,timeout,0.4954760188966335,22.100000000000286
shadow:U1L1|U1L1|U1L2@3(catalog),long,2022-12-22 00:00:00,2022-12-22 16:00:00,2177,2181,timeout,0.8344744260974589,44.39999999999983
shadow:U1L1|U1L1|U1L2@3(catalog),long,2023-02-15 00:00:00,2023-02-15 16:00:00,2405,2409,timeout,1.0133986928104652,44.30000000000028
shadow:U1L1|U1L1|U1L2@3(catalog),long,2023-03-17 20:00:00,2023-03-20 12:00:00,2542,2546,timeout,-0.1815256483058868,-13.699999999999987
shadow:U1L1|U1L1|U1L2@3(catalog),long,2023-05-04 08:00:00,2023-05-05 00:00:00,2743,2747,timeout,0.4710539336961944,20.40000000000025
shadow:U1L1|U1L1|U1L2@3(catalog),long,2023-05-17 00:00:00,2023-05-17 16:00:00,2795,2799,target,1.4583457304373801,52.516071428572005
shadow:U1L1|U1L1|U1L2@3(catalog),long,2023-07-27 04:00:00,2023-07-27 08:00:00,3102,3103,stop,-1.0382200382200517,-40.7464285714289
shadow:U1L1|U1L1|U1L2@3(catalog),long,2024-01-22 12:00:00,2024-01-23 04:00:00,3854,3858,timeout,-0.7189362677670966,-22.40000000000036
shadow:U1L1|U1L1|U1L2@3(catalog),long,2024-02-19 00:00:00,2024-02-19 16:00:00,3971,3975,timeout,0.4582498329993548,14.700000000000658
shadow:U1L1|U1L1|U1L2@3(catalog),long,2024-04-10 12:00:00,2024-04-10 12:00:00,4196,4196,target,1.4419087136929574,37.23214285714299
