strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM2|US2|DM2@3(catalog),long,2025-03-24 12:00:00,2025-03-25 04:00:00,312,316,timeout,0.10080474375264414,3.399999999999904
body:UM2|US2|DM2@3(catalog),long,2025-07-18 00:00:00,2025-07-18 16:00:00,813,817,stop,-1.0311318656882351,-49.68214285714273
body:UM2|US2|DM2@3(catalog),long,2025-11-05 04:00:00,2025-11-05 20:00:00,1282,1286,timeout,0.45345450308748825,13.899999999999858
body:UM2|US2|DM2@3(catalog),long,2026-03-24 12:00:00,2026-03-25 04:00:00,1866,1870,timeout,0.447474525328064,21.80000000000054
body:UM2|US2|DM2@3(catalog),long,2026-04-24 12:00:00,2026-04-27 04:00:00,2004,2008,timeout,-0.4568550153307023,-14.900000000000077
body:UM2|US2|DM2@3(catalog),long,2026-05-01 12:00:00,2026-05-04 00:00:00,2034,2037,stop,-1.0378685420611173,-41.11071428571383
body:UM1|DL3|DM1@3(catalog),long,2025-06-24 00:00:00,2025-06-24 12:00:00,705,708,stop,-1.0385250412768208,-40.43571428571385
body:DM2|UM1|US1@3(catalog),long,2025-04-30 00:00:00,2025-04-30 16:00:00,471,475,timeout,-0.08564294631710483,-4.900000000000069
body:DM2|UM1|US1@3(catalog),long,2026-04-17 08:00:00,2026-04-17 12:00:00,1973,1974,stop,-1.0600085726532373,-26.496428571428808
shadow:U1L1|U1L2|U1L2@3(catalog),long,2025-01-31 16:00:00,2025-02-03 00:00:00,97,99,target,1.455640050697089,49.22142857142858
shadow:U1L1|U1L2|U1L2@3(catalog),long,2025-04-24 08:00:00,2025-04-25 00:00:00,449,453,timeout,0.2572019429615679,19.099999999999508
shadow:U1L1|U1L2|U1L2@3(catalog),long,2025-06-05 20:00:00,2025-06-06 12:00:00,632,636,timeout,0.9870088719898545,44.499999999999375
shadow:U1L1|U1L2|U1L2@3(catalog),long,2025-06-11 20:00:00,2025-06-12 00:00:00,656,657,stop,-1.0480604188122264,-32.71071428571431
shadow:U1L1|U1L2|U1L2@3(catalog),long,2025-06-16 12:00:00,2025-06-17 04:00:00,672,676,timeout,0.26011944260119857,12.600000000000223
shadow:U1L1|U1L2|U1L2@3(catalog),long,2026-02-23 00:00:00,2026-02-23 16:00:00,1737,1741,timeout,0.24005486968450343,7.500000000000119
shadow:U1L1|U1L2|U1L2@3(catalog),long,2026-03-31 08:00:00,2026-03-31 16:00:00,1895,1897,target,1.45818399044205,52.30714285714294
shadow:U1L1|U1L2|U1L2@3(catalog),long,2026-05-01 20:00:00,2026-05-04 12:00:00,2036,2040,timeout,0.5701306076093094,25.099999999999955
shadow:U1L1|U1L2|U1L2@3(catalog),long,2026-05-29 08:00:00,2026-05-29 16:00:00,2153,2155,stop,-1.052395209580835,-30.128571428571668
shadow:U1L1|U1L2|U1L2@3(catalog),long,2026-06-10 04:00:00,2026-06-10 20:00:00,2200,2204,timeout,0.28544949026877686,9.900000000000299
shadow:U0L2|U0L1|U1L2@3(catalog),short,2025-02-05 16:00:00,2025-02-06 08:00:00,115,119,timeout,-0.5130890052355963,-25.199999999999832
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-01-13 12:00:00,2026-01-13 16:00:00,1566,1567,stop,-1.05221932114884,-30.225000000000552
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-03-12 12:00:00,2026-03-12 20:00:00,1818,1820,stop,-1.0399201596806322,-39.07499999999969
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-03-20 04:00:00,2026-03-20 20:00:00,1852,1856,timeout,0.11922141119220793,4.899999999999739
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-03-24 08:00:00,2026-03-25 00:00:00,1865,1869,timeout,0.22432929070195115,10.900000000000189
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-05-05 16:00:00,2026-05-06 08:00:00,2047,2051,timeout,1.2098765432098941,46.90000000000066
shadow:U0L2|U0L1|U1L2@3(catalog),short,2026-06-30 00:00:00,2026-06-30 08:00:00,2283,2285,stop,-1.0552268244575949,-28.660714285714427
shadow:U1L1|U0L2|U1L1@3(catalog),long,2025-07-08 00:00:00,2025-07-08 16:00:00,765,769,timeout,-0.2469291338582932,-8.400000000000794
shadow:U1L1|U0L2|U1L1@3(catalog),long,2025-10-17 16:00:00,2025-10-20 08:00:00,1207,1211,timeout,0.05126722559506786,1.9000000000000694
shadow:U1L1|U0L2|U1L1@3(catalog),long,2026-01-20 00:00:00,2026-01-20 08:00:00,1593,1595,stop,-1.0542425416505106,-29.15357142857083
shadow:U1L1|U0L2|U1L1@3(catalog),long,2026-03-04 04:00:00,2026-03-04 20:00:00,1780,1784,timeout,-0.5807724120379316,-32.60000000000057
shadow:U2L1|U2L0|U2L1@3(catalog),short,2025-03-27 04:00:00,2025-03-27 20:00:00,328,332,timeout,0.6250797295573465,17.500000000000128
shadow:U2L1|U2L0|U2L1@3(catalog),short,2025-10-06 04:00:00,2025-10-06 08:00:00,1150,1151,stop,-1.0551615445232485,-28.692857142857015
shadow:U2L1|U2L0|U2L1@3(catalog),short,2026-02-18 12:00:00,2026-02-19 04:00:00,1722,1726,timeout,-0.694393099199018,-16.10000000000017
shadow:U2L1|U2L0|U2L1@3(catalog),short,2026-03-10 04:00:00,2026-03-10 20:00:00,1804,1808,timeout,-0.3242009132420082,-14.199999999999932
shadow:U2L1|U2L0|U2L1@3(catalog),short,2026-03-17 16:00:00,2026-03-18 08:00:00,1837,1841,timeout,0.05792604085854689,2.400000000000014
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-05-28 20:00:00,2025-05-29 00:00:00,596,597,target,1.4652346660044762,63.21964285714282
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-06-05 16:00:00,2025-06-06 08:00:00,631,635,timeout,0.3587951406223957,15.399999999999693
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-06-26 08:00:00,2025-06-26 08:00:00,719,719,stop,-1.042411390487732,-36.86785714285728
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-07-18 08:00:00,2025-07-18 16:00:00,815,817,stop,-1.034338974736335,-45.18214285714322
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-07-23 12:00:00,2025-07-24 04:00:00,834,838,timeout,-0.08209483368716756,-2.8999999999991797
shadow:U1L1|U1L1|U1L2@3(catalog),long,2025-08-12 04:00:00,2025-08-12 12:00:00,916,918,stop,-1.0496982605608671,-31.682142857142487
shadow:U1L1|U1L1|U1L2@3(catalog),long,2026-02-19 04:00:00,2026-02-19 20:00:00,1726,1730,timeout,0.9414126207502159,26.79999999999999
shadow:U1L1|U1L2|U2L0@3(reverse-long),long,2025-05-22 04:00:00,2025-05-22 20:00:00,568,572,timeout,0.731683648714227,37.700000000000344
shadow:U1L1|U1L2|U2L0@3(reverse-long),long,2026-04-17 08:00:00,2026-04-17 12:00:00,1973,1974,stop,-1.0600085726532373,-26.496428571428808
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-01-22 04:00:00,2025-01-22 20:00:00,52,56,timeout,-0.07296849087892959,-3.2999999999995797
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-02-03 04:00:00,2025-02-03 16:00:00,100,103,stop,-1.038472107721913,-40.48928571428595
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-02-05 00:00:00,2025-02-05 16:00:00,111,115,timeout,-0.7617538298996344,-41.20000000000029
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-04-21 04:00:00,2025-04-21 04:00:00,430,430,stop,-1.030414946773848,-50.81785714285763
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-05-21 04:00:00,2025-05-21 08:00:00,562,563,stop,-1.0333571598761029,-46.46785714285689
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-05-21 12:00:00,2025-05-22 04:00:00,564,568,timeout,-0.19964349376114543,-10.000000000000174
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-08-04 08:00:00,2025-08-05 00:00:00,881,885,timeout,0.540617331783551,29.900000000000315
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-08-20 20:00:00,2025-08-21 12:00:00,956,960,timeout,0.7563598216627494,20.600000000000453
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-09-19 16:00:00,2025-09-22 08:00:00,1087,1091,timeout,-0.515337423312899,-18.900000000000748
shadow:U1L1|U0L0|U1L1@3(reverse-long),long,2025-09-30 12:00:00,2025-10-01 04:00:00,1128,1132,timeout,-0.7840475180313958,-19.799999999999983
shadow:U1L1|U1L1|U2L0@3(reverse-long),long,2025-07-09 16:00:00,2025-07-10 00:00:00,775,777,stop,-1.0482259731312333,-32.60357142857123
shadow:U1L1|U1L1|U2L0@3(reverse-long),long,2025-08-05 00:00:00,2025-08-05 16:00:00,885,889,timeout,-0.08455638098690607,-5.000000000000724
shadow:U1L1|U1L1|U2L0@3(reverse-long),long,2025-08-29 08:00:00,2025-08-29 16:00:00,995,997,stop,-1.0466822274091208,-33.63214285714194
shadow:U1L1|U1L1|U2L0@3(reverse-long),long,2025-10-20 08:00:00,2025-10-21 00:00:00,1211,1215,timeout,-0.3059244607704787,-11.600000000000662
shadow:U1L1|U1L1|U2L0@3(reverse-long),long,2025-12-23 00:00:00,2025-12-23 08:00:00,1485,1487,stop,-1.063034669068001,-25.296428571428716
shadow:U1L1|U0L2|U1L1@3(reverse-long),long,2025-07-08 00:00:00,2025-07-08 16:00:00,765,769,timeout,-0.2469291338582932,-8.400000000000794
shadow:U1L1|U0L2|U1L1@3(reverse-long),long,2025-10-17 16:00:00,2025-10-20 08:00:00,1207,1211,timeout,0.05126722559506786,1.9000000000000694
shadow:U1L1|U0L2|U1L1@3(reverse-long),long,2026-01-20 00:00:00,2026-01-20 08:00:00,1593,1595,stop,-1.0542425416505106,-29.15357142857083
shadow:U1L1|U0L2|U1L1@3(reverse-long),long,2026-03-04 04:00:00,2026-03-04 20:00:00,1780,1784,timeout,-0.5807724120379316,-32.60000000000057
shadow:U1L1|U0L0|U0L0@3(reverse-long),long,2025-05-27 00:00:00,2025-05-27 08:00:00,585,587,target,1.4617381798305569,57.30535714285706
shadow:U1L1|U0L0|U0L0@3(reverse-long),long,2025-08-11 12:00:00,2025-08-11 16:00:00,912,913,target,1.4525101763907897,45.87857142857238
shadow:U1L1|U0L0|U0L0@3(reverse-long),long,2025-12-02 00:00:00,2025-12-02 16:00:00,1395,1399,timeout,-0.08837096382615243,-2.5999999999994348
shadow:U1L1|U0L0|U0L0@3(reverse-long),long,2026-01-28 00:00:00,2026-01-28 16:00:00,1629,1633,target,1.4787395596051705,104.3303571428576
shadow:U1L1|U0L0|U0L0@3(reverse-long),long,2026-03-05 12:00:00,2026-03-06 04:00:00,1788,1792,timeout,0.4098176086466977,19.499999999999908
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-02-06 00:00:00,2025-02-06 16:00:00,117,121,stop,-1.0334208641680644,-46.382142857143315
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-02-13 12:00:00,2025-02-14 04:00:00,150,154,timeout,0.8872493378736134,33.499999999999474
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-04-15 08:00:00,2025-04-16 00:00:00,407,411,timeout,-0.22448594604791197,-25.499999999999577
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-05-06 04:00:00,2025-05-06 20:00:00,496,500,timeout,0.4859365649311771,26.099999999999845
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-11-12 04:00:00,2025-11-12 20:00:00,1312,1316,timeout,1.0638348082595943,32.19999999999984
shadow:U1L2|U0L1|U0L1@3(reverse-short),short,2025-11-18 12:00:00,2025-11-18 16:00:00,1338,1339,stop,-1.044122281752298,-35.49642857142892
shadow:U1L1|U2L1|U2L0@3(reverse-short),short,2025-01-23 20:00:00,2025-01-24 12:00:00,62,66,timeout,-0.06406656266251114,-2.200000000000145
shadow:U1L1|U2L1|U2L0@3(reverse-short),short,2025-03-27 00:00:00,2025-03-27 16:00:00,327,331,timeout,0.42959663449641317,12.400000000000023
shadow:U1L1|U2L1|U2L0@3(reverse-short),short,2025-12-09 16:00:00,2025-12-10 08:00:00,1429,1433,timeout,0.28898186889821026,7.400000000000574
shadow:U0L0|U0L2|U0L1@3(reverse-short),short,2026-01-08 08:00:00,2026-01-08 16:00:00,1547,1549,stop,-1.057827344072703,-27.43928571428594
shadow:U0L0|U0L2|U0L1@3(reverse-short),short,2026-02-10 00:00:00,2026-02-10 16:00:00,1683,1687,timeout,-0.6709075487701274,-22.59999999999945
shadow:U1L1|U2L0|U1L0@3(reverse-short),short,2025-09-30 20:00:00,2025-10-01 12:00:00,1130,1134,stop,-1.0513573000733663,-30.707142857142763
shadow:U1L1|U2L0|U1L0@3(reverse-short),short,2026-04-14 12:00:00,2026-04-15 04:00:00,1956,1960,timeout,-0.21976744186046354,-8.09999999999994
