name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,UM2|DS1|UM2,12,25.8,658.6363636363636,0.92819928073971,0.1079,0.5
Frequency 2,3,UM2|US2|DM2,12,-29.06,616.9090909090909,1.1994440938923834,0.1168,0.8333333333333334
Frequency 3,3,DS2|UM2|DS1,12,21.76,491.8181818181818,0.9699187834836687,0.1723,0.75
Frequency 4,3,UM2|DM2|UM2,12,-8.51,317.09090909090907,0.6769860003439102,-0.003,0.5833333333333334
Frequency 5,3,DM2|UM2|UM2,11,49.21,707.0,0.7674632746673582,0.0259,0.5454545454545454
Frequency 6,3,UM2|UM2|DM3,10,-32.41,805.3333333333334,1.7790100081310125,0.1009,0.7
Frequency 7,3,UM2|UM1|UM2,9,43.06,834.5,0.8565639246576326,0.0525,0.5555555555555556
Frequency 8,3,US2|DM2|UM2,9,12.57,798.0,0.8570423166495701,-0.0498,0.5555555555555556
Frequency 9,3,DM2|UM2|DS1,9,31.33,648.75,0.7628129804484308,0.04,0.5555555555555556
Frequency 10,3,UM1|US1|UM2,9,49.0,751.75,0.8171220071782977,-0.0227,0.4444444444444444
Frequency 11,3,UM2|DS2|UM2,9,-24.46,644.25,0.9859653618585549,0.0741,0.6666666666666666
Frequency 12,3,UM1|US1|DM1,9,-14.26,651.0,0.6750815661568552,-0.0944,0.3333333333333333
Frequency 13,3,DS1|UM2|UM3,8,49.85,1086.4285714285713,0.8851312919153533,0.0563,0.5
Frequency 14,3,DM1|UM2|UM2,8,45.44,904.1428571428571,0.8229821078859197,-0.0117,0.5
Frequency 15,3,UM1|DM2|UM1,8,-38.54,980.0,0.8357633201119804,-0.0071,0.5
Frequency 16,3,UM2|US1|UM1,8,49.58,995.7142857142857,0.5009413565810427,0.0062,0.25
Frequency 17,3,US1|UM1|UM2,8,48.45,896.2857142857143,1.1439624407574556,0.1574,0.75
Frequency 18,3,UM2|US2|UM2,8,50.19,897.4285714285714,0.7495000596242044,-0.0022,0.5
Frequency 19,3,UM1|DL3|DM1,8,-48.45,676.2857142857143,0.5232317719968245,0.2348,0.75
Frequency 20,3,DM2|UM1|US1,8,37.91,831.7142857142857,0.6332852240512418,0.2719,0.625
Frequency 21,3,DS2|UM2|US1,8,49.08,765.4285714285714,0.7380707187389669,-0.0876,0.375
Frequency 22,3,UM1|UM3|UM1,8,49.29,758.2857142857143,1.083632061818091,-0.052,0.5
Frequency 23,3,US1|UM2|UM1,8,49.53,793.7142857142857,0.6263908529095579,-0.1381,0.5
Frequency 24,3,UM1|US2|DM2,8,-16.45,547.7142857142857,0.6713320145811431,-0.3315,0.375
Frequency 25,3,UM2|DM2|US2,7,-33.16,1235.5,0.4200041556931228,0.1641,0.7142857142857143
Frequency 26,3,US1|UM2|US2,7,50.09,836.8333333333334,0.8615461149323154,0.1829,0.8571428571428571
Frequency 27,3,UL2|DS2|UM2,7,20.02,992.8333333333334,0.8470154633080644,-0.1777,0.2857142857142857
Frequency 28,3,US2|DS1|DM2,7,-48.92,1111.1666666666667,0.8785950874193487,0.1826,0.5714285714285714
Frequency 29,3,UM2|DS1|US1,7,-18.51,763.0,0.42903944102608177,0.2224,0.7142857142857143
Frequency 30,3,DS2|DM1|DM2,7,-49.56,1058.0,0.7754805372894618,0.0021,0.5714285714285714
Frequency 31,3,UM2|UM2|UM1,7,49.9,1067.5,0.9221018569626597,-0.0042,0.2857142857142857
Frequency 32,3,UL3|UM2|UM2,7,49.82,1076.1666666666667,0.9514884845045127,-0.0196,0.5714285714285714
Frequency 33,3,UM2|UM1|DM1,7,11.91,1040.3333333333333,0.9866957875976955,0.0163,0.42857142857142855
