name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,U1L1|U1L1|U0L0,29,1.3,237.75,1.1278428341252507,0.1367,0.5862068965517241
Frequency 2,3,U1L1|U1L2|U1L2,29,0.79,237.10714285714286,1.1592803493352812,0.1278,0.7241379310344828
Frequency 3,3,U1L1|U1L1|U1L1,27,12.7,259.0769230769231,0.9886406121034892,0.048,0.6666666666666666
Frequency 4,3,U0L0|U1L1|U1L2,27,8.82,281.0,0.7844924817797806,-0.0924,0.5925925925925926
Frequency 5,3,U1L1|U0L0|U1L2,27,7.16,281.61538461538464,0.864731767143438,0.014,0.5185185185185185
Frequency 6,3,U1L1|U2L1|U0L1,27,-3.54,269.5769230769231,0.8340513589955644,-0.0581,0.4074074074074074
Frequency 7,3,U1L2|U1L1|U0L0,26,3.35,304.2,0.9079564827621418,0.1084,0.6538461538461539
Frequency 8,3,U1L1|U0L0|U0L2,26,-2.05,299.68,1.1412210919654824,0.0477,0.5384615384615384
Frequency 9,3,U1L1|U1L1|U1L2,26,6.61,275.44,0.8957096305316316,0.1247,0.6153846153846154
Frequency 10,3,U0L1|U0L1|U1L2,25,-5.12,301.3333333333333,1.1130900963150665,-0.0116,0.52
Frequency 11,3,U0L1|U1L2|U0L1,25,-15.35,286.6666666666667,1.1031103084565201,-0.0345,0.52
Frequency 12,3,U1L2|U0L1|U0L2,25,-7.72,297.5,0.9237690943822998,0.0964,0.6
Frequency 13,3,U2L1|U1L2|U1L1,25,11.37,292.0416666666667,1.2546092481558084,0.0547,0.56
Frequency 14,3,U1L0|U1L1|U2L1,25,-4.78,246.41666666666666,1.0286492386506405,-0.0067,0.44
Frequency 15,3,U1L1|U0L1|U1L1,25,-10.0,242.125,0.9835844805242621,0.0137,0.48
Frequency 16,3,U0L1|U1L2|U1L1,24,9.57,329.17391304347825,1.1549632822430318,0.0324,0.4583333333333333
Frequency 17,3,U1L2|U0L1|U1L1,24,13.4,318.6521739130435,0.7279840129281727,-0.0981,0.5416666666666666
Frequency 18,3,U1L1|U2L0|U1L2,24,-7.68,314.4782608695652,1.042965704454432,0.1159,0.75
Frequency 19,3,U0L1|U1L1|U0L0,24,-12.55,304.4782608695652,0.6344394410622817,-0.0528,0.5
Frequency 20,3,U0L1|U1L1|U1L1,24,-0.51,296.7826086956522,0.9780727274966972,-0.0254,0.5416666666666666
