strategy,in_trade_count,in_win_rate,in_avg_r,in_profit_factor,in_total_r,in_max_drawdown_r,in_best_trade_r,in_worst_trade_r,in_direction,in_source,out_trade_count,out_win_rate,out_avg_r,out_profit_factor,out_total_r,out_max_drawdown_r,out_best_trade_r,out_worst_trade_r,out_direction,out_source
body:DM2|UM1|US1@3(catalog),6,0.6666666666666666,0.2800697059918313,2.4556782471559933,1.6804182359509878,-1.1543885053129535,1.3179882610196767,-1.0411764705882451,long,catalog,2,0.0,-0.5728257594851711,0.0,-1.1456515189703422,-1.0600085726532373,-0.08564294631710483,-1.0600085726532373,long,catalog
body:UM1|DL3|DM1@3(catalog),7,0.8571428571428571,0.6175078477941821,5.089891462495375,4.322554934559275,-1.0568874441283933,1.4647443968773552,-1.0568874441283935,long,catalog,1,0.0,-1.0385250412768208,0.0,-1.0385250412768208,0.0,-1.0385250412768208,-1.0385250412768208,long,catalog
body:UM2|UM3|UM1@3(catalog),7,0.7142857142857143,0.26050562576939273,1.8673807722812397,1.8235393803857491,-2.102351629941924,1.4655511811023636,-1.065176908752328,long,catalog,0,,,,,,,,long,catalog
body:UM2|US2|DM2@3(catalog),6,1.0,0.5818839905598017,,3.49130394335881,0.0,1.0660450660450744,0.10026601186820656,long,catalog,6,0.5,-0.2540202751519764,0.3965918884409748,-1.5241216509118583,-1.6249263946645023,0.45345450308748825,-1.0378685420611173,long,catalog
body:US1|UM2|US2@3(catalog),7,0.5714285714285714,0.2694201413910456,2.2935497771987876,1.8859409897373192,-0.3634582414891284,1.43512511584803,-1.0510576221736074,long,catalog,0,,,,,,,,long,catalog
shadow:U0L0|U0L2|U0L1@3(reverse-short),13,0.5384615384615384,0.13786454017559185,1.316698587951914,1.7922390222826943,-2.070911212996095,1.4720614647774846,-1.041853512705516,short,reverse,2,0.0,-0.8643674464214153,0.0,-1.7287348928428306,-0.6709075487701275,-0.6709075487701274,-1.057827344072703,short,reverse
shadow:U0L2|U0L1|U1L2@3(catalog),15,0.5333333333333333,0.18534821451897043,1.7476461694391097,2.7802232177845565,-1.4950346574618005,1.467236133863788,-1.067469879518058,short,catalog,7,0.42857142857142855,-0.3010040093455158,0.42438087978794226,-2.1070280654186107,-2.092139480829472,1.2098765432098941,-1.0552268244575949,short,catalog
shadow:U1L1|U0L0|U0L0@3(reverse-long),13,0.5384615384615384,0.2618589902105082,1.8086297545292578,3.4041668727366066,-1.8624887533254277,1.4652949925632066,-1.0577796120511842,long,reverse,5,0.8,0.9428869121294123,54.34823064645444,4.714434560647062,-0.0883709638261525,1.4787395596051705,-0.08837096382615243,long,reverse
shadow:U1L1|U0L0|U1L1@3(reverse-long),12,0.5,0.06253661918762271,1.1812559688267816,0.7504394302514725,-2.9095315850289114,1.4628745690798106,-1.0498930862437474,long,reverse,10,0.2,-0.41390178168095676,0.2385905727549363,-4.1390178168095675,-4.0660493259306385,0.7563598216627494,-1.038472107721913,long,reverse
shadow:U1L1|U0L2|U1L1@3(catalog),13,0.8461538461538461,0.6184797948814093,7.161011647730283,8.04023733345832,-0.6634646173551095,1.4690539345711842,-0.6634646173551095,long,catalog,4,0.25,-0.4576692154879169,0.02724163057463561,-1.8306768619516676,-1.6350149536884422,0.05126722559506786,-1.0542425416505106,long,catalog
shadow:U1L1|U0L2|U1L1@3(reverse-long),13,0.8461538461538461,0.6184797948814093,7.161011647730283,8.04023733345832,-0.6634646173551095,1.4690539345711842,-0.6634646173551095,long,reverse,4,0.25,-0.4576692154879169,0.02724163057463561,-1.8306768619516676,-1.6350149536884422,0.05126722559506786,-1.0542425416505106,long,reverse
shadow:U1L1|U1L1|U1L2@3(catalog),19,0.631578947368421,0.27497933744853104,2.0313284106380074,5.22460741152209,-1.7571563059871487,1.4583457304373801,-1.0410798122065643,long,catalog,7,0.42857142857142855,-0.06330014744214484,0.8618996321253145,-0.44310103209501384,-3.208543459472102,1.4652346660044762,-1.0496982605608671,long,catalog
shadow:U1L1|U1L1|U2L0@3(reverse-long),12,0.5,0.006199038438865506,1.0156738227242028,0.07438846126638607,-2.8967493576428147,1.4645659326752678,-1.0432499227679983,long,reverse,5,0.0,-0.709684742273148,0.0,-3.54842371136574,-2.500197738234507,-0.08455638098690607,-1.063034669068001,long,reverse
shadow:U1L1|U1L2|U1L2@3(catalog),19,0.7894736842105263,0.3199900659542779,3.2866534001611103,6.079811253131281,-1.0463269358040874,1.4565891472868244,-1.0463269358040874,long,catalog,10,0.8,0.34133336378612883,2.6250443911888945,3.4133336378612884,-1.052395209580835,1.45818399044205,-1.052395209580835,long,catalog
shadow:U1L1|U1L2|U2L0@3(reverse-long),9,0.5555555555555556,0.16918541203827597,1.3649902179525646,1.5226687083444839,-3.1207162029264532,1.461325966850836,-1.0479945149125935,long,reverse,2,0.5,-0.16416246196950518,0.6902620106956286,-0.32832492393901036,-1.0600085726532373,0.731683648714227,-1.0600085726532373,long,reverse
shadow:U1L1|U2L0|U1L0@3(reverse-short),13,0.46153846153846156,-0.02320672225446211,0.9575114109547972,-0.3016873893080074,-3.982291530904046,1.4846069268828983,-1.05010737294203,short,reverse,2,0.0,-0.6355623709669149,0.0,-1.2711247419338298,-0.2197674418604636,-0.21976744186046354,-1.0513573000733663,short,reverse
shadow:U1L1|U2L1|U2L0@3(reverse-short),16,0.4375,0.16047994964607445,1.5141235219369382,2.5676791943371913,-1.9927395869842228,1.4672744273024798,-1.0454545454545345,short,reverse,3,0.6666666666666666,0.2181706469107041,11.216123880095463,0.6545119407321123,0.0,0.42959663449641317,-0.06406656266251114,short,reverse
shadow:U1L2|U0L1|U0L1@3(reverse-short),12,0.5,0.23385321207113574,1.7180755391159694,2.806238544853629,-1.046388336646775,1.4732926363983203,-1.0518518518518463,short,reverse,6,0.5,0.022498603182685078,1.0586402750369632,0.13499161909611046,-1.044122281752298,1.0638348082595943,-1.044122281752298,short,reverse
shadow:U2L1|U2L0|U2L1@3(catalog),8,0.875,0.5735237075013286,5.34634231347396,4.588189660010629,0.0,1.4568567026194008,-1.0556438791732825,short,catalog,5,0.4,-0.2781499573096763,0.3293569331844157,-1.3907497865483813,-2.073755556964275,0.6250797295573465,-1.0551615445232485,short,catalog
