strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM3|UM2|UM2@3(catalog),short,2021-12-30 12:00:00,2021-12-31 04:00:00,650,654,timeout,0.24629629629630523,5.700000000000273
body:UM3|UM2|UM2@3(catalog),short,2022-05-09 12:00:00,2022-05-09 16:00:00,1202,1203,target,1.4787975162804712,104.61964285714068
body:UM3|UM2|UM2@3(catalog),short,2022-08-03 20:00:00,2022-08-04 12:00:00,1576,1580,timeout,0.4378729752770712,58.70000000000039
body:UM3|UM2|UM2@3(catalog),short,2023-09-08 16:00:00,2023-09-11 00:00:00,3291,3293,target,1.4752080750840921,89.2553571428565
body:UM3|UM2|UM2@3(catalog),short,2023-11-07 16:00:00,2023-11-08 08:00:00,3543,3547,timeout,-0.3696944559657503,-19.100000000001614
body:UM3|UM2|UM2@3(catalog),short,2023-11-08 12:00:00,2023-11-09 04:00:00,3548,3552,timeout,-0.776902887139133,-29.60000000000059
body:UM3|UM2|UM2@3(catalog),short,2024-01-17 16:00:00,2024-01-18 08:00:00,3837,3841,timeout,0.11035525321238768,7.299999999999386
body:UM3|UM2|UM2@3(catalog),short,2024-08-22 20:00:00,2024-08-23 12:00:00,4774,4778,timeout,0.3021450190814743,32.80000000000177
body:UM3|UM2|UM2@3(catalog),short,2024-11-12 20:00:00,2024-11-13 12:00:00,5122,5126,timeout,0.34379628302516624,25.699999999999132
body:UM3|US1|UM2@3(catalog),long,2021-11-24 00:00:00,2021-11-24 16:00:00,492,496,timeout,0.7045751633986801,30.799999999999326
body:UM3|US1|UM2@3(catalog),long,2021-12-06 12:00:00,2021-12-07 04:00:00,542,546,timeout,0.9270720623241865,45.900000000000375
body:UM3|US1|UM2@3(catalog),long,2022-03-08 12:00:00,2022-03-09 04:00:00,938,942,timeout,0.4668000381061163,17.499999999999773
body:UM3|US1|UM2@3(catalog),long,2022-03-15 08:00:00,2022-03-15 08:00:00,967,967,stop,-1.0329256820319894,-47.05714285714316
body:UM3|US1|UM2@3(catalog),long,2022-06-17 20:00:00,2022-06-20 12:00:00,1378,1382,timeout,-0.14552944839644347,-21.699999999999818
body:UM3|US1|UM2@3(catalog),long,2024-01-10 04:00:00,2024-01-10 20:00:00,3804,3808,timeout,1.271066720655057,100.9000000000001
body:UM3|US1|UM2@3(catalog),long,2024-05-06 04:00:00,2024-05-06 20:00:00,4302,4306,timeout,0.262934793631482,46.300000000000864
body:UM3|US1|UM2@3(catalog),long,2024-08-27 04:00:00,2024-08-27 20:00:00,4788,4792,timeout,-0.8703570572729438,-90.80000000000007
body:DM2|DM2|UM2@3(catalog),long,2021-12-14 00:00:00,2021-12-14 16:00:00,575,579,timeout,0.48015242934262176,16.19999999999925
body:DM2|DM2|UM2@3(catalog),long,2022-06-02 20:00:00,2022-06-03 12:00:00,1312,1316,timeout,1.1320972679489483,70.00000000000034
body:DM2|DM2|UM2@3(catalog),long,2022-08-29 20:00:00,2022-08-30 12:00:00,1684,1688,timeout,-0.34157731713126044,-25.599999999998545
body:DM2|DM2|UM2@3(catalog),long,2022-11-29 16:00:00,2022-11-30 08:00:00,2079,2083,timeout,0.15607580824973913,15.50000000000159
body:DM2|DM2|UM2@3(catalog),long,2024-08-26 08:00:00,2024-08-27 00:00:00,4783,4787,timeout,0.711249351995856,78.40000000000066
body:DM2|DM2|UM2@3(catalog),long,2024-08-29 08:00:00,2024-08-30 00:00:00,4801,4805,timeout,0.05155788147501718,3.799999999999727
body:DM2|DM2|UM2@3(catalog),long,2024-09-12 20:00:00,2024-09-13 00:00:00,4864,4865,stop,-1.0121475054229903,-124.9821428571422
body:DM2|DM2|UM2@3(catalog),long,2024-09-16 16:00:00,2024-09-17 08:00:00,4875,4879,timeout,0.31784426055592313,32.10000000000127
body:UM2|US2|UM3@3(catalog),long,2021-10-15 04:00:00,2021-10-15 12:00:00,325,327,target,1.4571341090018535,50.98928571428593
body:UM2|US2|UM3@3(catalog),long,2022-03-15 00:00:00,2022-03-15 08:00:00,965,967,stop,-1.0336376741950872,-46.0928571428567
body:UM2|US2|UM3@3(catalog),long,2022-04-08 16:00:00,2022-04-11 08:00:00,1077,1081,target,1.468340117593854,69.56785714285735
body:UM2|US2|UM3@3(catalog),long,2022-04-20 04:00:00,2022-04-20 04:00:00,1122,1122,stop,-1.0236766446812327,-64.85357142857276
body:UM2|US2|UM3@3(catalog),long,2024-01-15 12:00:00,2024-01-16 04:00:00,3824,3828,timeout,0.5912574016022331,48.5
body:UM2|US2|UM3@3(catalog),long,2024-02-13 08:00:00,2024-02-13 12:00:00,3949,3950,target,1.4595959595959336,54.18749999999909
body:UM1|UM3|DM1@3(catalog),long,2021-11-01 12:00:00,2021-11-02 04:00:00,393,397,stop,-1.0375133976420294,-41.48571428571438
body:UM1|UM3|DM1@3(catalog),long,2022-03-18 20:00:00,2022-03-21 12:00:00,988,992,timeout,0.12355096851394541,5.899999999999807
body:UM1|UM3|DM1@3(catalog),long,2023-01-10 20:00:00,2023-01-11 12:00:00,2254,2258,timeout,0.392645421443827,46.599999999999454
body:UM1|UM3|DM1@3(catalog),long,2023-09-19 12:00:00,2023-09-20 04:00:00,3332,3336,timeout,0.3254045834691437,10.70000000000141
body:UM1|UM3|DM1@3(catalog),long,2024-03-12 12:00:00,2024-03-13 04:00:00,4070,4074,timeout,0.3048477169271406,23.200000000001406
body:UM1|UM3|DM1@3(catalog),long,2024-05-07 12:00:00,2024-05-08 04:00:00,4310,4314,timeout,0.8447313884903339,75.69999999999914
shadow:U0L2|U1L1|U1L2@3(catalog),long,2021-10-12 20:00:00,2021-10-13 12:00:00,311,315,timeout,0.0076237151997926396,0.40000000000054575
shadow:U0L2|U1L1|U1L2@3(catalog),long,2021-10-15 00:00:00,2021-10-15 08:00:00,324,326,target,1.4572127139364164,51.085714285713436
shadow:U0L2|U1L1|U1L2@3(catalog),long,2021-11-22 00:00:00,2021-11-22 16:00:00,480,484,target,1.4692577953447623,71.68928571428671
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-03-21 16:00:00,2022-03-22 00:00:00,993,995,target,1.4593377868138093,53.83392857142729
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-06-14 04:00:00,2022-06-14 20:00:00,1356,1360,timeout,1.3485663082437396,129.00000000000068
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-06-24 20:00:00,2022-06-27 12:00:00,1408,1412,timeout,0.2855571071897104,24.10000000000002
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-07-15 00:00:00,2022-07-15 16:00:00,1493,1497,timeout,-0.515267175572539,-40.50000000000148
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-08-08 08:00:00,2022-08-09 00:00:00,1591,1595,timeout,-0.35933055500429084,-38.799999999999045
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-11-16 00:00:00,2022-11-16 16:00:00,2021,2025,timeout,0.09396966333703027,12.699999999999589
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-11-17 04:00:00,2022-11-17 20:00:00,2028,2032,timeout,0.537971805366077,67.60000000000025
shadow:U0L2|U1L1|U1L2@3(catalog),long,2022-12-15 04:00:00,2022-12-15 16:00:00,2148,2151,target,1.4856248074751057,155.01964285714257
shadow:U0L2|U1L1|U1L2@3(catalog),long,2023-03-06 20:00:00,2023-03-07 12:00:00,2488,2492,timeout,0.2922515296416112,20.29999999999893
shadow:U0L2|U1L1|U1L2@3(catalog),long,2023-06-21 16:00:00,2023-06-22 08:00:00,2949,2953,timeout,0.12343864805293128,7.200000000001751
shadow:U0L2|U1L1|U1L2@3(catalog),long,2023-08-09 12:00:00,2023-08-10 04:00:00,3158,3162,timeout,1.1232442476908728,73.39999999999952
shadow:U0L2|U1L1|U1L2@3(catalog),long,2023-10-18 04:00:00,2023-10-18 20:00:00,3456,3460,timeout,0.40306278713630905,14.10000000000059
shadow:U0L2|U1L1|U1L2@3(catalog),long,2024-02-22 00:00:00,2024-02-22 16:00:00,3989,3993,timeout,0.8804500703234855,31.300000000000292
shadow:U0L2|U1L1|U1L2@3(catalog),long,2024-03-25 04:00:00,2024-03-25 20:00:00,4122,4126,timeout,0.13135698956926833,9.399999999998045
shadow:U0L2|U1L1|U1L2@3(catalog),long,2024-09-05 12:00:00,2024-09-06 04:00:00,4832,4836,timeout,-0.6264335401391065,-59.49999999999841
shadow:U0L2|U1L1|U1L2@3(catalog),long,2024-10-17 04:00:00,2024-10-17 20:00:00,5010,5014,timeout,1.1424370520125111,66.60000000000116
shadow:U0L2|U1L1|U1L2@3(catalog),long,2024-10-30 04:00:00,2024-10-30 20:00:00,5064,5068,timeout,0.16983025701443874,13.899999999999634
shadow:U1L0|U0L2|U0L1@3(catalog),long,2021-12-06 20:00:00,2021-12-07 12:00:00,544,548,timeout,0.5892152564664878,28.800000000001145
shadow:U1L0|U0L2|U0L1@3(catalog),long,2022-06-24 00:00:00,2022-06-24 16:00:00,1403,1407,timeout,0.27462574499036885,20.899999999998954
shadow:U1L0|U0L2|U0L1@3(catalog),long,2022-06-28 00:00:00,2022-06-28 16:00:00,1415,1419,timeout,0.9977848406048209,73.99999999999955
shadow:U1L0|U0L2|U0L1@3(catalog),long,2022-10-14 12:00:00,2022-10-14 16:00:00,1886,1887,target,1.476303317535535,93.45000000000005
shadow:U1L0|U0L2|U0L1@3(catalog),long,2023-09-21 20:00:00,2023-09-22 08:00:00,3346,3349,target,1.471223021582757,76.68750000000136
shadow:U1L0|U0L2|U0L1@3(catalog),long,2023-11-08 12:00:00,2023-11-09 04:00:00,3548,3552,timeout,0.698162729658817,26.600000000000588
shadow:U1L0|U0L2|U0L1@3(catalog),long,2023-11-22 08:00:00,2023-11-23 00:00:00,3607,3611,timeout,0.4488433473063132,41.29999999999973
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-02-27 12:00:00,2024-02-28 04:00:00,4010,4014,timeout,0.896358543417391,32.000000000000796
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-06-20 08:00:00,2024-06-20 16:00:00,4501,4503,target,1.4601593625498297,54.975000000000364
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-08-26 04:00:00,2024-08-26 20:00:00,4782,4786,timeout,0.7003341288782673,78.59999999999877
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-09-30 16:00:00,2024-10-01 08:00:00,4935,4939,timeout,0.5895250909453209,84.49999999999852
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-11-06 04:00:00,2024-11-06 04:00:00,5094,5094,target,1.4823655372213038,126.09107142857148
shadow:U1L0|U0L2|U0L1@3(catalog),long,2024-12-27 04:00:00,2024-12-27 20:00:00,5310,5314,timeout,0.06777837547068527,2.700000000000159
shadow:U1L1|U1L2|U0L2@3(catalog),long,2021-10-28 20:00:00,2021-10-29 12:00:00,383,387,timeout,1.0133193130038483,41.29999999999973
shadow:U1L1|U1L2|U0L2@3(catalog),long,2021-11-04 20:00:00,2021-11-05 12:00:00,413,417,timeout,0.3846934071000534,14.900000000000146
shadow:U1L1|U1L2|U0L2@3(catalog),long,2022-03-02 00:00:00,2022-03-02 16:00:00,911,915,target,1.4653293709757156,63.396428571428544
shadow:U1L1|U1L2|U0L2@3(catalog),long,2022-03-21 20:00:00,2022-03-22 00:00:00,994,995,target,1.458835636577465,53.15892857142762
shadow:U1L1|U1L2|U0L2@3(catalog),long,2023-03-06 12:00:00,2023-03-07 04:00:00,2486,2490,timeout,-0.15835546375531823,-11.500000000002274
shadow:U1L1|U1L2|U0L2@3(catalog),long,2023-10-18 08:00:00,2023-10-19 00:00:00,3457,3461,timeout,0.19523532829747145,7.199999999998909
shadow:U1L1|U1L2|U0L2@3(catalog),long,2023-11-30 04:00:00,2023-11-30 16:00:00,3642,3645,target,1.4825783972125486,127.65000000000136
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-03-25 08:00:00,2024-03-26 00:00:00,4123,4127,timeout,-0.1505626697710409,-9.699999999999363
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-04-16 00:00:00,2024-04-16 16:00:00,4217,4221,timeout,0.5223271540165286,31.99999999999795
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-04-17 12:00:00,2024-04-18 04:00:00,4226,4230,stop,-1.0299721687004904,-51.54642857142869
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-04-22 08:00:00,2024-04-23 00:00:00,4243,4247,timeout,0.12078977932638157,5.200000000000728
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-04-23 04:00:00,2024-04-23 20:00:00,4248,4252,timeout,0.07464369937454086,2.5999999999996817
shadow:U1L1|U1L2|U0L2@3(catalog),long,2024-04-25 20:00:00,2024-04-26 04:00:00,4264,4266,target,1.460034256351728,54.798214285715176
