strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
body:UM3|UM2|UM2@3(catalog),short,2025-03-14 12:00:00,2025-03-17 04:00:00,276,280,timeout,-0.20039112886446034,-17.199999999998226
body:UM3|UM2|UM2@3(catalog),short,2026-02-24 08:00:00,2026-02-24 08:00:00,1745,1745,stop,-1.0181206316334446,-84.27857142857101
body:UM3|US1|UM2@3(catalog),long,2025-07-17 12:00:00,2025-07-18 04:00:00,810,814,timeout,0.07933333333333148,6.799999999999841
body:UM3|US1|UM2@3(catalog),long,2025-07-29 04:00:00,2025-07-29 20:00:00,856,860,timeout,-0.3743941166638737,-23.99999999999943
body:UM3|US1|UM2@3(catalog),long,2025-08-04 12:00:00,2025-08-05 00:00:00,882,885,stop,-1.014477766287483,-105.10714285714322
body:DM2|DM2|UM2@3(catalog),long,2026-01-21 20:00:00,2026-01-22 12:00:00,1604,1608,timeout,0.9046179382298716,54.50000000000023
body:DM2|DM2|UM2@3(catalog),long,2026-01-26 16:00:00,2026-01-27 08:00:00,1621,1625,timeout,-0.2658886791373563,-33.20000000000073
body:UM2|US2|UM3@3(catalog),long,2025-11-10 12:00:00,2025-11-11 04:00:00,1302,1306,timeout,-0.07572357442892559,-4.700000000001069
body:UM2|US2|UM3@3(catalog),long,2026-02-16 12:00:00,2026-02-17 04:00:00,1710,1714,timeout,-0.6753962784286804,-63.00000000000091
shadow:U0L2|U1L1|U1L2@3(catalog),long,2025-02-07 12:00:00,2025-02-10 04:00:00,126,130,timeout,0.11873925501433222,11.100000000000477
shadow:U0L2|U1L1|U1L2@3(catalog),long,2025-02-11 12:00:00,2025-02-12 00:00:00,138,141,target,1.48128091990907,118.69821428571335
shadow:U0L2|U1L1|U1L2@3(catalog),long,2025-02-27 16:00:00,2025-02-28 08:00:00,211,215,timeout,0.5810591293047553,51.100000000001046
shadow:U0L2|U1L1|U1L2@3(catalog),long,2025-07-24 00:00:00,2025-07-24 16:00:00,837,841,timeout,0.5205491784830014,41.29999999999973
shadow:U0L2|U1L1|U1L2@3(catalog),long,2025-09-10 04:00:00,2025-09-10 20:00:00,1042,1046,timeout,0.01841672539346472,1.3999999999996362
shadow:U1L0|U0L2|U0L1@3(catalog),long,2025-03-14 04:00:00,2025-03-14 20:00:00,274,278,timeout,0.3554924690481735,32.19999999999891
shadow:U1L0|U0L2|U0L1@3(catalog),long,2025-03-25 04:00:00,2025-03-25 12:00:00,316,318,stop,-1.0219987429289918,-69.68571428571545
shadow:U1L0|U0L2|U0L1@3(catalog),long,2025-10-31 04:00:00,2025-10-31 20:00:00,1264,1268,timeout,0.11243568829215206,9.600000000001842
shadow:U1L0|U0L2|U0L1@3(catalog),long,2025-12-31 16:00:00,2026-01-02 08:00:00,1519,1523,timeout,0.19570980959262033,8.699999999997544
shadow:U1L1|U1L2|U0L2@3(catalog),long,2025-02-27 04:00:00,2025-02-27 20:00:00,208,212,timeout,0.47161004910914245,41.50000000000068
shadow:U1L1|U1L2|U0L2@3(catalog),long,2025-05-09 20:00:00,2025-05-12 08:00:00,518,521,target,1.4839449541284366,138.64285714285677
shadow:U1L1|U1L2|U0L2@3(catalog),long,2025-06-27 12:00:00,2025-06-30 04:00:00,726,730,timeout,-0.612535230170432,-48.899999999998954
shadow:U1L1|U1L2|U0L2@3(catalog),long,2025-10-17 04:00:00,2025-10-17 08:00:00,1204,1205,stop,-1.019951546244816,-76.6821428571418
shadow:U1L1|U1L2|U0L2@3(catalog),long,2026-02-20 16:00:00,2026-02-23 00:00:00,1735,1737,stop,-1.0209424083769791,-73.12500000000023
shadow:U1L1|U1L2|U0L2@3(catalog),long,2026-03-04 00:00:00,2026-03-04 12:00:00,1779,1782,stop,-1.0205038078500475,-74.65714285714421
