name,window_size,pattern_code,count,mean_angle_degrees,mean_gap_candles,cv_gap,mean_forward_return_pct,forward_win_rate
Frequency 1,3,U1L1|U1L2|U1L1,35,-7.86,209.7058823529412,1.066235318725894,0.089,0.6857142857142857
Frequency 2,3,U1L1|U0L1|U1L1,34,5.53,206.84848484848484,1.2555481961997308,0.167,0.7352941176470589
Frequency 3,3,U2L1|U1L1|U1L1,33,1.22,217.1875,1.1814852763391073,-0.2331,0.36363636363636365
Frequency 4,3,U0L2|U1L1|U1L1,33,18.35,233.9375,0.9781346914491152,0.1137,0.6666666666666666
Frequency 5,3,U0L1|U1L1|U1L2,32,8.77,230.80645161290323,0.9049238664782611,0.0593,0.65625
Frequency 6,3,U1L1|U1L1|U1L2,32,6.73,217.51612903225808,1.0139042120909296,0.1944,0.65625
Frequency 7,3,U0L1|U1L1|U0L2,31,-1.65,236.4,0.9487566300070308,0.0657,0.6129032258064516
Frequency 8,3,U1L1|U1L1|U2L1,30,10.56,248.44827586206895,1.3207073131201805,0.0543,0.5
Frequency 9,3,U1L1|U1L1|U1L1,29,2.0,254.53571428571428,1.4308965285164865,0.0425,0.4482758620689655
Frequency 10,3,U0L2|U0L2|U1L1,28,13.49,270.3333333333333,0.6903837013038229,0.1609,0.5714285714285714
Frequency 11,3,U1L2|U0L1|U1L1,28,10.58,262.14814814814815,0.820365205979656,0.1432,0.6428571428571429
Frequency 12,3,U1L1|U1L0|U0L1,27,3.43,286.5769230769231,0.81806702147546,0.0298,0.7407407407407407
Frequency 13,3,U0L1|U2L1|U1L1,27,0.18,283.6923076923077,1.0774048983222964,-0.0218,0.4444444444444444
Frequency 14,3,U0L1|U1L1|U1L1,27,7.7,257.5769230769231,0.9262386610002441,0.1355,0.5185185185185185
Frequency 15,3,U1L0|U1L1|U1L1,26,18.15,292.04,0.8854289183098191,-0.0472,0.4230769230769231
Frequency 16,3,U1L1|U0L2|U1L1,26,6.9,292.56,0.7106135675381234,0.0405,0.5384615384615384
Frequency 17,3,U1L1|U1L2|U0L2,26,-4.41,288.12,1.171438831435023,0.27,0.7307692307692307
Frequency 18,3,U1L1|U1L2|U0L1,26,2.7,278.88,1.1034869896717519,0.1234,0.6538461538461539
Frequency 19,3,U1L1|U1L1|U0L1,25,-3.85,310.5833333333333,0.9623756100469154,0.1174,0.68
Frequency 20,3,U0L2|U0L1|U0L2,25,5.93,309.2916666666667,1.0880344691359787,0.1127,0.64
Frequency 21,3,U1L1|U0L2|U0L1,25,6.19,283.4583333333333,1.0670610639083522,-0.2761,0.48
Frequency 22,3,U0L2|U1L1|U1L2,25,9.26,253.79166666666666,0.8087183834245636,0.3318,0.88
Frequency 23,3,U2L1|U0L2|U1L1,25,-2.41,300.5833333333333,1.0959809070249378,0.1579,0.64
Frequency 24,3,U1L2|U1L1|U1L2,25,6.22,284.9583333333333,1.4849851813484438,0.1692,0.8
Frequency 25,3,U1L2|U0L2|U1L1,24,13.4,329.60869565217394,0.9007065224030871,0.0716,0.625
Frequency 26,3,U1L2|U0L1|U0L2,24,2.17,326.2608695652174,1.3321048701116083,0.0481,0.5416666666666666
Frequency 27,3,U0L2|U0L1|U0L1,24,-1.54,320.7826086956522,0.721040580581499,0.0272,0.625
Frequency 28,3,U0L2|U0L2|U0L2,24,-8.78,315.9130434782609,0.8100892831793975,0.1241,0.6666666666666666
Frequency 29,3,U1L1|U1L1|U1L0,24,19.46,294.7826086956522,0.9240560235379873,-0.0526,0.5
Frequency 30,3,U2L1|U1L1|U0L2,24,-0.72,313.1304347826087,1.2239822380716796,-0.0159,0.5833333333333334
Frequency 31,3,U1L1|U0L1|U2L1,24,5.75,302.39130434782606,0.8666002862267033,-0.0963,0.4583333333333333
Frequency 32,3,U1L1|U0L1|U0L1,23,7.45,346.72727272727275,0.9147102562404233,0.0536,0.5217391304347826
Frequency 33,3,U0L1|U1L2|U0L1,23,6.02,344.8636363636364,0.7498482186273678,-0.0532,0.5
Frequency 34,3,U0L1|U0L1|U1L2,23,-1.85,343.54545454545456,0.5781681610035551,-0.1308,0.5
Frequency 35,3,U0L1|U1L0|U1L1,23,-0.65,306.8636363636364,0.6903631601267908,0.1624,0.6086956521739131
Frequency 36,3,U1L2|U1L2|U1L0,23,4.12,323.3636363636364,0.8959980622961005,0.0275,0.4782608695652174
Frequency 37,3,U0L2|U1L1|U0L1,22,23.78,361.7142857142857,0.8629284287659437,0.0612,0.5909090909090909
Frequency 38,3,U1L1|U1L2|U0L0,22,20.44,341.6666666666667,0.8504975223497555,0.2335,0.6818181818181818
Frequency 39,3,U0L1|U1L2|U1L2,22,10.08,345.95238095238096,0.875365496017876,0.1745,0.6818181818181818
Frequency 40,3,U0L0|U0L1|U1L1,22,-8.86,344.0,0.8598302669870317,0.1646,0.5454545454545454
Frequency 41,3,U1L1|U0L2|U0L0,22,3.53,347.7142857142857,0.9322107456446864,0.0449,0.7272727272727273
Frequency 42,3,U1L2|U1L1|U1L1,22,4.85,347.0,0.738069974944332,0.0554,0.6363636363636364
Frequency 43,3,U1L0|U0L2|U1L1,22,-1.34,337.95238095238096,1.2974220207582714,0.1356,0.5909090909090909
Frequency 44,3,U0L1|U0L1|U1L1,22,3.96,336.7142857142857,0.8565469700154296,0.0612,0.5454545454545454
Frequency 45,3,U1L2|U2L1|U1L1,22,-4.12,327.3333333333333,0.8558409076578669,-0.0116,0.45454545454545453
Frequency 46,3,U0L1|U1L1|U0L1,22,17.42,331.1904761904762,0.9722147334017515,-0.0684,0.4090909090909091
Frequency 47,3,U1L2|U0L0|U1L2,22,9.15,335.0,0.6127998539593773,-0.2177,0.4090909090909091
Frequency 48,3,U0L1|U1L2|U2L1,21,3.17,369.25,0.7046109887794282,-0.1099,0.38095238095238093
Frequency 49,3,U1L2|U0L2|U0L2,21,9.73,372.35,1.2161060872792449,0.2146,0.6190476190476191
Frequency 50,3,U0L0|U1L2|U1L2,21,-14.76,371.1,0.7102369909360438,-0.1014,0.38095238095238093
Frequency 51,3,U1L1|U0L2|U2L1,21,-11.87,369.65,1.0833907125551427,-0.0004,0.5714285714285714
Frequency 52,3,U1L2|U1L2|U0L1,21,8.11,362.6,0.8589710509872922,0.1308,0.6190476190476191
Frequency 53,3,U1L2|U1L0|U0L2,21,12.08,351.8,0.9060407427407069,0.0269,0.5714285714285714
Frequency 54,3,U0L1|U0L2|U1L2,21,-26.55,364.1,0.8355806802368113,-0.0272,0.42857142857142855
Frequency 55,3,U1L1|U2L1|U1L1,21,-3.84,360.7,0.8375014113142094,0.1392,0.5238095238095238
Frequency 56,3,U1L1|U0L2|U0L2,21,4.33,342.15,0.7024295777664497,0.0685,0.6190476190476191
Frequency 57,3,U1L1|U1L2|U1L2,21,-10.47,341.35,1.1568500928770078,0.156,0.7619047619047619
Frequency 58,3,U1L2|U0L1|U2L1,20,-10.06,360.05263157894734,0.7910065516721562,-0.1784,0.3
Frequency 59,3,U0L1|U0L1|U1L0,20,2.29,401.2631578947368,0.7170476467946,0.1423,0.6
Frequency 60,3,U0L2|U0L1|U1L2,20,14.43,392.10526315789474,0.7090193103895638,-0.0211,0.6
Frequency 61,3,U2L1|U1L2|U0L0,20,-10.13,367.2631578947368,1.068229326254763,-0.1011,0.5
Frequency 62,3,U1L1|U1L1|U0L0,20,-13.83,360.8421052631579,0.9633842660853693,-0.2281,0.4
Frequency 63,3,U1L2|U1L1|U1L0,20,11.61,359.0,1.025363604642603,-0.2709,0.6
Frequency 64,3,U1L2|U0L1|U1L2,20,-4.4,375.3157894736842,0.8125986741071488,0.0303,0.55
Frequency 65,3,U1L2|U1L2|U1L2,20,-2.14,383.1578947368421,1.4284975149940449,0.0545,0.4
Frequency 66,3,U1L0|U1L1|U0L1,20,8.59,362.94736842105266,1.009541000560345,0.1244,0.75
Frequency 67,3,U1L2|U0L1|U0L1,20,7.0,383.2105263157895,0.8608597158440459,0.0489,0.45
