pair,timeframe,side,pattern_code,occurrences_before,sample_size,baseline_rate,conditional_rate,lift
USDCAD,H4,up,U1L2|U2L0|U2L0,3,232,0.0012881064834693002,0.01293103448275862,10.038793103448276
USDCAD,H4,up,U2L0|U2L0|U1L1,3,232,0.0021468441391155,0.01293103448275862,6.0232758620689655
USDCAD,H4,up,U1L1|U2L1|U0L1,4,232,0.0030055817947617003,0.017241379310344827,5.736453201970443
USDCAD,H4,up,U0L2|U1L0|U1L1,3,232,0.0030055817947617003,0.01293103448275862,4.302339901477833
USDCAD,H4,up,U2L1|U1L1|U2L1,3,232,0.0034349506225848005,0.01293103448275862,3.764547413793103
USDCAD,H4,up,U1L0|U1L1|U2L1,4,232,0.005152425933877201,0.017241379310344827,3.346264367816092
USDCAD,H4,up,U0L2|U0L2|U1L1,3,232,0.0038643194504079004,0.01293103448275862,3.346264367816092
USDCAD,H4,up,U0L0|U1L1|U0L1,3,232,0.004293688278231,0.01293103448275862,3.0116379310344827
USDCAD,H4,down,U1L0|U0L0|U1L1,3,232,0.0021468441391155,0.01293103448275862,6.0232758620689655
USDCAD,H4,down,U2L0|U1L0|U2L1,3,232,0.0021468441391155,0.01293103448275862,6.0232758620689655
USDCAD,H4,down,U1L1|U0L1|U1L2,3,232,0.0034349506225848005,0.01293103448275862,3.764547413793103
GBPUSD,H4,up,U2L0|U1L2|U0L2,3,765,0.0009143155694879833,0.00392156862745098,4.289075630252101
GBPUSD,H4,up,U1L1|U2L1|U0L0,4,765,0.0013061650992685476,0.00522875816993464,4.003137254901961
GBPUSD,H4,up,U1L0|U0L0|U0L0,4,765,0.0014367816091954023,0.00522875816993464,3.6392156862745098
GBPUSD,H4,up,U2L1|U2L1|U1L2,3,765,0.0011755485893416929,0.00392156862745098,3.3359477124183003
GBPUSD,H4,up,U2L0|U1L2|U2L0,4,765,0.001567398119122257,0.00522875816993464,3.3359477124183003
GBPUSD,H4,up,U0L0|U0L0|U1L1,4,765,0.001567398119122257,0.00522875816993464,3.3359477124183003
GBPUSD,H4,up,U0L0|U2L0|U1L2,3,765,0.0011755485893416929,0.00392156862745098,3.3359477124183003
GBPUSD,H4,up,U2L1|U1L1|U2L0,4,765,0.0016980146290491117,0.00522875816993464,3.0793363499245854
GBPUSD,H4,up,U1L1|U2L0|U1L2,4,765,0.0016980146290491117,0.00522875816993464,3.0793363499245854
GBPUSD,H4,up,U2L0|U1L2|U1L1,3,765,0.0013061650992685476,0.00392156862745098,3.0023529411764707
GBPUSD,H4,up,U1L2|U2L0|U1L0,3,765,0.0013061650992685476,0.00392156862745098,3.0023529411764707
GBPUSD,H4,up,U1L0|U0L1|U1L0,5,765,0.002220480668756531,0.006535947712418301,2.943483275663206
GBPUSD,H4,up,U1L0|U0L1|U0L1,4,765,0.0018286311389759666,0.00522875816993464,2.8593837535014
GBPUSD,H4,up,U0L1|U1L2|U2L0,5,765,0.0023510971786833857,0.006535947712418301,2.7799564270152506
GBPUSD,H4,up,U0L1|U1L0|U1L0,3,765,0.0014367816091954023,0.00392156862745098,2.7294117647058824
GBPUSD,H4,up,U1L2|U1L2|U2L1,3,765,0.0014367816091954023,0.00392156862745098,2.7294117647058824
GBPUSD,H4,up,U2L0|U0L2|U0L0,3,765,0.0014367816091954023,0.00392156862745098,2.7294117647058824
GBPUSD,H4,up,U0L1|U1L1|U0L2,5,765,0.0024817136886102404,0.006535947712418301,2.633642930856553
GBPUSD,H4,up,U0L0|U0L0|U0L1,3,765,0.001567398119122257,0.00392156862745098,2.5019607843137255
GBPUSD,H4,up,U1L0|U1L0|U2L0,3,765,0.001567398119122257,0.00392156862745098,2.5019607843137255
GBPUSD,H4,up,U2L0|U2L0|U1L2,3,765,0.001567398119122257,0.00392156862745098,2.5019607843137255
GBPUSD,H4,up,U1L1|U1L0|U2L0,3,765,0.001567398119122257,0.00392156862745098,2.5019607843137255
GBPUSD,H4,up,U2L1|U2L1|U2L0,3,765,0.001567398119122257,0.00392156862745098,2.5019607843137255
GBPUSD,H4,up,U1L1|U0L1|U0L2,4,765,0.0020898641588296763,0.00522875816993464,2.501960784313725
GBPUSD,H4,up,U2L1|U1L1|U0L2,5,765,0.00274294670846395,0.006535947712418301,2.3828197945845004
GBPUSD,H4,up,U1L2|U2L1|U1L1,4,765,0.002220480668756531,0.00522875816993464,2.354786620530565
GBPUSD,H4,up,U2L0|U1L2|U1L2,3,765,0.0016980146290491117,0.00392156862745098,2.309502262443439
GBPUSD,H4,up,U2L0|U0L0|U1L1,3,765,0.0016980146290491117,0.00392156862745098,2.309502262443439
GBPUSD,H4,up,U1L1|U0L2|U2L0,3,765,0.0016980146290491117,0.00392156862745098,2.309502262443439
GBPUSD,H4,up,U0L0|U2L1|U0L2,3,765,0.0016980146290491117,0.00392156862745098,2.309502262443439
GBPUSD,H4,up,U1L1|U0L2|U2L1,5,765,0.0028735632183908046,0.006535947712418301,2.2745098039215685
GBPUSD,H4,up,U0L0|U0L1|U1L1,4,765,0.0023510971786833857,0.00522875816993464,2.2239651416122004
GBPUSD,H4,up,U1L1|U2L0|U2L1,5,765,0.0030041797283176593,0.006535947712418301,2.1756180733162833
GBPUSD,H4,up,U1L1|U1L0|U0L1,5,765,0.0030041797283176593,0.006535947712418301,2.1756180733162833
GBPUSD,H4,up,U1L2|U0L0|U0L1,3,765,0.0018286311389759666,0.00392156862745098,2.1445378151260504
GBPUSD,H4,up,U1L2|U2L0|U0L1,3,765,0.0018286311389759666,0.00392156862745098,2.1445378151260504
GBPUSD,H4,up,U0L0|U0L0|U2L1,3,765,0.0018286311389759666,0.00392156862745098,2.1445378151260504
GBPUSD,H4,up,U2L1|U1L0|U0L1,3,765,0.0018286311389759666,0.00392156862745098,2.1445378151260504
GBPUSD,H4,up,U2L0|U1L2|U2L1,3,765,0.0018286311389759666,0.00392156862745098,2.1445378151260504
GBPUSD,H4,up,U0L1|U0L1|U0L0,4,765,0.0024817136886102404,0.00522875816993464,2.1069143446852423
GBPUSD,H4,up,U1L0|U1L1|U2L1,4,765,0.0024817136886102404,0.00522875816993464,2.1069143446852423
GBPUSD,H4,up,U1L2|U1L1|U0L1,5,765,0.003134796238244514,0.006535947712418301,2.084967320261438
GBPUSD,H4,up,U0L1|U0L0|U2L1,3,765,0.001959247648902821,0.00392156862745098,2.0015686274509807
GBPUSD,H4,up,U1L2|U0L1|U1L0,3,765,0.001959247648902821,0.00392156862745098,2.0015686274509807
GBPUSD,H4,up,U1L1|U1L1|U1L1,7,765,0.004571577847439916,0.009150326797385621,2.0015686274509807
GBPUSD,H4,up,U1L1|U1L0|U2L1,3,765,0.001959247648902821,0.00392156862745098,2.0015686274509807
GBPUSD,H4,up,U0L1|U0L1|U0L1,4,765,0.002612330198537095,0.00522875816993464,2.0015686274509803
GBPUSD,H4,up,U1L0|U1L1|U0L2,4,765,0.002612330198537095,0.00522875816993464,2.0015686274509803
GBPUSD,H4,up,U0L0|U1L0|U2L1,4,765,0.002612330198537095,0.00522875816993464,2.0015686274509803
GBPUSD,H4,up,U0L0|U2L1|U1L1,4,765,0.002612330198537095,0.00522875816993464,2.0015686274509803
GBPUSD,H4,up,U1L1|U1L1|U1L0,5,765,0.0033960292580982234,0.006535947712418301,1.924585218702866
GBPUSD,H4,up,U2L1|U2L1|U0L0,4,765,0.00274294670846395,0.00522875816993464,1.9062558356676003
GBPUSD,H4,up,U1L2|U0L0|U2L1,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U2L0|U1L1|U0L2,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U1L0|U0L2|U0L2,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U1L1|U0L1|U1L0,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U1L2|U1L0|U0L2,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U0L0|U1L1|U1L2,3,765,0.0020898641588296763,0.00392156862745098,1.876470588235294
GBPUSD,H4,up,U1L1|U2L1|U2L1,5,765,0.0036572622779519333,0.006535947712418301,1.7871148459383754
GBPUSD,H4,up,U1L1|U2L1|U0L2,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U1L2|U0L2|U0L1,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U0L1|U1L2|U1L2,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U1L2|U1L1|U2L0,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U0L1|U1L1|U0L1,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U0L2|U0L1|U1L2,3,765,0.002220480668756531,0.00392156862745098,1.7660899653979236
GBPUSD,H4,up,U1L1|U1L1|U2L1,4,765,0.0030041797283176593,0.00522875816993464,1.7404944586530264
GBPUSD,H4,up,U1L1|U1L0|U1L1,5,765,0.003918495297805642,0.006535947712418301,1.6679738562091506
GBPUSD,H4,up,U0L0|U1L1|U1L1,4,765,0.003134796238244514,0.00522875816993464,1.6679738562091502
GBPUSD,H4,up,U1L1|U1L2|U2L1,3,765,0.0023510971786833857,0.00392156862745098,1.6679738562091502
GBPUSD,H4,up,U1L1|U0L1|U0L0,3,765,0.0023510971786833857,0.00392156862745098,1.6679738562091502
