pair,idea,rule,in_trades,in_win_rate,in_avg_r,out_trades,out_win_rate,out_avg_r
AUDUSD,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 2, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.00037164405113030086, ""sample_size"": 1066, ""score"": 0.39617255850490074}",379,0.4881266490765171,0.0326321446082535,160,0.4875,-0.0257644313968535
AUDUSD,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.003327142857142859, ""mode"": ""reversion"", ""mean_aligned_return"": -0.00017836396380032952, ""sample_size"": 1065}",284,0.5387323943661971,0.0744769511915899,62,0.3548387096774194,-0.217870168491625
AUDUSD,volume_divergence,"{""window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.8, ""move_z_threshold"": 0.7273709716583314, ""volume_z_threshold_low"": -0.8815349575209178, ""mode"": ""fade"", ""mean_aligned_return"": -0.0012912412363262963, ""sample_size"": 59}",58,0.5,0.0812558421970668,18,0.5,0.1087648768771466
AUDUSD,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -0.0005215687626098071, ""sample_size"": 179}",179,0.4692737430167598,0.0688630299725139,76,0.618421052631579,0.38455739464064
AUDUSD,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.009906050523571, ""mode"": ""reversion"", ""mean_aligned_return"": -0.000620117093073808, ""sample_size"": 535}",312,0.5,0.0584903603816152,134,0.5074626865671642,0.0235206355158372
EURUSD,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 1, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.0003412942223186507, ""sample_size"": 432, ""score"": 0.1474391040416571}",120,0.4583333333333333,0.0071936526068302,54,0.2222222222222222,-0.4674560305842409
EURUSD,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.0017878571428571505, ""mode"": ""reversion"", ""mean_aligned_return"": -0.0002636127481265327, ""sample_size"": 431}",112,0.4821428571428571,-0.0502408071330081,4,0.5,-0.1225228562919062
EURUSD,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.1192594774271445, ""mode"": ""continuation"", ""mean_aligned_return"": 0.00022664485938076544, ""sample_size"": 216}",125,0.472,-0.0252225526039318,56,0.4107142857142857,-0.1261601323244096
EURUSD,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 4, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.0003762068640915709, ""sample_size"": 546, ""score"": 0.2054089477939977}",188,0.5319148936170213,0.0582813313639956,82,0.4756097560975609,0.0088534768029767
EURUSD,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.0035057142857143056, ""mode"": ""reversion"", ""mean_aligned_return"": -3.99919159491942e-05, ""sample_size"": 542}",154,0.5064935064935064,-0.0207001270773628,31,0.4193548387096774,-0.1185548465194807
EURUSD,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -1.1654479585918622e-05, ""sample_size"": 93}",93,0.4731182795698925,0.0351507219794375,39,0.4871794871794871,0.1511087877899319
