pair,idea,rule,in_trades,in_win_rate,in_avg_r,out_trades,out_win_rate,out_avg_r
AUDUSD,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 2, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.00037164405113030086, ""sample_size"": 1066, ""score"": 0.39617255850490074}",379,0.48812664907651715,0.03263214460825351,160,0.4875,-0.02576443139685357
AUDUSD,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.003327142857142859, ""mode"": ""reversion"", ""mean_aligned_return"": -0.00017836396380032952, ""sample_size"": 1065}",284,0.5387323943661971,0.07447695119158995,62,0.3548387096774194,-0.217870168491625
AUDUSD,volume_divergence,"{""window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.8, ""move_z_threshold"": 0.7273709716583314, ""volume_z_threshold_low"": -0.8815349575209178, ""mode"": ""fade"", ""mean_aligned_return"": -0.0012912412363262963, ""sample_size"": 59}",58,0.5,0.08125584219706686,18,0.5,0.10876487687714664
AUDUSD,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -0.0005215687626098071, ""sample_size"": 179}",179,0.4692737430167598,0.06886302997251396,76,0.618421052631579,0.38455739464064
AUDUSD,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.009906050523571, ""mode"": ""reversion"", ""mean_aligned_return"": -0.000620117093073808, ""sample_size"": 535}",312,0.5,0.05849036038161526,134,0.5074626865671642,0.02352063551583728
GBPUSD,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 1, ""forward_k"": 5, ""direction"": ""short"", ""mean_forward_return"": -0.00030930565973344583, ""sample_size"": 1080, ""score"": 0.3340501125121215}",375,0.45866666666666667,-0.007752345175343746,162,0.47530864197530864,0.00687658122865835
GBPUSD,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.004677428571428604, ""mode"": ""continuation"", ""mean_aligned_return"": 0.0002530470346475002, ""sample_size"": 1068}",303,0.46864686468646866,-0.014922733532328833,61,0.39344262295081966,-0.0005660299970919097
GBPUSD,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -0.0005333488558631528, ""sample_size"": 181}",180,0.4888888888888889,0.052993029529376914,76,0.5789473684210527,0.25091125150020666
GBPUSD,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.0176224115629724, ""mode"": ""reversion"", ""mean_aligned_return"": -8.142576044359343e-05, ""sample_size"": 533}",311,0.5369774919614148,0.049720839242784864,136,0.4632352941176471,-0.07598328695071972
USDCHF,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 2, ""forward_k"": 5, ""direction"": ""short"", ""mean_forward_return"": -0.0003918585895478407, ""sample_size"": 1066, ""score"": 0.4177212564579982}",380,0.46842105263157896,-0.038083274470324106,158,0.379746835443038,-0.19432647480706722
