fold,rule_found,mode,test_start_time,test_end_time,out_trade_count,out_win_rate,out_avg_r,out_total_r,pair
1,True,continuation,2023-01-20 00:00:00,2023-09-27 12:00:00,35,0.4857142857142857,-0.01757431467023979,-0.6151010134583927,AUDUSD
2,True,fill,2023-09-27 16:00:00,2024-06-06 04:00:00,36,0.5833333333333334,0.320521920585079,11.538789141062844,AUDUSD
3,True,fill,2024-06-06 08:00:00,2025-02-13 20:00:00,36,0.4722222222222222,0.19800244045757792,7.128087856472805,AUDUSD
4,True,fill,2025-02-14 00:00:00,2025-10-22 12:00:00,35,0.7142857142857143,0.5136654435105868,17.97829052287054,AUDUSD
5,True,fill,2025-10-22 16:00:00,2026-07-02 08:00:00,36,0.5555555555555556,0.3468651970338645,12.487147093219122,AUDUSD
1,True,fill,2023-01-20 00:00:00,2023-09-27 12:00:00,35,0.2857142857142857,-0.37959759222024914,-13.28591572770872,GBPUSD
2,True,fill,2023-09-27 16:00:00,2024-06-06 04:00:00,36,0.6388888888888888,0.4260213317551725,15.33676794318621,GBPUSD
3,True,fill,2024-06-06 08:00:00,2025-02-13 20:00:00,37,0.5675675675675675,0.18506023924150797,6.847228851935795,GBPUSD
4,True,fill,2025-02-14 00:00:00,2025-10-22 12:00:00,35,0.5142857142857142,0.24314580890811618,8.510103311784066,GBPUSD
5,True,fill,2025-10-22 16:00:00,2026-07-02 08:00:00,36,0.6111111111111112,0.2111767775028313,7.602363990101926,GBPUSD
1,True,fill,2023-01-20 00:00:00,2023-09-27 12:00:00,35,0.5428571428571428,0.262230428483026,9.178064996905912,USDCHF
2,True,fill,2023-09-27 16:00:00,2024-06-06 04:00:00,36,0.7222222222222222,0.43122139232434464,15.523970123676406,USDCHF
3,True,fill,2024-06-06 08:00:00,2025-02-13 20:00:00,37,0.6216216216216216,0.41543044120554523,15.370926324605174,USDCHF
4,True,fill,2025-02-14 00:00:00,2025-10-22 12:00:00,35,0.45714285714285713,0.0713152508694631,2.4960337804312083,USDCHF
5,True,fill,2025-10-22 16:00:00,2026-07-02 08:00:00,37,0.5675675675675675,0.1588443005261193,5.877239119466414,USDCHF
1,True,fill,2023-01-20 00:00:00,2023-09-27 12:00:00,35,0.6,0.22345444279289567,7.820905497751348,USDJPY
2,True,fill,2023-09-27 16:00:00,2024-06-06 04:00:00,36,0.5555555555555556,0.1538978848516146,5.5403238546581255,USDJPY
3,True,fill,2024-06-06 08:00:00,2025-02-13 20:00:00,37,0.4594594594594595,-0.167720296810401,-6.205650981984837,USDJPY
4,True,fill,2025-02-14 00:00:00,2025-10-22 12:00:00,35,0.42857142857142855,-0.04482751389447306,-1.568962986306557,USDJPY
5,True,fill,2025-10-22 16:00:00,2026-07-02 08:00:00,36,0.5277777777777778,0.10089223667641327,3.6321205203508775,USDJPY
1,True,fill,2024-09-30 12:00:00,2025-02-06 00:00:00,20,0.35,-0.28497100614627774,-5.699420122925555,EURUSD
2,True,continuation,2025-02-06 04:00:00,2025-06-12 20:00:00,17,0.6470588235294118,0.318666201490359,5.417325425336103,EURUSD
3,True,continuation,2025-06-13 00:00:00,2025-10-17 16:00:00,17,0.29411764705882354,-0.2712109305164131,-4.610585818779023,EURUSD
4,True,continuation,2025-10-17 20:00:00,2026-02-25 12:00:00,19,0.42105263157894735,-0.14256276422531758,-2.708692520281034,EURUSD
5,True,fill,2026-02-25 16:00:00,2026-07-02 08:00:00,18,0.5,0.14524604894348955,2.614428880982812,EURUSD
1,True,fill,2025-06-13 12:00:00,2025-08-28 16:00:00,10,0.7,0.466598835840094,4.66598835840094,USDCAD
2,True,fill,2025-08-28 20:00:00,2025-11-13 00:00:00,10,0.6,0.38521474872424355,3.8521474872424357,USDCAD
3,True,fill,2025-11-13 04:00:00,2026-01-30 12:00:00,10,0.3,-0.29650810393715027,-2.9650810393715026,USDCAD
4,True,fill,2026-01-30 16:00:00,2026-04-16 20:00:00,10,0.8,0.7799308067347518,7.799308067347518,USDCAD
5,True,fill,2026-04-17 00:00:00,2026-07-02 08:00:00,10,0.6,0.22023010441909774,2.2023010441909774,USDCAD
