strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
trend_pullback_rsi,short,2025-11-14 00:00:00,2025-11-19 04:00:00,193,212,timeout,1.3134866937302858,41.60000000000036
trend_pullback_rsi,short,2025-12-11 08:00:00,2025-12-11 12:00:00,309,310,stop,-1.0443599493029434,-35.31428571428646
trend_pullback_rsi,short,2025-12-12 00:00:00,2025-12-16 12:00:00,313,328,stop,-1.0396600566572467,-39.32142857142956
trend_pullback_rsi,short,2025-12-16 20:00:00,2025-12-22 00:00:00,330,349,timeout,1.4056224899598468,45.000000000000426
trend_pullback_rsi,short,2025-12-23 16:00:00,2025-12-24 00:00:00,359,361,stop,-1.0487295509919852,-32.28214285714198
trend_pullback_rsi,long,2026-02-19 04:00:00,2026-02-19 12:00:00,596,598,stop,-1.052651372696543,-29.98928571428599
trend_pullback_rsi,long,2026-02-20 00:00:00,2026-02-25 04:00:00,601,620,timeout,0.7822053552604407,26.500000000001357
trend_pullback_rsi,long,2026-03-04 12:00:00,2026-03-09 00:00:00,652,667,stop,-1.022439493508562,-68.34642857142764
trend_pullback_rsi,long,2026-03-13 16:00:00,2026-03-13 20:00:00,695,696,stop,-1.028380295965924,-54.3535714285705
trend_pullback_rsi,short,2026-04-08 20:00:00,2026-04-10 16:00:00,804,815,stop,-1.02782193958666,-55.41428571428713
trend_pullback_rsi,short,2026-04-15 16:00:00,2026-04-16 04:00:00,833,836,stop,-1.0444868128375993,-35.21785714285647
trend_pullback_rsi,short,2026-04-16 12:00:00,2026-04-17 12:00:00,838,844,stop,-1.0479123887747783,-32.80714285714209
trend_pullback_rsi,short,2026-04-17 20:00:00,2026-04-23 00:00:00,846,865,timeout,2.344962376624641,85.7000000000006
