sha256,duplicate_count,total_wasted_bytes,paths,category
d7f18c99c451540bacafa09578f88f7428b0f316503b50e17f089eb0d4295fb1,3,8539865088,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin | chrome_mapper_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin | storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin,LIKELY_SAFE
296e3479506b23cb6462cdb77aa3eb6a09cee1c2d8e8b3bb76c755a147d585d1,2,126025728,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceClassifierModel/2026.2.12.1554/weights.bin | storage/real_chrome_profile/OptGuideOnDeviceClassifierModel/2026.2.12.1554/weights.bin,LIKELY_SAFE
bbc7dc1ae142e321b07749bc824f487c199334f6cfc567166ce8e2e58bd955a4,4,110334672,backup_temp/storage/real_chrome_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/7F78659B6AA72BCC/model.tflite | chrome_mapper_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/4267A46FF808D737/model.tflite | storage/browser_session/optimization_guide_model_store/43/EEE9864B3DB2E922/98BA76154C902BBF/model.tflite | storage/real_chrome_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/7F78659B6AA72BCC/model.tflite,LIKELY_SAFE
294a06b866f9a91057890eb239d64e2743792f8dc501fa25b9ad276dde58fdbc,5,48553476,outputs/runs/20260611_235927_308_dc20bc1f/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4 | outputs/runs/20260611_235927_308_dc20bc1f/publish/FINAL_RUNWAY_PHASE_I_VIDEO.mp4 | outputs/runs/20260613_090837_f48562d3/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4 | outputs/runs/20260613_090916_80d6f2e2/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4 | outputs/runs/20260613_091042_148bc322/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,LIKELY_SAFE
bb9fa5ea0ccb85c15bf9467479a8f188e3a39e117f8ab6161716582e40a41ee4,2,28096848,backup_temp/storage/real_chrome_profile/optimization_guide_model_store/67/EEE9864B3DB2E922/BC75A0A9D5321C58/model.tflite | storage/real_chrome_profile/optimization_guide_model_store/67/EEE9864B3DB2E922/BC75A0A9D5321C58/model.tflite,LIKELY_SAFE
076a470700dbd0aa62bb8b3d24c34e1340bdfe83cbbcfc035ce972f23c140400,8,47677658,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/f_000001 | backup_temp/storage/real_chrome_profile/de-DE-3-0.bdic | chrome_mapper_profile/Default/Cache/Cache_Data/f_000001 | chrome_mapper_profile/Default/Cache/Cache_Data/f_000002 | chrome_mapper_profile/de-DE-3-0.bdic | storage/browser_session/Default/Cache/Cache_Data/f_000066 | storage/browser_session/de-DE-3-0.bdic | storage/real_chrome_profile/de-DE-3-0.bdic,LIKELY_SAFE
172092e78465ce152fbf3b65035b95fd1f1b3fee40135bb98e3760f617908ccb,2,23182663,chrome_mapper_profile/component_crx_cache/172092e78465ce152fbf3b65035b95fd1f1b3fee40135bb98e3760f617908ccb | storage/real_chrome_profile/component_crx_cache/172092e78465ce152fbf3b65035b95fd1f1b3fee40135bb98e3760f617908ccb,LIKELY_SAFE
177e3649ff0f7c744064941f57595afa1d91a0b2f7d778bd7d0193d1e2d7b640,2,22777265,chrome_mapper_profile/WasmTtsEngine/20260528.1/bindings_main.wasm | storage/real_chrome_profile/WasmTtsEngine/20260528.1/bindings_main.wasm,LIKELY_SAFE
9b45d430028c7d0ce6168bb57bba85be4a9113e459aeb815e04dbacbdd17740b,2,21150380,outputs/runs/20260611_122643_403_811da26d/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4 | outputs/runs/20260611_122643_403_811da26d/publish/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,LIKELY_SAFE
d9c7a229b545f67af3222fb2a514cae0cca1f4acff6f63f18d4c92d7727cfc3d,3,21994554,outputs/runs/20260613_091042_148bc322/final/FINAL_BRANDED_VIDEO_v4.mp4 | outputs/runs/20260613_091042_148bc322/final/branding_staging/cta_overlay.mp4 | outputs/runs/20260613_091042_148bc322/publish/FINAL_BRANDED_VIDEO_v4.mp4,LIKELY_SAFE
5e0827386df1e2b31f069348746cebac7a0f143cd4905c55904c29a98146dfa0,3,19908960,outputs/runs/20260611_192447_805_a7666ca9/final/FINAL_BRANDED_VIDEO.mp4 | outputs/runs/20260611_192447_805_a7666ca9/final/branding_staging/cta_overlay.mp4 | outputs/runs/20260611_192447_805_a7666ca9/publish/FINAL_BRANDED_VIDEO.mp4,LIKELY_SAFE
