rank,path,size_bytes,size_human,modified_utc,category
1,storage/backups/RUNWAY_PHASE_I_SUCCESS_RESTORE_POINT_20260609_171831.zip,333242631908,310.36 GB,2026-06-09T17:16:01.880255+00:00,REVIEW_REQUIRED
2,storage/backups/RUNWAY_PHASE_I_SUCCESS_RESTORE_POINT_20260609_173154.zip,9524637688,8.87 GB,2026-06-09T15:44:25.062926+00:00,REVIEW_REQUIRED
3,project_brain/PROJECT_BACKUP_20260531_051921.zip,8126135263,7.57 GB,2026-05-31T03:23:20.390556+00:00,REVIEW_REQUIRED
4,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin,4269932544,3.98 GB,1980-01-01T00:00:00+00:00,REVIEW_REQUIRED
5,chrome_mapper_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin,4269932544,3.98 GB,1980-01-01T00:00:00+00:00,LIKELY_SAFE
6,storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141/weights.bin,4269932544,3.98 GB,1980-01-01T00:00:00+00:00,REVIEW_REQUIRED
7,.git/objects/pack/pack-28691cea0999a343ebc740721cd3016d9e14eea5.pack,714365961,681.27 MB,2026-06-09T15:43:07.448758+00:00,REVIEW_REQUIRED
8,.git/objects/pack/pack-76a1db55e8a6d0ae92ca38841bc00ff0b456ea6b.pack,414487485,395.29 MB,2026-05-21T20:49:27.679086+00:00,REVIEW_REQUIRED
9,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceClassifierModel/2026.2.12.1554/weights.bin,126025728,120.19 MB,1980-01-01T00:00:00+00:00,REVIEW_REQUIRED
10,storage/real_chrome_profile/OptGuideOnDeviceClassifierModel/2026.2.12.1554/weights.bin,126025728,120.19 MB,1980-01-01T00:00:00+00:00,REVIEW_REQUIRED
11,venv/Lib/site-packages/playwright/driver/node.exe,91426304,87.19 MB,2026-05-16T06:58:34.050617+00:00,REVIEW_REQUIRED
12,chrome_mapper_profile/optimization_guide_model_store/40/EEE9864B3DB2E922/B62229ABB52418C2/ts.bin,74854892,71.39 MB,1980-01-01T00:00:00+00:00,LIKELY_SAFE
13,backups/ModirAgentOS_BACKUP_20260519_215615.zip,40329211,38.46 MB,2026-05-19T19:56:21.011382+00:00,REVIEW_REQUIRED
14,backup_temp/storage/real_chrome_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/7F78659B6AA72BCC/model.tflite,36778224,35.07 MB,2026-02-02T19:58:32+00:00,REVIEW_REQUIRED
15,chrome_mapper_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/4267A46FF808D737/model.tflite,36778224,35.07 MB,2026-02-02T19:58:32+00:00,LIKELY_SAFE
16,storage/browser_session/optimization_guide_model_store/43/EEE9864B3DB2E922/98BA76154C902BBF/model.tflite,36778224,35.07 MB,2026-02-02T19:58:32+00:00,REVIEW_REQUIRED
17,storage/real_chrome_profile/optimization_guide_model_store/43/EEE9864B3DB2E922/7F78659B6AA72BCC/model.tflite,36778224,35.07 MB,2026-02-02T19:58:32+00:00,REVIEW_REQUIRED
18,storage/content_brain/execution/runtime/audit.jsonl,32990234,31.46 MB,2026-06-03T22:56:22.312938+00:00,REVIEW_REQUIRED
19,backup_temp/storage/real_chrome_profile/optimization_guide_model_store/67/EEE9864B3DB2E922/BC75A0A9D5321C58/model.tflite,28096848,26.80 MB,2026-03-28T09:18:20+00:00,REVIEW_REQUIRED
20,storage/real_chrome_profile/optimization_guide_model_store/67/EEE9864B3DB2E922/BC75A0A9D5321C58/model.tflite,28096848,26.80 MB,2026-03-28T09:18:20+00:00,REVIEW_REQUIRED
21,.git/objects/pack/pack-fe6a2fed45886680da367ea976fdf01b8c572084.pack,25855554,24.66 MB,2026-06-02T20:57:22.396527+00:00,REVIEW_REQUIRED
22,storage/real_chrome_profile/Default/Cache/Cache_Data/data_3,25174016,24.01 MB,2026-06-13T06:05:47.901343+00:00,REVIEW_REQUIRED
23,chrome_mapper_profile/component_crx_cache/172092e78465ce152fbf3b65035b95fd1f1b3fee40135bb98e3760f617908ccb,23182663,22.11 MB,2026-06-03T16:44:43.200553+00:00,LIKELY_SAFE
24,storage/real_chrome_profile/component_crx_cache/172092e78465ce152fbf3b65035b95fd1f1b3fee40135bb98e3760f617908ccb,23182663,22.11 MB,2026-06-02T03:18:33.304894+00:00,REVIEW_REQUIRED
25,backup_temp/storage/real_chrome_profile/component_crx_cache/22fb5e3e997b6c5e2194c69fe572415a2333a34bf23165ca71336b2fdc4dbb34,23040431,21.97 MB,2026-05-16T07:20:16.062841+00:00,REVIEW_REQUIRED
26,chrome_mapper_profile/WasmTtsEngine/20260528.1/bindings_main.wasm,22777265,21.72 MB,2026-05-29T05:44:42+00:00,LIKELY_SAFE
27,storage/real_chrome_profile/WasmTtsEngine/20260528.1/bindings_main.wasm,22777265,21.72 MB,2026-05-29T05:44:42+00:00,REVIEW_REQUIRED
28,backup_temp/storage/real_chrome_profile/WasmTtsEngine/20260514.1/bindings_main.wasm,22634832,21.59 MB,2026-05-14T14:41:14+00:00,REVIEW_REQUIRED
29,outputs/runs/20260611_122643_403_811da26d/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,21150380,20.17 MB,2026-06-11T10:26:52.026283+00:00,REVIEW_REQUIRED
30,outputs/runs/20260611_122643_403_811da26d/publish/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,21150380,20.17 MB,2026-06-11T10:26:52.026283+00:00,REVIEW_REQUIRED
31,backup_temp/storage/real_chrome_profile/Safe Browsing/UrlSoceng.store.4_13423492571501491,19993064,19.07 MB,2026-05-17T11:56:11.522629+00:00,REVIEW_REQUIRED
32,backup_temp/storage/real_chrome_profile/Safe Browsing/UrlSoceng.store.4_13423471898977382,19988448,19.06 MB,2026-05-17T06:11:38.997326+00:00,REVIEW_REQUIRED
33,storage/real_chrome_profile/Safe Browsing/UrlSoceng.store.4_13425815127242312,19896596,18.97 MB,2026-06-13T09:05:27.268359+00:00,REVIEW_REQUIRED
34,storage/real_chrome_profile/Safe Browsing/UrlSoceng.store.4_13425813321177629,19893220,18.97 MB,2026-06-13T08:35:21.204223+00:00,REVIEW_REQUIRED
35,chrome_mapper_profile/Default/Cache/Cache_Data/f_0000f2,19829200,18.91 MB,2026-06-03T17:02:56.981439+00:00,LIKELY_SAFE
36,chrome_mapper_profile/Safe Browsing/UrlSoceng.store.4_13424994113779256,19810208,18.89 MB,2026-06-03T21:01:53.799955+00:00,LIKELY_SAFE
37,chrome_mapper_profile/Safe Browsing/UrlSoceng.store.4_13424992325678774,19809292,18.89 MB,2026-06-03T20:32:05.698573+00:00,LIKELY_SAFE
38,outputs/runs/20260611_192447_805_a7666ca9/final/FINAL_RUNWAY_PHASE_I_NARRATED.mp4,14706954,14.03 MB,2026-06-11T17:25:12.655305+00:00,REVIEW_REQUIRED
39,outputs/runs/20260611_192447_805_a7666ca9/publish/FINAL_RUNWAY_PHASE_I_NARRATED.mp4,14706954,14.03 MB,2026-06-11T17:25:12.655305+00:00,REVIEW_REQUIRED
40,storage/content_brain/execution/runtime/operations_audit.jsonl,14564372,13.89 MB,2026-06-02T17:54:11.194890+00:00,REVIEW_REQUIRED
41,outputs/runs/20260611_192447_805_a7666ca9/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,14424224,13.76 MB,2026-06-11T17:25:04.088136+00:00,REVIEW_REQUIRED
42,outputs/runs/20260611_192447_805_a7666ca9/publish/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,14424224,13.76 MB,2026-06-11T17:25:04.088136+00:00,REVIEW_REQUIRED
43,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/data_3,12591104,12.01 MB,2026-05-17T11:55:59.870276+00:00,REVIEW_REQUIRED
44,chrome_mapper_profile/Default/Cache/Cache_Data/f_000193,12264395,11.70 MB,2026-06-03T19:16:03.341422+00:00,LIKELY_SAFE
45,outputs/runs/20260611_235927_308_dc20bc1f/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,12138369,11.58 MB,2026-06-11T21:59:48.988437+00:00,REVIEW_REQUIRED
46,outputs/runs/20260611_235927_308_dc20bc1f/publish/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,12138369,11.58 MB,2026-06-11T21:59:48.988437+00:00,REVIEW_REQUIRED
47,outputs/runs/20260613_090837_f48562d3/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,12138369,11.58 MB,2026-06-11T21:59:48.988437+00:00,REVIEW_REQUIRED
48,outputs/runs/20260613_090916_80d6f2e2/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,12138369,11.58 MB,2026-06-11T21:59:48.988437+00:00,REVIEW_REQUIRED
49,outputs/runs/20260613_091042_148bc322/final/FINAL_RUNWAY_PHASE_I_VIDEO.mp4,12138369,11.58 MB,2026-06-11T21:59:48.988437+00:00,REVIEW_REQUIRED
50,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/data_2,11542528,11.01 MB,2026-05-17T11:56:04.352624+00:00,REVIEW_REQUIRED
51,outputs/runs/20260613_091042_148bc322/final/branding_staging/FINAL_RUNWAY_PHASE_I_SUBTITLED.mp4,11465905,10.93 MB,2026-06-13T09:11:23.499713+00:00,REVIEW_REQUIRED
52,outputs/runs/20260613_091042_148bc322/final/FINAL_BRANDED_VIDEO_v4.mp4,10997277,10.49 MB,2026-06-13T09:11:27.468412+00:00,REVIEW_REQUIRED
53,outputs/runs/20260613_091042_148bc322/final/branding_staging/cta_overlay.mp4,10997277,10.49 MB,2026-06-13T09:11:27.468412+00:00,REVIEW_REQUIRED
54,outputs/runs/20260613_091042_148bc322/publish/FINAL_BRANDED_VIDEO_v4.mp4,10997277,10.49 MB,2026-06-13T09:11:27.468412+00:00,REVIEW_REQUIRED
55,outputs/runs/20260611_192447_805_a7666ca9/final/branding_staging/FINAL_RUNWAY_PHASE_I_SUBTITLED.mp4,10675249,10.18 MB,2026-06-11T17:25:17.244152+00:00,REVIEW_REQUIRED
56,outputs/runs/20260611_192447_805_a7666ca9/final/FINAL_BRANDED_VIDEO.mp4,9954480,9.49 MB,2026-06-11T17:25:21.955284+00:00,REVIEW_REQUIRED
57,outputs/runs/20260611_192447_805_a7666ca9/final/branding_staging/cta_overlay.mp4,9954480,9.49 MB,2026-06-11T17:25:21.955284+00:00,REVIEW_REQUIRED
58,outputs/runs/20260611_192447_805_a7666ca9/publish/FINAL_BRANDED_VIDEO.mp4,9954480,9.49 MB,2026-06-11T17:25:21.955284+00:00,REVIEW_REQUIRED
59,ui/web/node_modules/@esbuild/win32-x64/esbuild.exe,9913856,9.45 MB,2026-05-29T19:37:40.182618+00:00,LIKELY_SAFE
60,chrome_mapper_profile/Default/Cache/Cache_Data/f_0000f1,9441909,9.00 MB,2026-06-03T17:02:56.083856+00:00,LIKELY_SAFE
61,ui/web/node_modules/typescript/lib/typescript.js,9112572,8.69 MB,2026-05-29T19:37:40.227617+00:00,LIKELY_SAFE
62,storage/content_brain/execution/artifacts/exec_uat_20260604_004331/video_generation/clip_01.mp4,8990358,8.57 MB,2026-06-03T22:55:32.237488+00:00,REVIEW_REQUIRED
63,backup_temp/storage/real_chrome_profile/GrShaderCache/data_3,8396800,8.01 MB,2026-05-16T18:00:07.373906+00:00,REVIEW_REQUIRED
64,chrome_mapper_profile/Default/Cache/Cache_Data/data_3,8396800,8.01 MB,2026-06-03T21:30:57.801014+00:00,LIKELY_SAFE
65,storage/real_chrome_profile/GrShaderCache/data_3,8396800,8.01 MB,2026-06-12T08:20:48.007626+00:00,REVIEW_REQUIRED
66,storage/content_brain/execution/queue/audit.jsonl,8312780,7.93 MB,2026-06-03T22:43:33.163572+00:00,REVIEW_REQUIRED
67,venv/Lib/site-packages/PIL/_avif.cp311-win_amd64.pyd,7895040,7.53 MB,2026-05-16T23:48:53.105501+00:00,REVIEW_REQUIRED
68,storage/content_brain/execution/artifacts/exec_uat_20260602_170119/assembly_generation/_work/concat_video.mp4,7855065,7.49 MB,2026-06-02T15:16:45.649582+00:00,REVIEW_REQUIRED
69,backup_temp/storage/real_chrome_profile/component_crx_cache/3c490cd0abb97f15040e4aaa68dc4f1eae73b73591c29ae082ea6c5b364abe94,7791549,7.43 MB,2026-05-16T07:15:54.872272+00:00,REVIEW_REQUIRED
70,chrome_mapper_profile/component_crx_cache/3c490cd0abb97f15040e4aaa68dc4f1eae73b73591c29ae082ea6c5b364abe94,7791549,7.43 MB,2026-06-03T16:32:03.406061+00:00,LIKELY_SAFE
71,storage/real_chrome_profile/component_crx_cache/3c490cd0abb97f15040e4aaa68dc4f1eae73b73591c29ae082ea6c5b364abe94,7791549,7.43 MB,2026-05-16T07:15:54.872272+00:00,REVIEW_REQUIRED
72,backup_temp/storage/real_chrome_profile/OnDeviceHeadSuggestModel/20251024.824731831.14/cr_de_500000_index.bin,7787338,7.43 MB,2025-10-31T08:26:06+00:00,REVIEW_REQUIRED
73,chrome_mapper_profile/OnDeviceHeadSuggestModel/20251024.824731831.14/cr_de_500000_index.bin,7787338,7.43 MB,2025-10-31T08:26:06+00:00,LIKELY_SAFE
74,storage/real_chrome_profile/OnDeviceHeadSuggestModel/20251024.824731831.14/cr_de_500000_index.bin,7787338,7.43 MB,2025-10-31T08:26:06+00:00,REVIEW_REQUIRED
75,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/f_0000f7,7572682,7.22 MB,2026-05-16T07:42:26.407203+00:00,REVIEW_REQUIRED
76,backup_temp/storage/real_chrome_profile/de-DE-3-0.bdic,6811094,6.50 MB,2026-05-16T07:14:15.084957+00:00,REVIEW_REQUIRED
77,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/f_000001,6811094,6.50 MB,2026-05-16T07:14:15.074951+00:00,REVIEW_REQUIRED
78,chrome_mapper_profile/de-DE-3-0.bdic,6811094,6.50 MB,2026-06-03T16:30:28.378913+00:00,LIKELY_SAFE
79,chrome_mapper_profile/Default/Cache/Cache_Data/f_000001,6811094,6.50 MB,2026-06-03T16:30:28.361903+00:00,LIKELY_SAFE
80,chrome_mapper_profile/Default/Cache/Cache_Data/f_000002,6811094,6.50 MB,2026-06-03T16:30:28.368903+00:00,LIKELY_SAFE
81,storage/browser_session/de-DE-3-0.bdic,6811094,6.50 MB,2026-05-21T18:03:56.299113+00:00,REVIEW_REQUIRED
82,storage/browser_session/Default/Cache/Cache_Data/f_000066,6811094,6.50 MB,2026-05-21T18:03:56.290113+00:00,REVIEW_REQUIRED
83,storage/real_chrome_profile/de-DE-3-0.bdic,6811094,6.50 MB,2026-05-16T07:14:15.084957+00:00,REVIEW_REQUIRED
84,backup_temp/storage/real_chrome_profile/optimization_guide_model_store/30/EEE9864B3DB2E922/1B9D8A70CB20DBD4/model.tflite,6754646,6.44 MB,2023-07-28T18:29:50+00:00,REVIEW_REQUIRED
85,chrome_mapper_profile/optimization_guide_model_store/30/EEE9864B3DB2E922/B8BCF6C01F2860B2/model.tflite,6754646,6.44 MB,2023-07-28T18:29:50+00:00,LIKELY_SAFE
86,storage/real_chrome_profile/optimization_guide_model_store/30/EEE9864B3DB2E922/1B9D8A70CB20DBD4/model.tflite,6754646,6.44 MB,2023-07-28T18:29:50+00:00,REVIEW_REQUIRED
87,storage/real_chrome_profile/Default/Cache/Cache_Data/data_2,6299648,6.01 MB,2026-06-13T06:05:38.700173+00:00,REVIEW_REQUIRED
88,backup_temp/storage/real_chrome_profile/Default/Cache/Cache_Data/f_000192,6293700,6.00 MB,2026-05-16T12:12:25.624290+00:00,REVIEW_REQUIRED
89,ui/web/node_modules/typescript/lib/_tsc.js,6213092,5.93 MB,2026-05-29T19:37:39.866028+00:00,LIKELY_SAFE
90,storage/content_brain/execution/artifacts/exec_uat_20260602_170119/video_generation/clip_01.mp4,6163336,5.88 MB,2026-06-02T15:02:22.648556+00:00,REVIEW_REQUIRED
91,storage/real_chrome_profile/Default/Cache/Cache_Data/f_000e60,6065066,5.78 MB,2026-06-11T21:05:47.689093+00:00,REVIEW_REQUIRED
92,chrome_mapper_profile/Default/Cache/Cache_Data/f_000130,5839495,5.57 MB,2026-06-03T17:04:56.499345+00:00,LIKELY_SAFE
93,storage/real_chrome_profile/Default/Cache/Cache_Data/f_000ae6,5839495,5.57 MB,2026-06-09T03:52:06.935091+00:00,REVIEW_REQUIRED
94,outputs/runs/20260613_091042_148bc322/final/FINAL_RUNWAY_PHASE_I_CINEMATIC.mp4,5597882,5.34 MB,2026-06-13T09:10:58.212629+00:00,REVIEW_REQUIRED
95,outputs/runs/20260613_090916_80d6f2e2/final/FINAL_RUNWAY_PHASE_I_CINEMATIC.mp4,5597877,5.34 MB,2026-06-13T09:09:32.085217+00:00,REVIEW_REQUIRED
96,outputs/runs/20260611_235927_308_dc20bc1f/final/FINAL_RUNWAY_PHASE_I_CINEMATIC.mp4,5597522,5.34 MB,2026-06-13T08:53:19.952896+00:00,REVIEW_REQUIRED
97,outputs/runs/20260613_090837_f48562d3/final/FINAL_RUNWAY_PHASE_I_CINEMATIC.mp4,5597194,5.34 MB,2026-06-13T09:08:52.669360+00:00,REVIEW_REQUIRED
98,chrome_mapper_profile/Default/Cache/Cache_Data/f_000132,5589528,5.33 MB,2026-06-03T17:04:56.528948+00:00,LIKELY_SAFE
99,storage/real_chrome_profile/Default/Cache/Cache_Data/f_000ae8,5589528,5.33 MB,2026-06-09T03:52:07.009605+00:00,REVIEW_REQUIRED
100,archive/legacy_outputs/20260611_235927_308_dc20bc1f/final/FINAL_RUNWAY_PHASE_I_NARRATED.mp4,5534088,5.28 MB,2026-06-12T15:10:48.724734+00:00,REVIEW_REQUIRED
