rank,folder,size_bytes,size_human,file_count,last_modified_utc,category
1,storage,348436161934,324.51 GB,10552,2026-06-13T09:22:18.196539+00:00,REVIEW_REQUIRED
2,storage/backups,342767304937,319.23 GB,18,2026-06-09T17:16:01.880255+00:00,REVIEW_REQUIRED
3,storage/backups/RUNWAY_PHASE_I_SUCCESS_RESTORE_POINT_20260609_171831.zip,333242631908,310.36 GB,1,2026-06-09T17:16:01.880255+00:00,REVIEW_REQUIRED
4,project_brain,10152873701,9.46 GB,4345,2026-06-13T09:23:16.878831+00:00,REVIEW_REQUIRED
5,storage/backups/RUNWAY_PHASE_I_SUCCESS_RESTORE_POINT_20260609_173154.zip,9524637688,8.87 GB,1,2026-06-09T15:44:25.062926+00:00,REVIEW_REQUIRED
6,project_brain/PROJECT_BACKUP_20260531_051921.zip,8126135263,7.57 GB,1,2026-05-31T03:23:20.390556+00:00,REVIEW_REQUIRED
7,storage/real_chrome_profile,5399102596,5.03 GB,4704,2026-06-13T09:22:18.196539+00:00,REVIEW_REQUIRED
8,backup_temp,4974363429,4.63 GB,3820,2026-05-17T12:12:29.794592+00:00,REVIEW_REQUIRED
9,backup_temp/storage,4966381902,4.63 GB,3684,2026-05-17T12:12:29.794592+00:00,REVIEW_REQUIRED
10,backup_temp/storage/real_chrome_profile,4920840978,4.58 GB,3072,2026-05-17T12:12:29.794592+00:00,REVIEW_REQUIRED
11,chrome_mapper_profile,4862484323,4.53 GB,1582,2026-06-03T21:31:41.396174+00:00,LIKELY_SAFE
12,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceModel,4269934835,3.98 GB,6,2026-05-16T07:29:18.277140+00:00,REVIEW_REQUIRED
13,backup_temp/storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141,4269934835,3.98 GB,6,2026-05-16T07:29:18.277140+00:00,REVIEW_REQUIRED
14,chrome_mapper_profile/OptGuideOnDeviceModel,4269934835,3.98 GB,6,2026-06-03T16:39:40.779535+00:00,LIKELY_SAFE
15,chrome_mapper_profile/OptGuideOnDeviceModel/2025.8.8.1141,4269934835,3.98 GB,6,2026-06-03T16:39:40.779535+00:00,LIKELY_SAFE
16,storage/real_chrome_profile/OptGuideOnDeviceModel,4269934835,3.98 GB,6,2026-05-16T07:29:18.277140+00:00,REVIEW_REQUIRED
17,storage/real_chrome_profile/OptGuideOnDeviceModel/2025.8.8.1141,4269934835,3.98 GB,6,2026-05-16T07:29:18.277140+00:00,REVIEW_REQUIRED
