title_id,title,subtopic,category,intent,difficulty,estimated_viral_potential,educational_value,trend_score,source_provider,keywords,suggested_duration,suggested_clip_count,content_strategy,duplicate_status
title_59217ab52c,3 laser cutting Mistakes Beginners Make Without Realizing,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"3, laser, cutting, mistakes, beginners, make, without, realizing",30,3,cinematic_narrative,unique
title_63af1e8097,The First 5 Things to Learn About laser cutting,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, first, 5, things, to, learn, about, laser",30,3,instructional_general,unique
title_818fb2d1a9,What Nobody Tells You Before Starting laser cutting,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"what, nobody, tells, you, before, starting, laser, cutting",30,3,cinematic_narrative,unique
title_8a2ee597e0,Stop Doing This When You Try laser cutting,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"stop, doing, this, when, you, try, laser, cutting",30,3,cinematic_narrative,unique
title_52c5d4a935,How to Master laser cutting Step by Step,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, master, laser, cutting, step, by",30,3,instructional_general,unique
title_161e1d868c,The Simple laser cutting Method That Actually Works,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"the, simple, laser, cutting, method, that, actually, works",30,3,instructional_general,unique
title_a5dd42a06b,How to Get Better at laser cutting Fast,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, get, better, at, laser, cutting, fast",30,3,instructional_general,unique
title_85a9dada57,Why Your laser cutting Results Keep Failing,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"why, your, laser, cutting, results, keep, failing",30,3,cinematic_narrative,unique
title_cf7e66ee96,The Biggest laser cutting Mistake Almost Everyone Makes,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, biggest, laser, cutting, mistake, almost, everyone, makes",30,3,cinematic_narrative,unique
title_94e46953c3,Why laser cutting Feels Harder Than It Should,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"why, laser, cutting, feels, harder, than, it, should",30,3,cinematic_narrative,unique
title_5582f34a33,What to Fix First in Your laser cutting Routine,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"what, to, fix, first, in, your, laser, cutting",30,3,educational_lifestyle,unique
title_90e779446b,The laser cutting Error That Wastes the Most Time,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, laser, cutting, error, that, wastes, most, time",30,3,cinematic_narrative,unique
title_61a22ed350,The Only laser cutting Tools Worth Buying First,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"the, only, laser, cutting, tools, worth, buying, first",30,3,cinematic_narrative,unique
title_92eaeace86,How to Build a Minimal laser cutting Setup,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"how, to, build, a, minimal, laser, cutting, setup",30,3,instructional_general,unique
title_10a1b02342,Why Expensive laser cutting Gear Does Not Fix Bad Technique,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"why, expensive, laser, cutting, gear, does, not, fix",30,3,educational_tech,unique
title_54865d38fb,What Pros Pack for laser cutting Every Time,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"what, pros, pack, for, laser, cutting, every, time",30,3,cinematic_narrative,unique
title_2c3909fb99,The Advanced laser cutting Trick Most People Skip,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, advanced, laser, cutting, trick, most, people, skip",30,3,instructional_general,unique
title_1014605b3e,How to Level Up Your laser cutting Technique,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"how, to, level, up, your, laser, cutting, technique",30,3,educational_tech,unique
title_3b8aa31efa,What Changes When You Take laser cutting Seriously,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"what, changes, when, you, take, laser, cutting, seriously",30,3,cinematic_narrative,unique
title_5132d0a858,The laser cutting Strategy Experts Use Under Pressure,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, laser, cutting, strategy, experts, use, under, pressure",30,3,cinematic_narrative,unique
title_fda590a66b,The Biggest laser cutting Myth Still Believed Today,myths debunked,general,myth_busting,beginner,0.697,0.62,0.42,seed_expansion,"the, biggest, laser, cutting, myth, still, believed, today",30,3,journalistic,unique
