title_id,title,subtopic,category,intent,difficulty,estimated_viral_potential,educational_value,trend_score,source_provider,keywords,suggested_duration,suggested_clip_count,content_strategy,duplicate_status
title_adbd7fa620,3 tekwondow Mistakes Beginners Make Without Realizing,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"3, tekwondow, mistakes, beginners, make, without, realizing",30,3,cinematic_narrative,unique
title_73988977a2,The First 5 Things to Learn About tekwondow,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, first, 5, things, to, learn, about, tekwondow",30,3,instructional_general,unique
title_e2d38b58ab,What Nobody Tells You Before Starting tekwondow,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"what, nobody, tells, you, before, starting, tekwondow",30,3,cinematic_narrative,unique
title_57c5845463,Stop Doing This When You Try tekwondow,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"stop, doing, this, when, you, try, tekwondow",30,3,cinematic_narrative,unique
title_b303425428,How to Master tekwondow Step by Step,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, master, tekwondow, step, by",30,3,instructional_general,unique
title_d76f0e37fc,The Simple tekwondow Method That Actually Works,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"the, simple, tekwondow, method, that, actually, works",30,3,instructional_general,unique
title_dcc79abebd,How to Get Better at tekwondow Fast,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, get, better, at, tekwondow, fast",30,3,instructional_general,unique
title_58b7acd7b6,Why Your tekwondow Results Keep Failing,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"why, your, tekwondow, results, keep, failing",30,3,cinematic_narrative,unique
title_ae448f02c7,The Biggest tekwondow Mistake Almost Everyone Makes,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, biggest, tekwondow, mistake, almost, everyone, makes",30,3,cinematic_narrative,unique
title_f92a6f81e1,Why tekwondow Feels Harder Than It Should,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"why, tekwondow, feels, harder, than, it, should",30,3,cinematic_narrative,unique
title_abf511bed2,What to Fix First in Your tekwondow Routine,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"what, to, fix, first, in, your, tekwondow, routine",30,3,educational_lifestyle,unique
title_566ceceb44,The tekwondow Error That Wastes the Most Time,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, tekwondow, error, that, wastes, most, time",30,3,cinematic_narrative,unique
title_b970c1ef74,The Only tekwondow Tools Worth Buying First,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"the, only, tekwondow, tools, worth, buying, first",30,3,cinematic_narrative,unique
title_bf4b55e9ab,How to Build a Minimal tekwondow Setup,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"how, to, build, a, minimal, tekwondow, setup",30,3,instructional_general,unique
title_bf71beffee,Why Expensive tekwondow Gear Does Not Fix Bad Technique,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"why, expensive, tekwondow, gear, does, not, fix, bad",30,3,educational_tech,unique
title_facd46c1e8,What Pros Pack for tekwondow Every Time,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"what, pros, pack, for, tekwondow, every, time",30,3,cinematic_narrative,unique
title_a4c08f2974,The Advanced tekwondow Trick Most People Skip,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, advanced, tekwondow, trick, most, people, skip",30,3,instructional_general,unique
title_7ab736d8a1,How to Level Up Your tekwondow Technique,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"how, to, level, up, your, tekwondow, technique",30,3,educational_tech,unique
title_75ec057baa,What Changes When You Take tekwondow Seriously,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"what, changes, when, you, take, tekwondow, seriously",30,3,cinematic_narrative,unique
title_4b1f3fd7b1,The tekwondow Strategy Experts Use Under Pressure,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, tekwondow, strategy, experts, use, under, pressure",30,3,cinematic_narrative,unique
title_338ece95a7,The Biggest tekwondow Myth Still Believed Today,myths debunked,general,myth_busting,beginner,0.697,0.62,0.42,seed_expansion,"the, biggest, tekwondow, myth, still, believed, today",30,3,journalistic,unique
title_273cc54f66,Does tekwondow Really Work Like Everyone Says?,myths debunked,general,myth_busting,beginner,0.697,0.62,0.42,seed_expansion,"does, tekwondow, really, work, like, everyone, says",30,3,cinematic_narrative,unique
title_c564a2c4f0,Why Popular tekwondow Advice Is Wrong,myths debunked,general,myth_busting,beginner,0.697,0.62,0.42,seed_expansion,"why, popular, tekwondow, advice, is, wrong",30,3,cinematic_narrative,unique
title_dedd994db8,The tekwondow Rule You Should Stop Following,myths debunked,general,myth_busting,beginner,0.697,0.62,0.42,seed_expansion,"the, tekwondow, rule, you, should, stop, following",30,3,cinematic_narrative,unique
title_ed16fee920,Try This tekwondow Hack Before Your Next Attempt,quick wins,general,explainer,beginner,0.597,0.62,0.42,seed_expansion,"try, this, tekwondow, hack, before, your, next, attempt",30,3,cinematic_narrative,unique
title_da68bbb182,The 30-Second tekwondow Tip That Saves Time,quick wins,general,explainer,beginner,0.597,0.62,0.42,seed_expansion,"the, 30, second, tekwondow, tip, that, saves, time",30,3,cinematic_narrative,unique
title_fce8977a48,One Change That Improves tekwondow Immediately,quick wins,general,explainer,beginner,0.597,0.62,0.42,seed_expansion,"one, change, that, improves, tekwondow, immediately",30,3,cinematic_narrative,unique
title_312080b250,The Fastest Way to See Results in tekwondow,quick wins,general,explainer,beginner,0.597,0.62,0.42,seed_expansion,"the, fastest, way, to, see, results, in, tekwondow",30,3,cinematic_narrative,unique
title_c49fb78dea,Can You Master tekwondow in One Day?,challenges,general,challenge,intermediate,0.697,0.62,0.42,seed_expansion,"can, you, master, tekwondow, in, one, day",30,3,cinematic_narrative,unique
title_791fa28994,The tekwondow Challenge Nobody Talks About,challenges,general,challenge,intermediate,0.697,0.62,0.42,seed_expansion,"the, tekwondow, challenge, nobody, talks, about",30,3,cinematic_narrative,unique
title_88a1432f52,Try This tekwondow Test and See Your Level,challenges,general,challenge,intermediate,0.697,0.62,0.42,seed_expansion,"try, this, tekwondow, test, and, see, your, level",30,3,cinematic_narrative,unique
title_8392a1ccac,One-Week tekwondow Improvement Challenge,challenges,general,challenge,intermediate,0.697,0.62,0.42,seed_expansion,"one, week, tekwondow, improvement, challenge",30,3,cinematic_narrative,unique
title_a4aef1c969,Why best tekwondow tips is gaining traction via format gaining traction around topic: what shorts creators should know,trending angles,general,explainer,intermediate,0.8,0.62,1.0,mock_trend_provider,"why, best, tekwondow, tips, is, gaining, traction, via",30,3,instructional_general,unique
