title_id,title,subtopic,category,intent,difficulty,estimated_viral_potential,educational_value,trend_score,source_provider,keywords,suggested_duration,suggested_clip_count,content_strategy,duplicate_status
title_9debfc22f0,3 perfume Mistakes Beginners Make Without Realizing,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"3, perfume, mistakes, beginners, make, without, realizing",30,3,cinematic_narrative,unique
title_1b91fd5e40,The First 5 Things to Learn About perfume,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, first, 5, things, to, learn, about, perfume",30,3,instructional_general,unique
title_daf06cf70f,What Nobody Tells You Before Starting perfume,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"what, nobody, tells, you, before, starting, perfume",30,3,cinematic_narrative,unique
title_9c68cd6253,Stop Doing This When You Try perfume,beginner basics,general,listicle,beginner,0.697,0.62,0.42,seed_expansion,"stop, doing, this, when, you, try, perfume",30,3,cinematic_narrative,unique
title_1b0066f36c,How to Master perfume Step by Step,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, master, perfume, step, by",30,3,instructional_general,unique
title_cb81f5e0f3,The Simple perfume Method That Actually Works,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"the, simple, perfume, method, that, actually, works",30,3,instructional_general,unique
title_95d6723583,How to Get Better at perfume Fast,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"how, to, get, better, at, perfume, fast",30,3,instructional_general,unique
title_ee7e6d07c3,Why Your perfume Results Keep Failing,how-to guides,general,how_to,beginner,0.597,0.82,0.42,seed_expansion,"why, your, perfume, results, keep, failing",30,3,educational_tech,unique
title_0263648945,The Biggest perfume Mistake Almost Everyone Makes,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, biggest, perfume, mistake, almost, everyone, makes",30,3,cinematic_narrative,unique
title_d70f881401,Why perfume Feels Harder Than It Should,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"why, perfume, feels, harder, than, it, should",30,3,cinematic_narrative,unique
title_c5ef914fff,What to Fix First in Your perfume Routine,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"what, to, fix, first, in, your, perfume, routine",30,3,educational_lifestyle,unique
title_876d391e3f,The perfume Error That Wastes the Most Time,common mistakes,general,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, perfume, error, that, wastes, most, time",30,3,cinematic_narrative,unique
title_9b810b0863,The Only perfume Tools Worth Buying First,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"the, only, perfume, tools, worth, buying, first",30,3,cinematic_narrative,unique
title_d7877eb917,How to Build a Minimal perfume Setup,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"how, to, build, a, minimal, perfume, setup",30,3,instructional_general,unique
title_dfa929679a,Why Expensive perfume Gear Does Not Fix Bad Technique,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"why, expensive, perfume, gear, does, not, fix, bad",30,3,educational_tech,unique
title_5cdfaeccb3,What Pros Pack for perfume Every Time,gear and tools,general,gear_guide,intermediate,0.597,0.62,0.42,seed_expansion,"what, pros, pack, for, perfume, every, time",30,3,cinematic_narrative,unique
title_1947b708a2,The Advanced perfume Trick Most People Skip,advanced techniques,general,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, advanced, perfume, trick, most, people, skip",30,3,instructional_general,unique
