title_id,title,subtopic,category,intent,difficulty,estimated_viral_potential,educational_value,trend_score,source_provider,keywords,suggested_duration,suggested_clip_count,content_strategy,duplicate_status
title_40121ccd9e,3 Fishing Mistakes Beginners Make Without Realizing,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"3, fishing, mistakes, beginners, make, without, realizing",30,3,instructional_fishing,unique
title_fa566cd831,The First 5 Things Every New Angler Should Learn,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, first, 5, things, every, new, angler, should",30,3,instructional_fishing,unique
title_14af842ce2,Why Beginners Lose Fish Before They Even Hook Them,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"why, beginners, lose, fish, before, they, even, hook",30,3,instructional_fishing,unique
title_40f2dec0d1,What Nobody Tells You Before Your First Fishing Trip,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"what, nobody, tells, you, before, your, first, fishing",30,3,instructional_fishing,unique
title_402aebc1e3,Stop Doing This on Your First Cast,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"stop, doing, this, on, your, first, cast",30,3,cinematic_narrative,unique
title_4b63ff1fe8,The Beginner Fishing Checklist Pros Still Use,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, beginner, fishing, checklist, pros, still, use",30,3,instructional_fishing,unique
title_1ac7dc3786,The Best Lure Color for Murky Water Fishing,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, best, lure, color, for, murky, water, fishing",30,3,instructional_fishing,unique
title_d1e4f82636,Why Fish Ignore Your Lure in Clear Water,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"why, fish, ignore, your, lure, in, clear, water",30,3,instructional_fishing,unique
title_c242dbb1a6,The Biggest Mistake When Using Soft Plastic Lures,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, biggest, mistake, when, using, soft, plastic, lures",30,3,instructional_fishing,unique
title_77365961b0,Which Lure Works When Nothing Else Does,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"which, lure, works, when, nothing, else, does",30,3,instructional_fishing,unique
title_eebc723688,How to Choose the Right Lure for the Conditions,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, choose, the, right, lure, for, conditions",30,3,instructional_fishing,unique
title_22bbc0b462,How to Catch Zander in Shallow Water at Night,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, zander, in, shallow, water, at",30,3,instructional_fishing,unique
title_3cca76a158,How to Catch Zander When the Water Gets Cold,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, zander, when, the, water, gets",30,3,instructional_fishing,unique
title_ea32a72ae0,The Zander Retrieve Rhythm Most Anglers Miss,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, zander, retrieve, rhythm, most, anglers, miss",30,3,instructional_fishing,unique
title_68c41bff1f,Why Zander Follow Your Lure But Never Bite,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"why, zander, follow, your, lure, but, never, bite",30,3,instructional_fishing,unique
title_49828a9aaf,Best Depth to Target Zander in a New Lake,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"best, depth, to, target, zander, in, a, new",30,3,instructional_fishing,unique
title_023412262c,The Lure Type That Triggers More Zander Strikes,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, lure, type, that, triggers, more, zander, strikes",30,3,instructional_fishing,unique
title_0dc7fb5085,How to Find Carp in a Lake You Have Never Fished,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, find, carp, in, a, lake, you",30,3,instructional_fishing,unique
title_904e682761,The Bait Choice That Gets Carp Feeding Faster,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, bait, choice, that, gets, carp, feeding, faster",30,3,instructional_fishing,unique
title_585f4fbf29,Why Your Carp Rig Keeps Failing at the Margin,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"why, your, carp, rig, keeps, failing, at, the",30,3,cinematic_narrative,unique
